Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella gemma	Subbotina angiporoides	Porticulasphaera semiinvoluta	Globigerinatheka index	Subbotina linaperta	Paragloborotalia mayeri	Catapsydrax unicavus	Catapsydrax dissimilis	Zeaglobigerina connecta	Globorotalia incognita	Globoquadrina dehiscens	Zeaglobigerina woodi	Paragloborotalia opima nana	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis disjuncta	Globorotalia zealandica	Globorotalia praescitula	Globoquadrina baroemoenensis	Globigerinoides trilobus	Globigerina spp.	Globigerina praebulloides	Globorotalia miozea	Paragloborotalia bella	Catapsydrax stainforthi	Globorotalia praemenardii	Zeaglobigerina nepenthes	Orbulina universa	Neogloboquadrina pachyderma	Globorotalia miotumida conoidea	Globorotalia miotumida	Globoquadrina venezuelana	Comment



  IR	                 	                 	                  	              	181	1123	C	 17	X	CC	  29.00	    236.2900	forams   	Planktonic Foraminifers                      	               	                  	                	                      	                             	                      	                   	                       	                    	                      	                       	                      	                       	                    	                           	                              	                             	                       	                        	P                           	                        	                	P                        	                   	                      	                       	                         	F                       	F                	R                          	R                              	R                     	R                        	       

  IR	                 	                 	                  	              	181	1123	C	 18	X	CC	  35.00	    488.8500	forams   	Planktonic Foraminifers                      	C              	M                 	                	                      	                             	                      	                   	                       	                    	                      	                       	                      	A                      	A                   	                           	                              	F                            	                       	                        	                            	                        	                	                         	F                  	                      	                       	F                        	                        	                 	                           	                               	                      	                         	       

  IR	                 	                 	                  	late Pl       	181	1123	C	 19	X	CC	  25.00	    498.1000	forams   	Planktonic Foraminifers                      	R              	M                 	                	                      	                             	                      	                   	                       	                    	                      	P                      	                      	A                      	                    	                           	                              	R                            	                       	                        	                            	                        	                	                         	F                  	R                     	R                      	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	                 	                  	late Pl       	181	1123	C	 20	X	CC	   0.00	    506.3900	forams   	Planktonic Foraminifers                      	R              	M                 	                	                      	                             	                      	                   	                       	                    	R                     	                       	                      	                       	                    	                           	                              	F                            	                       	                        	                            	                        	                	                         	P                  	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	                 	                  	m Pl          	181	1123	C	 21	X	CC	   0.00	    516.9600	forams   	Planktonic Foraminifers                      	R              	M                 	                	                      	                             	                      	                   	                       	R                   	                      	                       	                      	                       	                    	                           	P                             	P                            	A                      	P                       	P                           	R                       	F               	R                        	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	                 	                  	              	181	1123	C	 22	X	CC	  23.00	    527.0600	forams   	Planktonic Foraminifers                      	T              	M                 	                	                      	                             	                      	                   	                       	                    	F                     	P                      	                      	                       	                    	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

