Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichomitra granulata,Buryella spp.,Phormocyrtis cubensis,Lamptonium pennatum,Lamptonium fabaeforme fabaeforme,Amphicraspedum murrayanum,Theocotylissa alpha,Podocyrtis papalis,Phormocyrtis turgida,Thyrsocyrtis hirsuta,Phormocyrtis striata striata,Phormocyrtis striata exquisita,Lychnocanoma babylonis group,Dictyoprora mongolfieri,Buryella clinata,Thyrsocyrtis rhizodon,Podocyrtis diamesa,Lithochytris vespertilio,Theocotylissa ficus,Theocotyle cryptocephala,Theocorys anaclasta,Spongatractus pachystylus,Rhopalocanium ornatum,Podocyrtis sinuosa,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme chaunothorax,Eusyringium lagena,Dictyoprora amphora,Dictyophimus craticula,Thyrsocyrtis robusta,Rhabdolithis pipa,Lithocyclia ocellus,Eusyringium fistuligerum,Thyrsocyrtis triacantha,Sethochytris triconiscus,Podocyrtis  ampla,Lophocyrtis biaurita,Calocyclas hispida,Podocyrtis mitra,Calocycloma ampulla,Anthocyrtoma sp.,Podocyrtis trachodes,Podocyrtis fasciolata,Podocyrtis chalara,Dictyoprora armadillo,Cryptocarpium ornatum,Lithocyclia aristotelis group,Podocyrtis goetheana,Dictyoprora pirum,Calocyclas turris,Thyrsocyrtis  tetracantha,Lychnocanoma bajunensis,Cryptocarpium azyx,Tristylospyris triceros,Lychnocanoma amphitrite,Thyrsocyrtis bromia,Thyrsocyrtis lochites,Calocyclas bandyca,Theocyrtis tuberosa,Artophormis gracilis,Lithocyclia angusta,Carpocanistrum spp.,Eucyrtidium diaphanes,Theocyrtis annosa,Centrobotrys gravida,Lophocyrtis spp.,Dorcadospyris ateuchus,Dorcadospyris papilio,Centrobotrys petrushevskayae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 999,B, 14,R, 1,  18.00,    649.6800,Nigrini  ,Radiolarians                                 ,R              ,VP                ,                     ,             ,                     ,                   ,                                ,                         ,                   ,                  ,                    ,                    ,                            ,                              ,                            ,                       ,                ,                     ,                  ,                        ,                   ,                        ,                   ,                         ,                     ,                  ,                                 ,                                  ,                  ,                   ,                      ,                    ,                 ,                   ,                        ,                       ,                        ,                 ,                    ,                  ,                ,                   ,                ,                    ,                     ,                  ,                     ,                     ,                             ,                    ,                 ,                 ,                         ,                       ,                  ,                       ,                       ,                   ,                     ,                  ,                   ,+                   ,                   ,                   ,                     ,                 ,                    ,                ,                      ,                     ,                            ,Mixed assemblage with very rare moderately well preserved specimens. From 165SR. Chapter 3. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 999,B, 14,R, 3,  31.00,    651.8200,Nigrini  ,Radiolarians                                 ,F              ,VP                ,                     ,             ,                     ,                   ,                                ,                         ,                   ,                  ,                    ,                    ,                            ,                              ,                            ,                       ,                ,                     ,                  ,                        ,                   ,                        ,                   ,                         ,                     ,                  ,                                 ,                                  ,                  ,                   ,                      ,                    ,                 ,                   ,                        ,                       ,                        ,                 ,                    ,                  ,                ,                   ,                ,                    ,                     ,                  ,                     ,                     ,                             ,                    ,                 ,                 ,                         ,                       ,                  ,+                      ,                       ,                   ,                     ,                  ,                   ,+                   ,                   ,+                  ,+                    ,                 ,                    ,                ,                      ,                     ,                            ,Mixed assemblage with very rare moderately well preserved specimens. From 165SR. Chapter 3. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 999,B, 14,R, 5,  26.00,    654.7700,Nigrini  ,Radiolarians                                 ,C              ,VP                ,                     ,             ,                     ,                   ,                                ,                         ,                   ,                  ,                    ,                    ,                            ,                              ,                            ,                       ,                ,                     ,                  ,                        ,                   ,                        ,                   ,                         ,                     ,                  ,                                 ,                                  ,                  ,                   ,                      ,                    ,                 ,                   ,                        ,                       ,                        ,                 ,                    ,                  ,                ,                   ,                ,                    ,                     ,                  ,                     ,                     ,                             ,                    ,                 ,                 ,                         ,                       ,                  ,                       ,                       ,                   ,                     ,                  ,                   ,+                   ,+                  ,                   ,                     ,                 ,                    ,                ,+                     ,+                    ,                            ,Mixed assemblage with very rare moderately well preserved specimens. From 165SR. Chapter 3. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,RP20              ,              ,165, 999,B, 15,R, 1,  24.00,    659.3400,Nigrini  ,Radiolarians                                 ,C              ,VP                ,                     ,             ,                     ,                   ,                                ,                         ,                   ,                  ,                    ,                    ,                            ,                              ,                            ,                       ,                ,                     ,                  ,                        ,                   ,                        ,                   ,                         ,                     ,                  ,                                 ,                                  ,                  ,                   ,                      ,                    ,                 ,                   ,                        ,                       ,                        ,                 ,                    ,                  ,                ,                   ,                ,                    ,                     ,                  ,                     ,                     ,                             ,                    ,                 ,                 ,                         ,                       ,                  ,+                      ,                       ,                   ,                     ,                  ,+                  ,+                   ,                   ,+                  ,                     ,                 ,                    ,+               ,                      ,                     ,+                           ,Mixed assemblage with rare moderately preserved specimens. From 165SR. Chapter 3. Table 3.
