Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Syracosphaera histrica	Rhabdosphaera clavigera	Reticulofenestra spp. small	Pseudoemiliania lacunosa	Pontosphaera japonica	Helicosphaera sellii	Helicosphaera kamptneri	Discoaster brouweri	Crenalithus doronicoides	Coccolithus pelagicus	Ceratolithus rugosus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster triradiatus	Umbilicosphaera mirabilis	Gephyrocapsa caribbeanica	Scyphosphaera sp.	Gephyrocapsa oceanica	Gephyrocapsa spp.	Comment



  SR	Pleistocene      	                 	CN14b             	              	108	 668	B	  2	H	 4	 130.00	      8.5000	Manivit  	Nannofossils                                 	A              	G                 	C                     	C                      	                           	                        	F                    	                    	C                      	                   	                        	                     	F                   	                      	F                     	                      	C                        	A                        	F                	A                    	A                	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 668	B	  2	H	 6	 130.00	     11.5000	Manivit  	Nannofossils                                 	A              	G                 	F                     	F                      	                           	R                       	R                    	                    	A                      	                   	                        	                     	R                   	                      	F                     	                      	F                        	A                        	F                	C                    	A                	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Pleistocene      	                 	CN14a             	              	108	 668	B	  2	H	CC	  16.00	     12.3400	Manivit  	Nannofossils                                 	A              	G                 	C                     	F                      	                           	R                       	R                    	                    	C                      	                   	                        	                     	F                   	                      	F                     	                      	F                        	A                        	F                	A                    	A                	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Pleistocene      	                 	CN13b             	CN14a         	108	 668	B	  3	H	 3	 103.00	     16.2300	Manivit  	Nannofossils                                 	A              	G                 	F                     	F                      	                           	F                       	R                    	                    	C                      	                   	                        	                     	R                   	                      	C                     	                      	F                        	A                        	F                	C                    	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Pleistocene      	                 	CN13b             	CN14a         	108	 668	B	  3	H	 5	 143.00	     19.6300	Manivit  	Nannofossils                                 	A              	G                 	F                     	C                      	                           	F                       	F                    	                    	A                      	                   	                        	                     	R                   	                      	C                     	                      	C                        	A                        	F                	C                    	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Pleistocene      	                 	CN13b             	              	108	 668	B	  3	H	 7	  22.00	     21.4200	Manivit  	Nannofossils                                 	A              	G                 	F                     	C                      	                           	F                       	F                    	                    	A                      	                   	                        	                     	F                   	                      	C                     	                      	C                        	C                        	R                	                     	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Pleistocene      	                 	CN13a             	CN13b         	108	 668	B	  4	H	 1	 103.00	     22.7300	Manivit  	Nannofossils                                 	A              	G                 	C                     	C                      	                           	F                       	R                    	R                   	C                      	                   	C                       	                     	F                   	                      	C                     	                      	F                        	C                        	R                	                     	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Pleistocene      	                 	CN13a             	              	108	 668	B	  4	H	 2	 143.00	     24.6300	Manivit  	Nannofossils                                 	A              	M                 	F                     	C                      	                           	F                       	F                    	F                   	C                      	                   	C                       	R                    	F                   	R                     	C                     	                      	F                        	F                        	                 	                     	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Pleistocene      	                 	CN12d             	CN13a         	108	 668	B	  4	H	 5	 103.00	     28.7300	Manivit  	Nannofossils                                 	A              	M                 	F                     	C                      	                           	F                       	R                    	F                   	A                      	                   	C                       	R                    	R                   	F                     	F                     	                      	                         	                         	                 	                     	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Late Pliocene    	                 	CN12d             	CN13a         	108	 668	B	  4	H	 6	  53.00	     29.7300	Manivit  	Nannofossils                                 	A              	M                 	C                     	F                      	A                          	F                       	F                    	F                   	C                      	R                  	C                       	F                    	R                   	F                     	F                     	R                     	                         	                         	                 	                     	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Late Pliocene    	                 	CN12d             	              	108	 668	B	  4	H	 6	 143.00	     30.6300	Manivit  	Nannofossils                                 	A              	M                 	C                     	F                      	A                          	F                       	F                    	F                   	C                      	F                  	C                       	F                    	F                   	F                     	F                     	F                     	                         	                         	                 	                     	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

  SR	Late Pliocene    	                 	                  	              	108	 668	B	  4	H	CC	   9.00	     31.0700	Manivit  	Nannofossils                                 	A              	M                 	C                     	C                      	A                          	F                       	R                    	F                   	C                      	F                  	C                       	F                    	F                   	F                     	F                     	                      	                         	                         	                 	                     	                 	from ODP Leg 108 SR Chapter 4 Table 14 p 60

