Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sin.),Globigerinita minuta,Globigerinita glutinata,Globigerina bulloides,Turborotalita quinqueloba,Tenuitella parkerae,Globorotalia scitula,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (dex.),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,CD1               ,              ,139, 858,D,  1,H, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,F              ,M                 ,+                                 ,                    ,                       ,+                    ,                         ,                   ,+                   ,0                                      ,0                                    ,+                                 ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 858,D,  1,H, 1,  37.00,      0.3700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                                  ,                    ,                       ,                     ,                         ,                   ,                    ,0                                      ,0                                    ,                                  ,from Leg 139 SR; Chapter 4; Table 5; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 858,D,  1,H, 2,  60.00,      2.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                                  ,                    ,                       ,                     ,                         ,                   ,                    ,30                                     ,0                                    ,                                  ,from Leg 139 SR; Chapter 4; Table 5; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 858,D,  1,H,CC,   6.00,      9.0600,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,+                                 ,                    ,+                      ,+                    ,+                        ,+                  ,+                   ,                                       ,                                     ,                                  ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,D,  2,H,CC,  54.00,     19.3600,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,+                                 ,+                   ,+                      ,+                    ,                         ,                   ,                    ,                                       ,                                     ,                                  ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,
