Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pyxilla fragments,Paralia sulcata var. crenulata,Coscinodiscus spp.,Xanthiopyxis spp.,Stephanopyxis turris,Sceptroneis spp.,Podosira spp.,Hemiaulus spp.,Chaetoceros spp. (resting spores),Actinoptychus senarius,Actinocyclus spp.,Sponge spicules,Silicoflagellate tests,Distephanosira architecturalis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  2,R,CC,   8.00,    362.9700,diatoms  ,Diatoms                                      ,C              ,M                 ,C                ,C                             ,C                 ,C                ,C                   ,                ,R            ,R             ,C                                ,                      ,C                ,F              ,F                     ,C                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  3,R,CC,  12.00,    372.6400,diatoms  ,Diatoms                                      ,C              ,MP                ,C                ,C                             ,R                 ,C                ,C                   ,R               ,C            ,C             ,C                                ,R                     ,F                ,               ,                      ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  4,R,CC,  13.00,    505.3800,diatoms  ,Diatoms                                      ,T              ,P                 ,R                ,R                             ,R                 ,                 ,                    ,                ,             ,              ,                                 ,                      ,                 ,               ,                      ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
