Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina cf. dutertrei	Globigerina cf. bulloides	Turborotalita quinqueloba	Comment



  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 1	  15.00	      0.1500	Spiegler 	Planktonic Foraminifers                      	               	P                 	C                                      	R                                    	R                             	                         	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 1	  69.00	      0.6900	Spiegler 	Planktonic Foraminifers                      	               	G                 	A                                      	R                                    	R                             	R                        	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 1	  82.00	      0.8200	Spiegler 	Planktonic Foraminifers                      	               	G                 	A                                      	R                                    	C                             	R                        	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 2	 103.00	      2.5300	Spiegler 	Planktonic Foraminifers                      	               	G                 	A                                      	R                                    	C                             	                         	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 3	  17.00	      3.1700	Spiegler 	Planktonic Foraminifers                      	               	G                 	A                                      	                                     	                              	                         	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 4	   6.00	      4.5600	Spiegler 	Planktonic Foraminifers                      	               	M                 	C                                      	                                     	                              	R                        	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 4	  18.00	      4.6800	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                                      	                                     	                              	                         	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 4	  41.00	      4.9100	Spiegler 	Planktonic Foraminifers                      	               	G                 	A                                      	                                     	                              	                         	R                        	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 4	  69.00	      5.1900	Spiegler 	Planktonic Foraminifers                      	               	G                 	A                                      	                                     	                              	                         	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 4	 116.00	      5.6600	Spiegler 	Planktonic Foraminifers                      	               	G                 	A                                      	R                                    	C                             	R                        	                         	From Leg 151; Ch 8; Table 8; p. 161

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 909	A	  1	H	 5	   5.00	      6.0500	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                                      	                                     	                              	                         	                         	From Leg 151; Ch 8; Table 8; p. 161

