Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies/neoabies,Reticulofenestra pseudoumbilica,Helicosphaera kamptneri,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Crenalithus doronicoides,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera sellii,Ceratolithus rugosus,Syracosphaera pulchra,Discoaster triradiatus,Scyphosphaera pulcherrima,Crenalithus radiatus,Gephyrocapsa spp.,Gephyrocapsa caribbeanica,Umbilicosphaera mirabilis,Syracosphaera histrica,Pontosphaera syracusana,Oolithotus antillarum,Gephyrocapsa oceanica,Ceratolithus telesmus,Thoracosphaera sp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,108, 662,A,  1,H,CC,  15.00,      3.1500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,                       ,                        ,                     ,                      ,C                     ,C                      ,                       ,                        ,                     ,                    ,                    ,R                    ,                      ,                         ,                    ,C                ,                         ,F                        ,R                     ,                       ,                     ,F                    ,R                    ,                  ,F                ,from ODP Leg 108 SR Chapter 4 Table 8 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,108, 662,A,  2,H, 1,  85.00,      4.0500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,                       ,                        ,                     ,                      ,C                     ,F                      ,                       ,                        ,                     ,                    ,                    ,F                    ,                      ,R                        ,                    ,A                ,C                        ,F                        ,                      ,                       ,                     ,A                    ,                     ,R                 ,R                ,from ODP Leg 108 SR Chapter 4 Table 8 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,108, 662,A,  2,H, 2,  10.00,      4.8000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,                       ,                        ,                     ,                      ,C                     ,F                      ,F                      ,                        ,R                    ,                    ,                    ,R                    ,                      ,                         ,                    ,A                ,A                        ,F                        ,                      ,R                      ,                     ,A                    ,R                    ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 8 p 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,108, 662,A,  2,H, 6,  37.00,     11.0700,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,                       ,C                       ,                     ,                      ,F                     ,                       ,F                      ,                        ,F                    ,                    ,                    ,                     ,                      ,                         ,                    ,A                ,A                        ,C                        ,F                     ,                       ,R                    ,A                    ,                     ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 8 p 52
