Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Transversopontis pulcher	Reticulofenestra umbilica	Reticulofenestra sp. (small)	Micrantholithus sp.	Helicosphaera seminulum	Discolithina oamaruensis	Discoaster saipanensis	Dictyococcites dictyodus	Cyclococcolithus luminis	Cyclococcolithus formosus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus eopelagicus	Helicosphaera lophota	Discoaster sp. cf. D. tani	Blackites tenuis	Sphenolithus moriformis	Discolithina distincta	Discoaster tanii	Discoaster distinctus	Chiasmolithus grandis	Braarudosphaera bigelowii	Sphenolithus radians	Discoaster sp. cf. D. distinctus	Discoaster binodosus	Zygrhablithus bijugatus	Helicosphaera euphratis	Discolithina sp. cf. D. oamaruensis	Discoaster germanicus	Discoaster barbadiensis	Chiasmolithus solitus	Isthmolithus recurvus	Helicosphaera sp. cf. H. compacta	Markalius inversus	Triquetrorhabdulus sp. cf. T. carinatus	Reticulofenestra insignita	Discoaster deflandrei	Cyclicargolithus abisectus	Coccolithus miopelagicus	Triquetrorhabdulus carinatus	Sphenolithus dissimilis	Chiasmolithus altus	Discolithina desueta	Dictyococcites sp. cf. D. dictyodus	Discolithina sp. cf. D. enormis	Helicosphaera sp. cf. H. euphratis	Discoaster druggii	Helicosphaera carteri	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilicus	Helicosphaera ampliaperta	Discoaster exilis	Reticulofenestra cf. pseudoumbilica	Sphenolithus abies	Discoaster brouweri	Discoaster VI sec. calc.	Discoaster variabilis	Cyclococcolithus rotula	Cyclococcolithus macintyrei	Cyclococcolithus leptoporus	Lithostromation perdurum	Discoaster sp. cf. D. brouweri	Discoaster sp. cf. D. exilis	Gephyrocapsa sp.	Ceratolithus rugosus	Scyphosphaera sp. (base)	Gephyrocapsa oceanica	Gephyrocapsa aperta	Umbilicosphaera mirabilis	Emiliania huxleyi	Comment



  SR	Quaternary       	                 	NN21              	              	112	 682	A	  1	H	 2	  95.00	      2.4500	Martini  	Nannofossils                                 	               	G                 	                        	                         	                            	                   	                       	                        	                      	                        	                        	                         	                           	                         	                      	C                    	                       	                     	                          	                	                       	                      	                	                     	                     	                         	                    	                                	                    	                       	                       	                                   	                     	                       	                     	                     	                                 	                  	                                       	                          	                     	                          	                        	                            	                       	                   	                    	                                   	                               	                                  	                  	F                    	                          	                                	                         	                 	                                   	                  	                   	                        	                     	                       	                           	R                          	                        	                              	                            	                	                    	                        	F                    	C                  	F                        	F                	from ODP Leg 112 SR Chapter 14 Table 5 p 222

  SR	Quaternary       	                 	NN20              	              	112	 682	A	  1	H	 4	  95.00	      5.4500	Martini  	Nannofossils                                 	               	P/M               	                        	                         	                            	                   	                       	                        	                      	                        	                        	                         	                           	                         	                      	R                    	                       	                     	                          	                	                       	                      	                	                     	                     	                         	                    	                                	                    	                       	                       	                                   	                     	                       	                     	                     	                                 	                  	                                       	                          	                     	                          	                        	                            	                       	                   	                    	                                   	                               	                                  	                  	R                    	                          	                                	                         	                 	                                   	                  	                   	                        	                     	                       	                           	                           	                        	                              	                            	                	                    	                        	F                    	F                  	                         	                 	from ODP Leg 112 SR Chapter 14 Table 5 p 222

  SR	Quaternary       	                 	NN20              	              	112	 682	A	  2	H	 3	   7.00	     12.8700	Martini  	Nannofossils                                 	               	M                 	                        	                         	                            	                   	                       	                        	                      	                        	                        	                         	                           	                         	                      	F                    	                       	                     	                          	                	                       	                      	                	                     	                     	                         	                    	                                	                    	                       	                       	                                   	                     	                       	                     	                     	                                 	                  	                                       	                          	                     	                          	                        	                            	                       	                   	                    	                                   	                               	                                  	                  	F                    	                          	                                	                         	                 	                                   	                  	                   	                        	                     	                       	                           	R                          	                        	                              	                            	                	                    	                        	F                    	A                  	R                        	                 	from ODP Leg 112 SR Chapter 14 Table 5 p 222

  SR	Quaternary       	                 	NN20              	              	112	 682	A	  2	H	CC	  18.00	     18.9300	Martini  	Nannofossils                                 	               	M                 	                        	                         	                            	                   	                       	                        	                      	                        	                        	                         	                           	                         	                      	R                    	                       	                     	                          	                	                       	                      	                	                     	                     	                         	                    	                                	                    	                       	                       	                                   	                     	                       	                     	                     	                                 	                  	                                       	                          	                     	                          	                        	                            	                       	                   	                    	                                   	                               	                                  	                  	F                    	                          	                                	                         	                 	                                   	                  	                   	                        	                     	                       	                           	C                          	                        	                              	                            	                	                    	                        	F                    	A                  	                         	                 	from ODP Leg 112 SR Chapter 14 Table 5 p 222
