Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stephanopyxis turris	Paralia sulcata	Denticulopsis punctata var. hustedtii	Denticulopsis hustedtii	Delphineis novaecaesaraea	Asteromphalus undulatus	Thalassiosira grunowii	Rhizosolenia barboi	Coscinodiscus temperei var. delicata	Coscinodiscus temperei	Actinocyclus ellipticus	Cymatosira immunis	Coscinodiscus yabei	Actinocyclus ingens	Thalassionema nitzschioides	Roperia tesselata	Mediaria splendida	Rossiella paleacea	Craspedodiscus coscinodiscus	Azpeitia endoi	Actinocyclus tenellus	Paralia sulcata var. coronata	Hemidiscus cuneiformis	Thalassiosira lineata	Cavitatus jouseanus	Stephanopyxis grunowii	Coscinodiscus marginatus	Rhizosolenia praebarboi	Comment



  SR	                 	                 	                  	              	150	 903	A	  1	H	CC	  14.00	      9.3000	Burckle  	Diatoms                                      	R              	P                 	R                   	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	R                    	                   	                      	                        	R                      	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	  2	H	CC	  21.00	     19.2300	Burckle  	Diatoms                                      	R              	P                 	R                   	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 12	H	CC	  68.00	    115.0300	Burckle  	Diatoms                                      	R              	M                 	R                   	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 13	H	CC	  21.00	    120.1400	Burckle  	Diatoms                                      	R              	P                 	R                   	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 15	H	CC	  34.00	    135.6800	Burckle  	Diatoms                                      	R              	M                 	R                   	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 24	X	CC	  62.00	    199.1900	Burckle  	Diatoms                                      	C              	G                 	                    	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	C                 	                  	                            	              	                     	                             	                      	F                    	                   	                      	F                       	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

