Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Thoracosphaera spp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera clavigera,Reticulofenestra minutula (3-5 microns)  ,Reticulofenestra minuta (<3 microns),Pseudoemiliania lacunosa (round),Pseudoemiliania lacunosa (elliptical),Pontosphaera discopora,Helicosphaera carteri,Gephyrocapsa spp. (<3 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Gephyrocapsa oceanica (3-4 microns)  ,Gephyrocapsa caribbeanica (3-4 microns),Discoaster spp.,Dictyococcites productus,Coccolithus pelagicus,Coccolithus crassipons,Calcidiscus leptoporus,Pontosphaera japonica,Dictyococcites perplexus,Ceratolithus cristatus,Helicosphaera sellii,Calcidiscus macintyrei,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,149, 897,A,  1,R, 1,  95.00,      0.9500,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,                     ,F                      ,F                                        ,A                                   ,                                ,                                     ,                      ,F                    ,A                             ,                                       ,F                                    ,                                       ,r              ,                        ,F                    ,C                     ,A                     ,                     ,                        ,                      ,                    ,                      ,F                ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,149, 897,A,  1,R, 1, 125.00,      1.2500,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,C                    ,                     ,F                      ,F                                        ,A                                   ,                                ,                                     ,R                     ,F                    ,A                             ,F                                      ,C                                    ,                                       ,               ,                        ,R                    ,F                     ,A                     ,                     ,                        ,                      ,                    ,                      ,F                ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,149, 897,A,  3,R, 1,  39.00,     17.0900,Liu      ,Nannofossils                                 ,V              ,G                 ,C                      ,R                  ,C                    ,F                    ,C                      ,F                                        ,V                                   ,                                ,                                     ,                      ,F                    ,A                             ,C                                      ,C                                    ,                                       ,               ,R                       ,F                    ,R                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,149, 897,A,  3,R, 1,  49.00,     17.1900,Liu      ,Nannofossils                                 ,V              ,G                 ,C                      ,R                  ,C                    ,F                    ,C                      ,F                                        ,V                                   ,                                ,                                     ,                      ,F                    ,A                             ,C                                      ,F                                    ,                                       ,               ,                        ,C                    ,C                     ,A                     ,                     ,R                       ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
