Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira yabei	Thalassionema nitzschioides	Synedra jouseana	Stephanopyxis turris	Rouxia californica	Rhizosolenia barboi	Paralia sulcata	Grammatophora spp.	Denticulopsis hustedtii	Coscinodiscus marginatus	Chaetoceros spp.	Aulacoseira granulata	Actinoptychus senarius	Thalassionema schraderi	Thalassionema hirosakiensis	Rhizosolenia styliformis	Rhizosolenia hebetata	Opephora martyi	Denticulopsis dimorpha	Coscinodiscus elegans	Azpeitia endoi	Thalassiosira manifesta	Denticulopsis katayamae	Cocconeis scutellum	Cocconeis costata	Actinocyclus ingens	Goniothecium tenue	Coscinodiscus symbolophorus	Coscinodiscus obscurus	Odontella aurita	Nitzschia rolandii	Nitzschia pliocena	Thalassiosira marujamica	Nitzschia spp.	Hemiaulus polymorphus	Asteromphalus robustus	Asterolampra marylandica	Rhizosolenia miocenica	Neodenticula kamtschatica	Diploneis interrupta	Thalassiosira temperei	Pseudopodosira elegans	Nitzschia reinholdii	Denticulopsis praedimorpha	Thalassiosira antiqua	Stephanopyxis spp.	Coscinodiscus stellaris	Coscinodiscus oculus-iridis	Thalassiosira nidulus	Cocconeis californica	Cosmiodiscus insignis	Actinocyclus octonarius	Thalassiosira jacksonii	Thalassiosira zabellinae	Actinocyclus curvatulus	Diploneis smithii	Thalassiosira oestrupii	Thalassiosira sp. 1	Navicula lyra	Denticulopsis hyalina	Delphineis surirella	Cymatosira debyi	Rhizosolenia alata	Cocconeis disculus	Thalassiosira trifulta	Thalassiosira lineata	Thalassiosira eccentrica	Thalassionema bacillaris	Nitzschia sicula	Navicula spp.	Diploneis coffeiformis	Achnanthes lanceolata	Thalassiothrix frauenfeldii	Thalassiosira plicata	Thalassiosira gravida	Eunotia spp.	Thalassiosira pacifica	Rossiella tatsunokuchiensis	Trachyneis aspera	Thalassiosira leptopus	Thalassiosira hyalina	Thalassiosira convexa	Rhopalodia gibberula	Rhaphoneis amphiceros	Navicula mutica	Mastogloia capitata	Gomphonema abbreviatum	Fragilaria construens	Epithemia turgida	Diploneis oculata	Cymbella sinensis	Cyclotella striata	Cocconeis placentula var. euglypta	Actinocyclus ochotensis	Achnanthes brevipes	Lithodesmium undulatum	Hemidiscus cuneiformis	Rhizosolenia setigera	Melosira albicans	Coscinodiscus marginatus (girdles)	Chaetoceros spores	Thalassiosira nordenskioeldii	Neodenticula koizumii	Diploneis bombus	Cymatotheca weissflogii	Nitzschia granulata	Rouxia sp.	Actinocyclus sp.	Coscinodiscus radiatus	Thalassiosira lacustris	Cocconeis pseudomarginatus	Bacterosira fragilis	Neodenticula seminae	Plagiogramma staurophorum	Navicula pygmaea	Cyclotella kutzingiana	Cyclotella antiqua	Porosira glacialis	Diploneis elliptica	Cocconeis fluminensis	Azpeitia nodulifer	Actinocyclus oculatus	Achnanthes diapar	Thalassiosira decipiens	Cyclotella styroleum	Rhizosolenia curvirostris	Gomphonema olivacium	Synedra ulna	Cyclotella chaetoceras	Roperia tesselata	Rhizosolenia bergonii	Gomphonema longiceps	Fragilaria leptostauron	Calloneis bacillum	Cymbella tumida	Pseudoeunotia doliolus	Pinnularia appendiculata	Gomphonema tergrstinum	Nitzschia fossilis	Nitzschia braarudii	Diploneis weissflogi	Biddulphia sinensis	Bacillaria paradoxa	Azpeitia tabularis	Comment



  SR	Quaternary       	                 	NPD 12            	              	127	 794	A	  1	H	 1	  43.00	      0.4300	Koizumi  	Diatoms                                      	               	                  	2                        	                   	32                         	                	4                   	                  	                   	7              	                  	                       	11                      	55              	2                    	4                     	                       	                           	                        	5                    	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	r1                       	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	3                      	1                	10                     	                   	             	                     	2                   	                	                  	                  	26                    	                     	3                       	8                       	2               	             	                      	1                    	7                          	                     	                     	            	4                     	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	7                	                 	1                 	                                  	1                      	                   	                      	                      	                     	                 	                                  	                  	                             	r1                   	2               	                       	                   	          	                	2                     	                       	                          	1                   	29                  	                         	                	1                     	                  	                  	                   	                     	1                 	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	3                     	                        	                      	2                 	3                  	1                   	1                  	1                  	7                 	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	NPD 12            	              	127	 794	A	  1	H	 2	  43.00	      1.9300	Koizumi  	Diatoms                                      	               	                  	1                        	                   	                           	                	                    	                  	                   	               	                  	                       	                        	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	1                          	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	NPD 12            	              	127	 794	A	  1	H	 3	 109.00	      4.0900	Koizumi  	Diatoms                                      	               	                  	                         	                   	                           	                	                    	                  	                   	               	                  	                       	                        	                	1                    	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	1                 	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	1                 	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	NPD 12            	              	127	 794	A	  2	H	 1	  44.00	      7.2400	Koizumi  	Diatoms                                      	               	                  	                         	                   	                           	                	                    	                  	                   	               	                  	                       	                        	                	                     	                      	1                      	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	1                         	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269
