Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Roperia tesselata,Nitzschia marina,Hemidiscus sp.,Hemidiscus cuneiformis,Ethmodiscus sp. (fragments),Azpeitia nodulifera,Thalassionema nitzschioides  var. parva,Thalassiosira sp. 1,Thalassiosira oestrupii,Thalassiosira eccentrica,Thalassionema bacillaris,Nitzschia bicapitata,Cyclotella (unspecified taxon),Azpeitia sp.,Azpeitia africana,Asteromphalus sacrophagus forma sacrophagus,Asteromphalus robustus,Actinocyclus unspecified taxon,Actinocyclus curvatulus,Thalassiosira leptopus,Paralia sulcata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 873,B,  1,H, 1,   0.00,      0.0000,Fenner   ,Diatoms                                      ,               ,                  ,                 ,S               ,              ,R                     ,S                          ,R                  ,                                       ,                   ,                       ,S                       ,                        ,                    ,                              ,            ,                 ,                                           ,                      ,                              ,                       ,S                     ,S              ,from ODP Leg 144 SR; Ch 3; Table 4; p. 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 873,B,  1,H, 1,  30.00,      0.3000,Fenner   ,Diatoms                                      ,               ,                  ,                 ,R               ,              ,S                     ,S                          ,S                  ,                                       ,S                  ,S                      ,S                       ,S                       ,S                   ,S                             ,S           ,S                ,R                                          ,S                     ,R                             ,S                      ,                      ,               ,from ODP Leg 144 SR; Ch 3; Table 4; p. 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 873,B,  1,H, 1,  81.00,      0.8100,Fenner   ,Diatoms                                      ,               ,                  ,                 ,S               ,              ,S                     ,S                          ,R                  ,S                                      ,                   ,                       ,                        ,                        ,                    ,                              ,            ,                 ,                                           ,                      ,                              ,                       ,                      ,               ,from ODP Leg 144 SR; Ch 3; Table 4; p. 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 873,B,  1,H, 2,   0.00,      1.1900,Fenner   ,Diatoms                                      ,               ,                  ,S                ,S               ,S             ,R                     ,S                          ,R                  ,                                       ,                   ,                       ,                        ,                        ,                    ,                              ,            ,                 ,                                           ,                      ,                              ,                       ,                      ,               ,from ODP Leg 144 SR; Ch 3; Table 4; p. 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
