Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera heimii,Sphenolithus stellatus,Sphenolithus radians,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus intercalaris,Scyphosphaera biarritzensis,Rhabdosphaera scabrosa,Rhabdosphaera pseudomorionum,Rhabdosphaera morionum,Pseudotriquetrorhabdulus inversus,Pontosphaera latoculata,Markalius inversus,Helicosphaera papillata,Helicosphaera compacta,Ericsonia formosa,Discoaster wemmelensis,Discoaster strictus,Discoaster septemradiatus,Discoaster lodoensis,Discoaster diastypus,Discoaster cruciformis,Discoaster bifax,Discoaster barbadiensis,Dictyococcites scrippsae,Coronocyclus nitescens,Coccolithus eopelagicus,Chiphragmalithus barbatus,Chiasmolithus solitus,Chiasmolithus oamaruensis,Chiasmolithus gigas,Chiasmolithus eograndis,Thoracosphaera saxea,Sphenolithus spiniger,Sphenolithus moriformis,Sphenolithus furcatolithoides,Semihololithus kerabyi,Scyphosphaera expansa,Scyphosphaera columella,Rhabdosphaera tenuis,Rhabdosphaera perlonga,Reticulofenestra dictyoda,Pontosphaera ocellata,Pontosphaera multipora,Pontosphaera formosa,Nannotetrina cristata,Lophodolithus acutus,Helicosphaera seminulum,Helicosphaera lophota,Helicosphaera dinesenii,Ericsonia obruta,Discoaster nonaradiatus,Discoaster martinii,Discoaster deflandrei,Cruciplacolithus tarquinius,Coronocyclus prionion,Chiasmolithus titus,Chiasmolithus nitidus,Chiasmolithus grandis,Chiasmolithus expansus,Campylosphaera dela,Zygrhablithus bijugatus,Transversopontis pulcheroides,Scyphosphaera tercisensis,Scapholithus fossilis,Neococcolithes dubius,Discoaster sublodoensis,Discoaster gemmifer,Coccolithus pelagicus,Chiasmolithus consuetus,Tribrachiatus bramlettei,Transversopontis pulcher,Toweius pertusus,Toweius gammation,Sphenolithus editus,Neococcolithes protenus,Lophodolithus nascens,Lophodolithus mochlophorus,Discoaster kuepperi,Discoaster binodosus,Cruciplacolithus cribellum,Umbellosphaera irregularis,Syracosphaera spp.,Scyphosphaera (unspecified taxon or taxa),Rhabdosphaera spp.,Reticulofenestra spp. (large),Pseudoemiliania lacunosa E,Pseudoemiliania lacunosa C,Oolithotus antillarum,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp. 3,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Emiliania huxleyi,Cyclolithus annulus,Calcidiscus macintyrei,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 1,   5.00,      0.0500,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.4%2                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.6%3                      ,1.0%5             ,.0%0                                     ,.6%3              ,.0%0                         ,1.7%9                     ,.6%3                      ,.0%0                 ,.2%1                ,1.0%5                ,61.9%323                 ,9.4%49                   ,.0%0              ,15.1%79                   ,5.4%28                   ,.0%0             ,1.2%6              ,.0%0                  ,1.2%6                 ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 1,  50.00,      0.5000,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.4%2                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.8%4                      ,1.1%6             ,.0%0                                     ,.2%1              ,.0%0                         ,1.5%8                     ,.9%5                      ,.0%0                 ,1.1%6               ,1.9%10               ,56.6%300                 ,4.7%25                   ,.0%0              ,20.6%109                  ,9.1%48                   ,.0%0             ,.6%3               ,.0%0                  ,.6%3                  ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 1, 100.00,      1.0000,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.2%1                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.9%5                      ,.9%5              ,.0%0                                     ,.0%0              ,.0%0                         ,6.2%35                    ,2.3%13                    ,.2%1                 ,.9%5                ,1.2%7                ,54.4%307                 ,5.5%31                   ,.0%0              ,15.1%85                   ,10.5%59                  ,.0%0             ,.7%4               ,.0%0                  ,1.1%6                 ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 2,   5.00,      1.2400,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.2%1                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.0%0                      ,.4%2              ,.0%0                                     ,.0%0              ,.0%0                         ,6.0%31                    ,3.7%19                    ,.4%2                 ,.6%3                ,1.0%5                ,59.9%311                 ,7.1%37                   ,.0%0              ,4.2%22                    ,13.9%72                  ,.0%0             ,1.7%9              ,.0%0                  ,1.0%5                 ,from Leg 144 SR; Ch 1; Table 5; p 18-19
