Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira vulnifica	Thalassiosira torokina	Thalassiosira ritscherii	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira inura	Thalassiosira insigna	Thalassiosira elliptipora	Nitzschia ritscherii	Actinocyclus maccollumii	Actinocyclus karstenii	Thalassiosira oliverana	Thalassiosira fasciculata	Actinocyclus actinochilus	Thalassiosira oestrupii	Thalassiosira complicata	Paralia sulcata	Denticulopsis simonsenii	Nitzschia interfrigidaria	Thalassionema nitzschioides	Odontella aurita	Eucampia antarctica	Thalassiosira convexa	Nitzschia kerguelenis	Comment



  IR	                 	                 	                  	              	178	1096	B	  2	H	CC	  18.00	     13.3200	Winter   	Diatoms                                      	               	                  	                       	                      	                        	                         	                    	+                  	                     	                         	                    	                        	                      	                       	                         	                         	                       	                        	               	+                       	                         	+                          	                	                   	                     	F                    	> 1.85 (T. inura) < 3.3 (F. kerg.) Forams

  IR	                 	                 	                  	              	178	1096	B	  3	H	CC	  11.00	     23.0500	Winter   	Diatoms                                      	               	                  	                       	                      	                        	                         	                    	                   	                     	                         	                    	                        	                      	                       	                         	                         	                       	                        	               	+                       	                         	+                          	                	                   	+                    	+                    	< 3.3

  IR	                 	                 	                  	              	178	1096	B	  4	H	CC	  12.00	     32.2000	Winter   	Diatoms                                      	C              	P                 	                       	+                     	                        	                         	                    	                   	                     	                         	                    	                        	                      	                       	                         	                         	                       	                        	               	                        	                         	                           	                	                   	                     	                     	NADP

  IR	                 	                 	                  	              	178	1096	B	 10	H	CC	  33.00	     88.4600	Winter   	Diatoms                                      	F              	P                 	                       	                      	                        	                         	                    	+                  	                     	                         	                    	                        	                      	                       	                         	                         	                       	                        	               	                        	                         	                           	                	                   	                     	                     	NADP

  IR	                 	                 	                  	              	178	1096	B	 12	H	CC	  11.00	    108.1600	Winter   	Diatoms                                      	C              	P                 	                       	                      	                        	                         	                    	+                  	                     	                         	                    	                        	                      	                       	                         	                         	                       	                        	+              	                        	                         	                           	+               	                   	                     	                     	NADP

  IR	                 	                 	                  	              	178	1096	B	 20	H	CC	  23.00	    166.6200	Winter   	Diatoms                                      	R              	P                 	+                      	                      	                        	                         	                    	                   	                     	+                        	                    	                        	                      	                       	                         	                         	                       	                        	+              	                        	                         	                           	                	+                  	                     	                     	< 3.3

  IR	                 	                 	                  	              	178	1096	B	 21	H	CC	  10.00	    166.8000	Winter   	Diatoms                                      	R              	P                 	                       	                      	                        	                         	                    	+                  	                     	                         	                    	                        	                      	+                      	                         	                         	                       	                        	               	                        	                         	                           	                	                   	                     	                     	> 1.85  < 4.85

  IR	                 	                 	                  	              	178	1096	B	 22	X	CC	  10.00	    168.8400	Winter   	Diatoms                                      	R              	P                 	                       	                      	                        	                         	                    	                   	                     	                         	                    	                        	                      	+                      	+                        	                         	                       	+                       	               	                        	                         	+                          	+               	                   	                     	                     	< 4.4

  IR	                 	                 	                  	              	178	1096	B	 24	X	CC	  21.00	    192.9800	Winter   	Diatoms                                      	F              	P                 	                       	R                     	                        	                         	                    	+                  	                     	                         	                    	                        	                      	                       	                         	                         	                       	                        	               	                        	                         	                           	                	                   	                     	                     	       

  IR	                 	                 	                  	              	178	1096	B	 26	X	CC	  23.00	    212.3800	Winter   	Diatoms                                      	F              	P                 	                       	+                     	                        	                         	                    	                   	                     	                         	                    	                        	+                     	                       	+                        	                         	+                      	                        	               	                        	+                        	                           	                	                   	                     	                     	> 2.6  < 3.6 (F. interfrig)

  IR	                 	                 	                  	              	178	1096	B	 27	X	CC	  29.00	    218.0600	Winter   	Diatoms                                      	               	                  	+                      	+                     	                        	                         	                    	                   	                     	                         	                    	+                       	+                     	+                      	                         	                         	                       	                        	               	                        	                         	                           	                	                   	                     	                     	A. maccollumii - <2.9/3.32? older here? > 2.28 < 3.17 (T. vulnifica)

  IR	                 	                 	                  	              	178	1096	B	 28	X	CC	  11.00	    226.9400	Winter   	Diatoms                                      	C              	P                 	                       	+                     	                        	                         	                    	+                  	                     	                         	                    	                        	                      	                       	                         	                         	+                      	                        	+              	                        	                         	                           	                	                   	                     	                     	C. pinnata (1)

  IR	                 	                 	                  	              	178	1096	B	 29	X	CC	  12.00	    239.7200	Winter   	Diatoms                                      	               	                  	F                      	C                     	                        	                         	                    	F                  	+                    	                         	                    	                        	F                     	                       	                         	                         	R                      	R                       	R              	+                       	                         	                           	                	                   	                     	                     	> 2.57  < 3.26

  IR	                 	Late Pliocene    	                  	              	178	1096	B	 30	X	CC	  34.00	    247.2400	Winter   	Diatoms                                      	F              	MP                	                       	F                     	                        	                         	                    	R                  	                     	                         	                    	                        	                      	                       	                         	                         	                       	                        	               	                        	                         	                           	                	                   	                     	                     	       

  IR	                 	                 	                  	              	178	1096	B	 31	X	CC	  11.00	    250.2700	Winter   	Diatoms                                      	               	                  	+                      	+                     	                        	+                        	                    	+                  	F                    	+                        	                    	                        	+                     	+                      	+                        	+                        	                       	                        	               	                        	                         	                           	                	                   	                     	                     	       

  IR	                 	                 	                  	              	178	1096	B	 32	X	CC	  14.00	    257.2100	Winter   	Diatoms                                      	               	                  	+                      	+                     	+                       	+                        	+                   	+                  	+                    	+                        	+                   	+                       	+                     	                       	                         	                         	                       	                        	               	                        	                         	                           	                	                   	                     	                     	< 3.26 ?? could be older, rads say 3.5?

