Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina dutertrei,Menardella menardii,Hastigerina siphonifera,Globorotaloides hexagona,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia scitula,Globorotalia hirsuta,Globorotalia crassaformis hessi,Globorotalia crassaformis,Globorotalia conglomerata,Globorotalia aequilaterus,Globoconella inflata,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber (pink),Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Beella digitata,Globorotalia tosaensis,Globorotalia menardii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,1,H,CC,25.00,4.7500,Christensen,Planktonic Foraminifers                      ,               ,                  ,4,-                           ,D24,5,-                         ,                   ,                       ,1,-                  ,-                            ,3,-                   ,-                              ,A9,-                        ,-                        ,3,-                       ,1,2,-                    ,-                            ,-                        ,-                      ,-                      ,A17,               ,1,                     ,"This sample seems to have two components- an in situ fauna, and a transported assemblage. The in situ fauna is similar to the 1075 coretop (Gs. ruber- pink and other dissolution susceptible specimen) . The transported assemblage is defined by damaged and eroded O. universa and some dissolution resistant species such as G. crassaformis. Many fragments"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,2,H,CC,0.00,13.2100,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,1,+                           ,D33,+                                      ,2,                   ,5,                        ,+                  ,+                            ,+                   ,1,+                              ,D23,+                        ,+                        ,3,+                       ,+                         ,+                           ,3,+                            ,+                        ,+                      ,+                      ,2,               ,                      ,                     ,Less reworking; benthic forams are also common but planktonics are fewer in number.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,3,H,CC,30.00,24.2900,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,+                          ,1,D23,+                                      ,A12,                   ,A18,                        ,+                  ,+                            ,+                   ,+                   ,+                              ,+                        ,+                        ,                         ,+                   ,2,2,5,A9,+                            ,+                        ,+                      ,+                      ,+                    ,1,                      ,                     ,Different fauna from the overlyig sample (2h-cc)Also there are some pyritized forams.Also found a bivalve with both shells.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,4,H,CC,21.00,33.6200,Christensen,Planktonic Foraminifers                      ,F              ,M                 ,A5,-                           ,A6,1,D12,                   ,                       ,1,2,1,1,-                   ,-                              ,3,-                        ,1,4,3,1,2,D12,-                            ,-                        ,-                      ,-                      ,A7,               ,                      ,                     ,There are only a few foraminifera. The form that I am calling G. crassaformis is provbably inaccurate since it has 4 1/2 chambers and crassaformis is restricted to 4 chambers.
