Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus abies/neoabies,Reticulofenestra pseudoumbilica,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera carteri,Hayaster perplexus,Geminilithella rotula,Discoaster variabilis,Discoaster triradiatus,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster blackstockae,Discoaster berggrenii,Discoaster asymmetricus,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Syracosphaera pulchra,Discoaster quadramus,Coccolithus pelagicus,Ceratolithus separatus,Rhabdosphaera clavigera,Pontosphaera sp. 1,Helicosphaera wallichii,Umbilicosphaera mirabilis,Pontosphaera multipora,Syracosphaera histrica,Helicosphaera sellii,Helicosphaera hyalina,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Helicosphaera neogranulata,Scyphosphaera globulata,Rhabdosphaera stylifera,Helicosphaera inversa,Oolithotus fragilis,Scapholithus fossilis,Umbellosphaera irregularis,Emiliania huxleyi,Ceratolithus simplex,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,125, 781,A,  1,R, 1,   2.00,      0.0200,Ciampo   ,Nannofossils                                 ,               ,P                 ,                       ,                           ,                               ,                        ,                     ,R                    ,                  ,                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,                     ,                       ,R                     ,                      ,F                     ,                     ,                    ,R                    ,                      ,                       ,                  ,                       ,R                        ,                      ,                      ,                    ,R                    ,F                    ,R                        ,                          ,                       ,                       ,                     ,                   ,                     ,                          ,F                ,R                   ,from 125SR.Chapter 2.Table 1.page 18 - 19.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,125, 781,A,  1,R, 1,  65.00,      0.6500,Ciampo   ,Nannofossils                                 ,               ,P                 ,                       ,                           ,                               ,                        ,                     ,                     ,                  ,                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,                     ,                       ,                      ,                      ,R                     ,                     ,                    ,                     ,                      ,                       ,                  ,                       ,                         ,                      ,                      ,                    ,                     ,R                    ,                         ,                          ,                       ,                       ,                     ,                   ,                     ,                          ,                 ,                    ,from 125SR.Chapter 2.Table 1.page 18 - 19.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,125, 781,A,  1,R, 3,  30.00,      2.6300,Ciampo   ,Nannofossils                                 ,               ,P                 ,                       ,                           ,                               ,                        ,                     ,R                    ,                  ,                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,                     ,                       ,                      ,                      ,R                     ,                     ,                    ,                     ,                      ,                       ,                  ,                       ,                         ,                      ,                      ,                    ,                     ,                     ,                         ,                          ,                       ,                       ,                     ,                   ,                     ,                          ,                 ,                    ,from 125SR.Chapter 2.Table 1.page 18 - 19.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,125, 781,A,  1,R, 4,  69.00,      4.5200,Ciampo   ,Nannofossils                                 ,               ,M                 ,                       ,                           ,                               ,                        ,                     ,                     ,                  ,                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,                     ,                       ,R                     ,                      ,R                     ,                     ,                    ,R                    ,                      ,                       ,                  ,                       ,R                        ,                      ,                      ,                    ,                     ,                     ,R                        ,                          ,                       ,                       ,                     ,                   ,                     ,                          ,R                ,                    ,from 125SR.Chapter 2.Table 1.page 18 - 19.
