Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,initial_comments,comments
,,Candeina,,,,nitida,,,,Candeina nitida,planktic_forams,Candeina nitida,,
,,Dentoglobigerina,,,,altispira,,,,Dentoglobigerina altispira,planktic_forams,Dentoglobigerina altispira,,
,,Dentoglobigerina,,,,baroemoenensis,,,,Dentoglobigerina baroemoenensis,planktic_forams,Dentoglobigerina baroemoenensis,,
,,Globigerina,,,,bulloides,,,,Globigerina bulloides,planktic_forams,Globigerina bulloides,,
,,Globigerina,,,,falconensis,,,,Globigerina falconensis,planktic_forams,Globigerina falconensis,,
,,Globigerina,,,,rubescens,,,,Globigerina rubescens,planktic_forams,Globigerina rubescens,,
,,Globigerinella,,,,calida,,,,Globigerinella calida,planktic_forams,Globigerinella calida,,
,,Globigerinella,,,,siphonifera,,,,Globigerinella siphonifera,planktic_forams,Globigerinella siphonifera,,
,,Globigerinita,,,,glutinata,,,,Globigerinita glutinata,planktic_forams,Globigerinita glutinata,,
,,Globigerinoides,,,,bulloideus,,,,Globigerinoides bulloideus,planktic_forams,Globigerinoides bulloideus,,
,,Globigerinoides,,,,conglobatus,,,,Globigerinoides conglobatus,planktic_forams,Globigerinoides conglobatus,,
,,Globigerinoides,,,,extremus,,,,Globigerinoides extremus,planktic_forams,Globigerinoides extremus,,
,,Globigerinoides,,,,fistulosus,,,,Globigerinoides fistulosus,planktic_forams,Globigerinoides fistulosus,,
,,Globigerinoides,,,,immaturus,,,,Globigerinoides immaturus,planktic_forams,Globigerinoides immaturus,,
,,Globigerinoides,,,,obliquus,,,,Globigerinoides obliquus,planktic_forams,Globigerinoides obliquus,,
,,Globigerinoides,,,,pyramidalis,,,,Globigerinoides pyramidalis,planktic_forams,Globigerinoides pyramidalis,,
,,Globigerinoides,,,s.l.,ruber,,,,Globigerinoides s.l. ruber,planktic_forams,"Globigerinoides ruber s.l. Wang, 2000",,
,,Globigerinoides,,,s.s.,ruber,,,,Globigerinoides s.s. ruber,planktic_forams,Globigerinoides ruber s.s.,,
,,Globigerinoides,,,,sacculifer,,,,Globigerinoides sacculifer,planktic_forams,Globigerinoides sacculifer,,
,,Globigerinoides,,,,sacculifer,,,without sac,Globigerinoides sacculifer (without sac),planktic_forams,Globigerinoides sacculifer (without sac),,
,,Globigerinoides,,,,subquadratus,,,,Globigerinoides subquadratus,planktic_forams,Globigerinoides subquadratus,,
,,Globigerinoides,,,,trilobus,,,,Globigerinoides trilobus,planktic_forams,Globigerinoides trilobus,,
,,Globoconella,,,,inflata,,,,Globoconella inflata,planktic_forams,Globoconella inflata,,
,,Globorotalia,,,,crassaformis,,,,Globorotalia crassaformis,planktic_forams,Globorotalia crassaformis,,
,,Globorotalia,,,,flexuosa,,,,Globorotalia flexuosa,planktic_forams,Globorotalia flexuosa,,
