Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,initial_comments,processing_notes,comments
,,Pseudammodochium,,,,lingii,,,,Pseudammodochium lingii,diatoms,Pseudammodochium lingii,this is an ebridian,"in PBDB, so it will be classified correctly",
,,Pseudammodochium,,,,sphericum,,,,Pseudammodochium sphericum,diatoms,Pseudammodochium sphericum,this is an ebridian,"in PBDB, so it will be classified correctly",
"""Phytolith""",,,,,,,,,,"""Phytolith""",diatoms,Phytolith,not a taxa,"Summer 2020: go in as ""Plantae indet."", ""phytolith"" as a comment? Deal with later, ask Ellen and co LL: yes, ask Ellen's phytolith friend",
Skeletonemaceae indet.,,,,,,,,,,Skeletonemaceae indet.,diatoms,"Summer 2020: deal with later? LL: both are in the family Skelentonematacea. Would could list this as the family and include the text as a comment. AF: is there a good way to flag these for specialists to address later w/in the database, or do we need to do that within a sheet like this? Mar 2021: JAS & CRS talked, CRS will ask Marina P; Marina says to use Skeletonemaceae.  CRS: I think I’m going to have to cite diatombase for Skeletonemopsis’ placement in Skeletonemaceae. The original author placed the genus in Trochosiraceae, but Marina says to go with Diatombase because there have been disagreements.",group,"Summer 2020: deal with later? LL: both are in the family Skelentonematacea. Would could list this as the family and include the text as a comment. AF: is there a good way to flag these for specialists to address later w/in the database, or do we need to do that within a sheet like this? Mar 2021: JAS & CRS talked, CRS will ask Marina P; Marina says to use Skeletonemaceae",Skeletonemopsis and Skeletonema grp
Skeletonemaceae indet.,,,,,,,,,,Skeletonemaceae indet.,diatoms,Skeletonemopsis and Skeletonema grp.,group,Summer 2020: deal with later? LL: same as above,Skeletonemopsis and Skeletonema grp.
Centrales indet.,,,,,,,,,,Centrales indet.,diatoms,other Centric,"group, not a taxa",Summer 2020: IDK this one; deal with later?,other Centric
Pennales indet.,,,,,,,,,,Pennales indet.,diatoms,other Pennate,"group, not a taxa",Summer 2020: IDK this one; deal with later?,other Pennate
Bacillariophyceae indet.,,,,,,,,,,Bacillariophyceae indet.,diatoms,Genus and species indeterminate #1,,Summer 2020: deal with later? LL: I think we should drop it because it makes no sense and is essentially unuseable; AF: any reason for it not to go in as Bacillariophyceae indet.?,Genus and species indeterminate #1
Dictyochaceae indet.,,,,,,,,,,Dictyochaceae indet.,diatoms,Silicoflagellates (all taxa),"not a taxa, group abundance","Summer 2020: enter as ""Dictyochaceae"", entry as a comment? https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=69592&is_real_user=1   LL: yes",Silicoflagellates (all taxa)
Radiolaria indet.,,,,,,,,,,Radiolaria indet.,diatoms,Radiolarian fragments,not a taxa,Summer 2020: deal with later; should go in as a taphonomony comment? LL: I guess do the same think as nannofossil fragments,Radiolarian fragments
,,Reticulofenestra,,,,circus,,,,Reticulofenestra circus,diatoms,Reticulofenestra circus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Amaurolithus,,,,delicatus,,,,Amaurolithus delicatus,diatoms,Amaurolithus delicatus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Amaurolithus,,,,primus,,,,Amaurolithus primus,diatoms,Amaurolithus primus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Amaurolithus,,,,tricorniculatus,,,,Amaurolithus tricorniculatus,diatoms,Amaurolithus tricorniculatus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Braarudosphaera,,,,bigelowii,,,,Braarudosphaera bigelowii,diatoms,Braarudosphaera bigelowii,this is a nannofossil,"now entered into the PBDB.Nannofossil. Here is the taxonomic info:
Braarudosphaera bigellowii (Gran and Braarud 1935) Deflandre, 1947

Braarudosphaera  Deflandre, 1947

Braarudosphaeraceae (Deflandre, 1947) emend. Aubry, 2013

Braarudosphaerales Aubry, 2013
        https://eps.rutgers.edu/cc-a

Above this level - Haptophyta incertae sedis (Algaebase)",
,,Calcidiscus,,,,leptoporus,,,,Calcidiscus leptoporus,diatoms,Calcidiscus leptoporus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Calcidiscus,,,,macintyrei,,,,Calcidiscus macintyrei,diatoms,Calcidiscus macintyrei,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Calcidiscus,,,,premacintyrei,,,,Calcidiscus premacintyrei,diatoms,Calcidiscus premacintyrei,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Calcidiscus,,,,tropicus,,,,Calcidiscus tropicus,diatoms,Calcidiscus tropicus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Catinaster,,,,calyculus,,,,Catinaster calyculus,diatoms,Catinaster calyculus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Catinaster,,,,coalitus,,,,Catinaster coalitus,diatoms,Catinaster coalitus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Ceratolithus,,,,acutus,,,,Ceratolithus acutus,diatoms,Ceratolithus acutus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Ceratolithus,,,,cristatus,,,,Ceratolithus cristatus,diatoms,Ceratolithus cristatus,this is a nannofossil,"in PBDB, so it will be classified correctly",
,,Clausicoccus,,,,subdistichus,,,,Clausicoccus subdistichus,diatoms,Clausicoccus subdistichus,this is a nannofossil,"in PBDB, so it will be classified correctly",
