verbatim_name,name,"name to use (if different from ""name"")",name comment field,taxon_group,Comment,Unnamed: 6,normalized_name
calcispheres,calcispheres,Dinoflagellata indet.,calcispheres,nannofossils,"group, not a taxa","enter ""Haptophyta"" and reproduce the entry as comment? is there a more specific group name than Haptophyta? LL: calcispheres have an unknown origin but are most likely calcareous dinoflagellate cysts Is there a taxonomic name that they all fall under instead of Haptophyta? Dinoflagellata?",Dinoflagellata indet.
reworked taxa,reworked taxa,Coccolithophyceae indet.,reworked taxa,nannofossils,"group, not a taxa","enter ""Haptophyta"" and reproduce the entry as comment? is there a more specific group name than Haptophyta? or do we want this as a taphonomic comment LL: there is not going to be a smore specific name to use. this is important and I think it is pertinent to taphonomy. If  you're cool with Haptophyta indet. and this as a comment, then we can do that.  Or we could move this to taphonomic descriptions",Coccolithophyceae indet.
Nannofossil fragments,Nannofossil fragments,Coccolithophyceae indet.,Nannofossil fragments,nannofossils,not a taxa,"enter ""Coccolithophyceae"" and reproduce the entry as comment? is there a more specific group name than Coccolithophyceae? LL: I think you have to use the order name because there is no telling what they saw (fragments!).  Can you add the order name IDK it?",Coccolithophyceae indet.
Reworked species,Reworked species,Coccolithophyceae indet.,Reworked species,nannofossils,not a taxa,deal with later; should go in as a taphonomony comment?,Coccolithophyceae indet.
Calcisphere,Calcisphere,Dinoflagellata indet.,Calcisphere,nannofossils,not a taxa,"enter ""Coccolithophyceae"" and reproduce the entry as comment? is there a more specific group name than Coccolithophyceae?",Dinoflagellata indet.
Calcispheres,Calcispheres,Dinoflagellata indet.,Calcispheres,nannofossils,not a taxa,"enter ""Coccolithophyceae"" and reproduce the entry as comment? is there a more specific group name than Coccolithophyceae? ""Calcisphere"" can't go in, needs to be a taxonomic name",Dinoflagellata indet.
Cyclicargolithus cf. floridanus,Cyclicargolithus cf. floridanus,,,nannofossils,,"in PBDB, so it will be classified correctly",Cyclicargolithus cf. floridanus
Ahmuellerella octoradiata,Ahmuellerella octoradiata,,,nannofossils,,"in PBDB, so it will be classified correctly",Ahmuellerella octoradiata
Algirosphaera robusta,Algirosphaera robusta,,,nannofossils,,need to enter into PBDB,Algirosphaera robusta
Amaurolithus amplificus,Amaurolithus amplificus,,,nannofossils,,"in PBDB, so it will be classified correctly",Amaurolithus amplificus
Amaurolithus bizarrus,Amaurolithus bizarrus,,,nannofossils,,,Amaurolithus bizarrus
Amaurolithus delicatus,Amaurolithus delicatus,,,nannofossils,,,Amaurolithus delicatus
Amaurolithus primus,Amaurolithus primus,,,nannofossils,,,Amaurolithus primus
Amaurolithus spp.,Amaurolithus spp.,,,nannofossils,,,Amaurolithus spp.
Amaurolithus tricorniculatus,Amaurolithus tricorniculatus,,,nannofossils,,,Amaurolithus tricorniculatus
Arkhangelskiella cymbiformis,Arkhangelskiella cymbiformis,,,nannofossils,,,Arkhangelskiella cymbiformis
Arkhangelskiella maastrichtiensis,Arkhangelskiella maastrichtiensis,,,nannofossils,,,Arkhangelskiella maastrichtiensis
Arkhangelskiella sp.,Arkhangelskiella sp.,,,nannofossils,,,Arkhangelskiella sp.
Arkhangelskiella specillata,Arkhangelskiella specillata,,,nannofossils,,,Arkhangelskiella specillata
Ascidian spicules,Ascidian spicules,Tunicata indet.,Ascidian spicules,nannofossils,,,Tunicata indet.
Axopodorhabdus biramiculatus,Axopodorhabdus biramiculatus,,,nannofossils,,,Axopodorhabdus biramiculatus
Axopodorhabdus cylindratus,Axopodorhabdus cylindratus,,,nannofossils,,,Axopodorhabdus cylindratus
Biantholithus sparsus,Biantholithus sparsus,,,nannofossils,,,Biantholithus sparsus
Biantholithus? flosculus,Biantholithus? flosculus,? Biantholithus flosculus,,nannofossils,,,? Biantholithus flosculus
Biscutum,Biscutum,Biscutum sp.,,nannofossils,,,Biscutum sp.
Biscutum castrorum,Biscutum castrorum,,,nannofossils,,,Biscutum castrorum
Biscutum constans,Biscutum constans,,,nannofossils,,,Biscutum constans
Biscutum coronum,Biscutum coronum,,,nannofossils,,,Biscutum coronum
Biscutum dissimilis,Biscutum dissimilis,,,nannofossils,,,Biscutum dissimilis
Biscutum ellipticum,Biscutum ellipticum,,,nannofossils,,,Biscutum ellipticum
Biscutum magnum,Biscutum magnum,,,nannofossils,,,Biscutum magnum
Biscutum spp.,Biscutum spp.,,,nannofossils,,,Biscutum spp.
Biscutum ubiquens,Biscutum ubiquens,,,nannofossils,,,Biscutum ubiquens
Blackites amplus bases,Blackites amplus bases,Blackities amplus,Blackites amplus bases,nannofossils,,,Blackities amplus
Blackites creber,Blackites creber,,,nannofossils,,,Blackites creber
Blackites gladius,Blackites gladius,,,nannofossils,,,Blackites gladius
Blackites herculesii,Blackites herculesii,,,nannofossils,,,Blackites herculesii
Blackites inflatus,Blackites inflatus,,,nannofossils,,,Blackites inflatus
Blackites spinosus,Blackites spinosus,,,nannofossils,,,Blackites spinosus
Blackites spp.,Blackites spp.,,,nannofossils,,,Blackites spp.
Blackites tenuis,Blackites tenuis,,,nannofossils,,,Blackites tenuis
Bomolithus elegans,Bomolithus elegans,,,nannofossils,,,Bomolithus elegans
Bomolithus megastypus,Bomolithus megastypus,,,nannofossils,,,Bomolithus megastypus
Braarudosphaera bigelowii,Braarudosphaera bigelowii,,,nannofossils,,,Braarudosphaera bigelowii
Bramietteius serraculoides,Bramietteius serraculoides,Bramletteius serraculoides,,nannofossils,,,Bramletteius serraculoides
Bramletteius serraculoides,Bramletteius serraculoides,,,nannofossils,,,Bramletteius serraculoides
Broinsonia enormis,Broinsonia enormis,,,nannofossils,,,Broinsonia enormis
Broinsonia furtiva,Broinsonia furtiva,,,nannofossils,,,Broinsonia furtiva
Broinsonia galloisii,Broinsonia galloisii,,,nannofossils,,,Broinsonia galloisii
Broinsonia parca constricta,Broinsonia parca constricta,,,nannofossils,,,Broinsonia parca constricta
Broinsonia parca parca,Broinsonia parca parca,,,nannofossils,,,Broinsonia parca parca
Broinsonia parca ssp expansa,Broinsonia parca ssp expansa,,,nannofossils,,,Broinsonia parca ssp expansa
Broinsonia signata,Broinsonia signata,,,nannofossils,,,Broinsonia signata
Broinsonia viriosa,Broinsonia viriosa,,,nannofossils,,,Broinsonia viriosa
Calcicalathina alta,Calcicalathina alta,,,nannofossils,,,Calcicalathina alta
Calcidiscus carlae,Calcidiscus carlae,,,nannofossils,,,Calcidiscus carlae
Calcidiscus leptoporus,Calcidiscus leptoporus,,,nannofossils,,,Calcidiscus leptoporus
Calcidiscus leptoporus (5-8 microns),Calcidiscus leptoporus (5-8 microns),,,nannofossils,,,Calcidiscus leptoporus (5-8 microns)
Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (<5 microns),,,nannofossils,,,Calcidiscus leptoporus (<5 microns)
Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (>8 micron),,,nannofossils,,,Calcidiscus leptoporus (>8 micron)
Calcidiscus macintyrei,Calcidiscus macintyrei,,,nannofossils,,,Calcidiscus macintyrei
Calcidiscus mcintyrei,Calcidiscus mcintyrei,Calcidiscus macintyrei,,nannofossils,,,Calcidiscus macintyrei
Calcidiscus pacificanus,Calcidiscus pacificanus,,,nannofossils,,,Calcidiscus pacificanus
Calcidiscus pataecus,Calcidiscus pataecus,,,nannofossils,,,Calcidiscus pataecus
Calcidiscus premacintyrei,Calcidiscus premacintyrei,,,nannofossils,,,Calcidiscus premacintyrei
Calcidiscus protoannulus,Calcidiscus protoannulus,,,nannofossils,,,Calcidiscus protoannulus
Calcidiscus quadriperforatus,Calcidiscus quadriperforatus,,,nannofossils,,,Calcidiscus quadriperforatus
Calcidiscus spp.,Calcidiscus spp.,,,nannofossils,,,Calcidiscus spp.
Calcidiscus tropicus,Calcidiscus tropicus,,,nannofossils,,,Calcidiscus tropicus
Calcidiscus tropicus +grill,Calcidiscus tropicus +grill,Calcidiscus tropicus,Calcidiscus tropicus +grill,nannofossils,,,Calcidiscus tropicus
Calciosolenia aperta,Calciosolenia aperta,,,nannofossils,,,Calciosolenia aperta
Calciosolenia brasiliensis,Calciosolenia brasiliensis,,,nannofossils,,,Calciosolenia brasiliensis
Calciosolenia fossilis,Calciosolenia fossilis,,,nannofossils,,,Calciosolenia fossilis
Calciosolenia murrayi,Calciosolenia murrayi,,,nannofossils,,,Calciosolenia murrayi
Calciosolenia sp.,Calciosolenia sp.,,,nannofossils,,,Calciosolenia sp.
Calciosolenia spp.,Calciosolenia spp.,,,nannofossils,,,Calciosolenia spp.
Calculites obscurus,Calculites obscurus,,,nannofossils,,,Calculites obscurus
Calculites spp.,Calculites spp.,,,nannofossils,,,Calculites spp.
Campylosphaera dela,Campylosphaera dela,,,nannofossils,,,Campylosphaera dela
Campylosphaera eodela,Campylosphaera eodela,,,nannofossils,,,Campylosphaera eodela
Catinaster calyculus,Catinaster calyculus,,,nannofossils,,,Catinaster calyculus
Catinaster coalitus,Catinaster coalitus,,,nannofossils,,,Catinaster coalitus
Catinaster mexicanus,Catinaster mexicanus,,,nannofossils,,,Catinaster mexicanus
Catinaster spp.,Catinaster spp.,,,nannofossils,,,Catinaster spp.
Ceratolithina copis,Ceratolithina copis,,,nannofossils,,,Ceratolithina copis
Ceratolithina naturalisteplateauensis,Ceratolithina naturalisteplateauensis,,,nannofossils,,,Ceratolithina naturalisteplateauensis
Ceratolithoides,Ceratolithoides,Ceratolithoides sp.,,nannofossils,,,Ceratolithoides sp.
Ceratolithoides kamptneri,Ceratolithoides kamptneri,,,nannofossils,,,Ceratolithoides kamptneri
Ceratolithoides spp.,Ceratolithoides spp.,,,nannofossils,,,Ceratolithoides spp.
Ceratolithus acutus,Ceratolithus acutus,,,nannofossils,,,Ceratolithus acutus
Ceratolithus armatus,Ceratolithus armatus,,,nannofossils,,,Ceratolithus armatus
Ceratolithus armatus (acutus),Ceratolithus armatus (acutus),Ceratolithus armatus,Ceratolithus armatus (acutus),nannofossils,,,Ceratolithus armatus
Ceratolithus atlanticus,Ceratolithus atlanticus,,,nannofossils,,,Ceratolithus atlanticus
Ceratolithus cristatus,Ceratolithus cristatus,,,nannofossils,,,Ceratolithus cristatus
Ceratolithus cristatus (rugosus),Ceratolithus cristatus (rugosus),Ceratolithus cristatus,Ceratolithus cristatus (rugosus),nannofossils,,,Ceratolithus cristatus
Ceratolithus cristatus var. telesmus,Ceratolithus cristatus var. telesmus,,,nannofossils,,,Ceratolithus cristatus var. telesmus
Ceratolithus larrymayeri,Ceratolithus larrymayeri,,,nannofossils,,,Ceratolithus larrymayeri
Ceratolithus rugosus,Ceratolithus rugosus,,,nannofossils,,,Ceratolithus rugosus
Ceratolithus simplex,Ceratolithus simplex,,,nannofossils,,,Ceratolithus simplex
Ceratolithus spp.,Ceratolithus spp.,,,nannofossils,,,Ceratolithus spp.
Ceratolithus telesmus,Ceratolithus telesmus,,,nannofossils,,,Ceratolithus telesmus
Ceratolithus tricorniculatus,Ceratolithus tricorniculatus,,,nannofossils,,,Ceratolithus tricorniculatus
Chiasmolithus altus,Chiasmolithus altus,,,nannofossils,,,Chiasmolithus altus
Chiasmolithus bidens,Chiasmolithus bidens,,,nannofossils,,,Chiasmolithus bidens
Chiasmolithus californicus (>13µm),Chiasmolithus californicus (>13µm),Chiasmolithus californicus (>13 microns),,nannofossils,,,Chiasmolithus californicus (>13 microns)
Chiasmolithus consuetus,Chiasmolithus consuetus,,,nannofossils,,,Chiasmolithus consuetus
Chiasmolithus danicus,Chiasmolithus danicus,,,nannofossils,,,Chiasmolithus danicus
Chiasmolithus expansus,Chiasmolithus expansus,,,nannofossils,,,Chiasmolithus expansus
Chiasmolithus gigas,Chiasmolithus gigas,,,nannofossils,,,Chiasmolithus gigas
Chiasmolithus grandis,Chiasmolithus grandis,,,nannofossils,,,Chiasmolithus grandis
Chiasmolithus nitidus,Chiasmolithus nitidus,,,nannofossils,,,Chiasmolithus nitidus
Chiasmolithus oamaruensis,Chiasmolithus oamaruensis,,,nannofossils,,,Chiasmolithus oamaruensis
Chiasmolithus solitus,Chiasmolithus solitus,,,nannofossils,,,Chiasmolithus solitus
Chiasmolithus spp.,Chiasmolithus spp.,,,nannofossils,,,Chiasmolithus spp.
Chiasmolithus titus,Chiasmolithus titus,,,nannofossils,,,Chiasmolithus titus
Chiastozygus,Chiastozygus,Chiastozygus sp.,,nannofossils,,,Chiastozygus sp.
Chiastozygus garrisonii,Chiastozygus garrisonii,,,nannofossils,,,Chiastozygus garrisonii
Chiastozygus litterarius,Chiastozygus litterarius,,,nannofossils,,,Chiastozygus litterarius
Chiastozygus platyrhethus,Chiastozygus platyrhethus,,,nannofossils,,,Chiastozygus platyrhethus
Chiphragmolithus acanothodes,Chiphragmolithus acanothodes,Chiphragmolithus acanthodes,,nannofossils,,,Chiphragmolithus acanthodes
Chiphragmolithus acanthodes,Chiphragmolithus acanthodes,,,nannofossils,,,Chiphragmolithus acanthodes
Chiphragmolithus armatus,Chiphragmolithus armatus,,,nannofossils,,,Chiphragmolithus armatus
Chiphragmolithus barbatus,Chiphragmolithus barbatus,,,nannofossils,,,Chiphragmolithus barbatus
Chiphragmolithus calathus,Chiphragmolithus calathus,,,nannofossils,,,Chiphragmolithus calathus
Clausicoccus fenestratus,Clausicoccus fenestratus,,,nannofossils,,,Clausicoccus fenestratus
Clausicoccus spp.,Clausicoccus spp.,,,nannofossils,,,Clausicoccus spp.
Clausicoccus subdistichus,Clausicoccus subdistichus,,,nannofossils,,,Clausicoccus subdistichus
Clausicoccus vanheckiae,Clausicoccus vanheckiae,,,nannofossils,,,Clausicoccus vanheckiae
Coccolithus abisectus,Coccolithus abisectus,,,nannofossils,,,Coccolithus abisectus
Coccolithus braarudii,Coccolithus braarudii,,,nannofossils,,,Coccolithus braarudii
Coccolithus cachaoi,Coccolithus cachaoi,,,nannofossils,,,Coccolithus cachaoi
Coccolithus crassus,Coccolithus crassus,,,nannofossils,,,Coccolithus crassus
Coccolithus eopelagicus,Coccolithus eopelagicus,,,nannofossils,,,Coccolithus eopelagicus
Coccolithus eopelagicus ( >14µm),Coccolithus eopelagicus ( >14µm),Coccolithus eopelagicus ( >14 microns),,nannofossils,,,Coccolithus eopelagicus ( >14 microns)
Coccolithus formosus,Coccolithus formosus,,,nannofossils,,,Coccolithus formosus
Coccolithus gigas,Coccolithus gigas,,,nannofossils,,,Coccolithus gigas
Coccolithus miopelagicus,Coccolithus miopelagicus,,,nannofossils,,,Coccolithus miopelagicus
Coccolithus pelagicus,Coccolithus pelagicus,,,nannofossils,,,Coccolithus pelagicus
Coccolithus pelagicus (w/bar),Coccolithus pelagicus (w/bar),,,nannofossils,,,Coccolithus pelagicus (w/bar)
Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. azorinus,,,nannofossils,,,Coccolithus pelagicus spp. azorinus
Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus spp. braarudii,,,nannofossils,,,Coccolithus pelagicus spp. braarudii
Coccolithus pelagicus ssp. pelagicus,Coccolithus pelagicus ssp. pelagicus,,,nannofossils,,,Coccolithus pelagicus ssp. pelagicus
Coccolithus spp.,Coccolithus spp.,,,nannofossils,,,Coccolithus spp.
Corollithion kennedyi,Corollithion kennedyi,,,nannofossils,,,Corollithion kennedyi
Coronocyclas nitescens,Coronocyclas nitescens,Coronocyclus nitescens,,nannofossils,,,Coronocyclus nitescens
Coronocyclus bramlettei,Coronocyclus bramlettei,,,nannofossils,,,Coronocyclus bramlettei
Coronocyclus nitescens,Coronocyclus nitescens,,,nannofossils,,,Coronocyclus nitescens
Coronocyclus nitescens (circular),Coronocyclus nitescens (circular),Coronocyclus nitescens,Coronocyclus nitescens (circular),nannofossils,,,Coronocyclus nitescens
Coronocyclus nitescens (elliptical),Coronocyclus nitescens (elliptical),Coronocyclus nitescens,Coronocyclus nitescens (elliptical),nannofossils,,,Coronocyclus nitescens
Coronocyclus prionion,Coronocyclus prionion,,,nannofossils,,,Coronocyclus prionion
Coronocyclus spp.,Coronocyclus spp.,,,nannofossils,,,Coronocyclus spp.
Cretarhabdus conicus,Cretarhabdus conicus,,,nannofossils,,,Cretarhabdus conicus
Cretarhabdus crenulatus,Cretarhabdus crenulatus,,,nannofossils,,,Cretarhabdus crenulatus
Cretarhabdus striatus,Cretarhabdus striatus,,,nannofossils,,,Cretarhabdus striatus
Cribrocentrum reticulatum,Cribrocentrum reticulatum,,,nannofossils,,,Cribrocentrum reticulatum
Cribrocorona gallica,Cribrocorona gallica,,,nannofossils,,,Cribrocorona gallica
Cribrosphaerella daniae,Cribrosphaerella daniae,,,nannofossils,,,Cribrosphaerella daniae
Cribrosphaerella ehrenbergii,Cribrosphaerella ehrenbergii,,,nannofossils,,,Cribrosphaerella ehrenbergii
Cruciellipsis cuvillieri,Cruciellipsis cuvillieri,,,nannofossils,,,Cruciellipsis cuvillieri
Cruciplacolithus asymmetricus,Cruciplacolithus asymmetricus,,,nannofossils,,,Cruciplacolithus asymmetricus
Cruciplacolithus cruciformis,Cruciplacolithus cruciformis,,,nannofossils,,,Cruciplacolithus cruciformis
