Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,initial_comments,processing_notes,comments
"""Unknown taxa""",,,,,,,,,,"""Unknown taxa""",palynology,Unknown taxa,group-unknown,"Summer 2020: can we drop? LL: if there is data I prefer we keep it. just call it unknown pollen or something? what would be the taxonomic name that could be entered?  ""unknown palynology taxa"" can be entered as a comment; AF is there a way to do better than Plantae, or.. wait, fungi go in there too so we're back all the way to... uh... Eukayrota? cool... Spring '21: VAK ""Yes, Likely spore/pollen taxa that are unknown to the palynologist. """,
"""other pollen""",,,,,,,,,,"""other pollen""",palynology,other pollen,"group, not a taxa","Summer 2020: deal with later? LL: treat the same as ""unknown taxa"" above; AF Agree",
"""Spores""",,,,,,,,,,"""Spores""",palynology,spores,"group, not a taxa","Summer 2020: Fungi or Plant? deal with later? LL: yes, later Spring '21 VAK: yes",
"""Fungal spores""",,,,,,,,,,"""Fungal spores""",palynology,Fungal spores,not a taxa,"Summer 2020: enter ""Fungi"" and reproduce the entry as comment? is there a more specific group name than Fungi? LL: I don't think there is a more specific group. Most (all?) fungi reproduce through spores. Spring '21 VAK: Fungal cysts are useful to know.",
"""Pollen/spores reworked""",,,,,,,,,,"""Pollen/spores reworked""",palynology,Pollen/spores reworked,not a taxa,"Summer 2020: deal with later; should go in as a taphonomony comment? Spring '21: VAK ""Yes, useful to know, keep these as a separate group. """,
"""Other pollen""",,,,,,,,,,"""Other pollen""",palynology,Other pollen,not a taxa,"Summer 2020: fungi or Plant? deal with later? Spring '21: VAK ""Yes""",
"""Spores""",,,,,,,,,,"""Spores""",palynology,Spores,not a taxa,"Summer 2020: fungi or Plant? deal with later? Spring '21: VAK ""Yes""",
"""Sporomorphs""",,,,,,,,,,"""Sporomorphs""",palynology,Sporomorphs,not a taxa,"Summer 2020: fungi or Plant? deal with later? Spring '21: VAK ""Yes""",
"""Amorphous organic matter""",,,,,,,,,,"""Amorphous organic matter""",palynology,Amorphous organic matter,not a taxa name,"Summer 2020: deal with later; should go in as a taphonomony comment?  LL: I do not think we should keep this. AF: yep, taphonomy if anything. I'm also in favor of not deleting as much as possible, so as long as there's someplace that makes sense, lets keep. Spring '21: VAK ""Yes, Counted as part of palynofacies assessment""",
"""Black phytoclasts""",,,,,,,,,,"""Black phytoclasts""",palynology,Black phytoclasts,not a taxa name,"Summer 2020: IDK this one; deal with later? LL: can we call it Plantae and put phytoclasts in the comments? Spring '21: VAK ""Yes, Counted as part of palynofacies assessment""",
"""Black woody phytoclasts""",,,,,,,,,,"""Black woody phytoclasts""",palynology,Black woody phytoclasts,not a taxa name,"Summer 2020: IDK this one; deal with later? LL: can we call it Plantae and put phytoclasts in the comments? Spring '21: VAK ""Yes, Counted as part of palynofacies assessment""",
"""Brown phytoclasts""",,,,,,,,,,"""Brown phytoclasts""",palynology,Brown phytoclasts,not a taxa name,"Summer 2020: IDK this one; deal with later? LL: can we call it Plantae and put phytoclasts in the comments? Spring '21: VAK ""Yes, Counted as part of palynofacies assessment""",
"""Brown woody phytoclasts""",,,,,,,,,,"""Brown woody phytoclasts""",palynology,Brown woody phytoclasts,not a taxa name,"Summer 2020: IDK this one; deal with later? LL: can we call it Plantae and put phytoclasts in the comments? Spring '21: VAK ""Yes, Counted as part of palynofacies assessment""",
"""Saccate pollen""",,,,,,,,,,"""Saccate pollen""",palynology,Saccate pollen,not a taxa,"Summer 2020: Plant but I'm not sure what taxonomic level deal with later? LL: it appears that saccate pollen is only found within the order Pinales. Spring '21: VAK ""Yes, Likely gymnosperm pollen taxa that are unknown to the palynologist.""",
"""Monolete ornamented""",,,,,,,,,,"""Monolete ornamented""",palynology,Monolete ornamented,,"this is a spore type, need to ask palynologist Spring '21: VAK ""Yes, spores""",
"""Monolete psilate""",,,,,,sp.,,,,"""Monolete psilate"" sp.",palynology,Monolete psilate,,"this is a spore type, need to ask palynologist Spring '21: VAK ""Yes, spores""",
"""Trilete ornamented""",,,,,,,,,,"""Trilete ornamented""",palynology,Trilete ornamented,,"this is a spore type, need to ask palynologist Spring '21: VAK ""Yes, spores""",
"""Trilete psilate""",,,,,,sp.,,,,"""Trilete psilate"" sp.",palynology,Trilete psilate,,"this is a spore type, need to ask palynologist Spring '21: VAK ""Yes, spores""",
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,palynology,Foraminiferal linings,not a taxa,"in PBDB, so it will be classified correctly",
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,palynology,Foraminiferal test linings,not a taxa,"in PBDB, so it will be classified correctly",
Dinoflagellata indet.,,,,,,,,,,Dinoflagellata indet.,palynology,Dinocysts reworked,not a taxa,"in PBDB, so it will be classified correctly",Dinocysts reworked
,,Typha,,,,sparganium,,,,Typha sparganium,palynology,Typha_Sparganium,multiple taxa,"in PBDB, so it will be classified correctly",
,,Ulmus,,,,zelkova,,,,Ulmus zelkova,palynology,Ulmus Zelkova,multiple taxa,"in PBDB, so it will be classified correctly",
Cupressaceae indet.,,,,,,,,,,Cupressaceae indet.,palynology,Taxodiaceae/Cupressaceae,multiple taxa names,"in PBDB, so it will be classified correctly",
Dinoflagellata indet.,,,,,,,,,,Dinoflagellata indet.,palynology,Dinocysts,group abundance,"in PBDB, so it will be classified correctly",Dinocysts
"""Fungal spores""",,,,,,,,,,"""Fungal spores""",palynology,fungal spores,"group, not a taxa","in PBDB, so it will be classified correctly",
Brassicaceae indet.,,,,,,,,,,Brassicaceae indet.,palynology,Brassicaceae,,"in PBDB, so it will be classified correctly",
Ranunculaceae indet.,,,,,,,,,,Ranunculaceae indet.,palynology,Ranunculaceae,,"in PBDB, so it will be classified correctly",
Prasinophyceae indet.,,,,,,,,,,Prasinophyceae indet.,palynology,Prasinophytes,,"in PBDB, so it will be classified correctly",
Caryophyllaceae indet.,,,,,,,,,,Caryophyllaceae indet.,palynology,Caryophyllaceae,,"in PBDB, so it will be classified correctly",
Crassulaceae indet.,,,,,,,,,,Crassulaceae indet.,palynology,Crassulaceae,,"in PBDB, so it will be classified correctly",
Cupressaceae indet.,,,,,,,,,,Cupressaceae indet.,palynology,Cupressaceae,,"in PBDB, so it will be classified correctly",
Cyperaceae indet.,,,,,,,,,,Cyperaceae indet.,palynology,Cyperaceae,,"in PBDB, so it will be classified correctly",
Ericaceae indet.,,,,,,,,,,Ericaceae indet.,palynology,Ericaceae,,"in PBDB, so it will be classified correctly",
Liliaceae indet.,,,,,,,,,,Liliaceae indet.,palynology,Liliaceae,,"in PBDB, so it will be classified correctly",
Plumbaginaceae indet.,,,,,,,,,,Plumbaginaceae indet.,palynology,Plumbaginaceae,,"in PBDB, so it will be classified correctly",
Poaceae indet.,,,,,,,,,,Poaceae indet.,palynology,Poaceae,,"in PBDB, so it will be classified correctly",
Valerianaceae indet.,,,,,,,,,,Valerianaceae indet.,palynology,Valerianaceae,,"in PBDB, so it will be classified correctly",
,,Achomosphaera,,,,spp.,,,,Achomosphaera spp.,palynology,Achomosphaera spp.,,"in PBDB, so it will be classified correctly",
,,Alnus,,,,sp.,,,,Alnus sp.,palynology,Alnus,,"in PBDB, so it will be classified correctly",
,,Anthemis,,,,sp.,,,,Anthemis sp.,palynology,Anthemis type,,"in PBDB, so it will be classified correctly",Anthemis type
Apiaceae indet.,,,,,,,,,,Apiaceae indet.,palynology,Apiaceae,,"in PBDB, so it will be classified correctly",
,,Arcticacysta,,,,sp.,,,,Arcticacysta sp.,palynology,Arcticacysta sp.,,"in PBDB, so it will be classified correctly",
,,Artemisia,,,,sp.,,,,Artemisia sp.,palynology,Artemisia,,"in PBDB, so it will be classified correctly",
,,Asphodelus,,,,sp.,,,,Asphodelus sp.,palynology,Asphodelus,,"in PBDB, so it will be classified correctly",
,,Aster,,,,sp.,,,,Aster sp.,palynology,Aster type,,"in PBDB, so it will be classified correctly",Aster type
,,Batiacasphaera,,,,cooperi,,,,Batiacasphaera cooperi,palynology,Batiacasphaera cooperi,,"in PBDB, so it will be classified correctly",
,,Batiacasphaera,,,,minuta,,,,Batiacasphaera minuta,palynology,Batiacasphaera minuta,,"in PBDB, so it will be classified correctly",
,,Batiacasphaera,,,,sp.,,,,Batiacasphaera sp.,palynology,Batiacasphaera sp.,,"in PBDB, so it will be classified correctly",
,,Batiacasphaera,,,,sphaerica,,,,Batiacasphaera sphaerica,palynology,Batiacasphaera sphaerica,,"in PBDB, so it will be classified correctly",
,,Betula,,,,sp.,,,,Betula sp.,palynology,Betula,,"in PBDB, so it will be classified correctly",
,,Botrychium,,,,sp.,,,,Botrychium sp.,palynology,Botrychium type,,"in PBDB, so it will be classified correctly",Botrychium type
,,Brigantedinium,,,,pyinei,,,,Brigantedinium pyinei,palynology,Brigantedinium pyinei,,"in PBDB, so it will be classified correctly",
,,Brigantedinium,,,,spp.,,,,Brigantedinium spp.,palynology,Brigantedinium spp.,,"in PBDB, so it will be classified correctly",
,,Calluna,,,,sp.,,,,Calluna sp.,palynology,Calluna,,"in PBDB, so it will be classified correctly",
,,Carpinus,,,,sp.,,,,Carpinus sp.,palynology,Carpinus,,"in PBDB, so it will be classified correctly",
,,Cedrus,,,,sp.,,,,Cedrus sp.,palynology,Cedrus,,"in PBDB, so it will be classified correctly",
,,Centaurea,,,,nigra,,,,Centaurea nigra,palynology,Centaurea nigra type,,"in PBDB, so it will be classified correctly",Centaurea nigra type
Chenopodiaceae indet.,,,,,,,,,,Chenopodiaceae indet.,palynology,Chenopodiaceae,,"in PBDB, so it will be classified correctly",
,,Cistus,,,,sp.,,,,Cistus sp.,palynology,Cistus,,"in PBDB, so it will be classified correctly",
,,Corylus,,,,sp.,,,,Corylus sp.,palynology,Corylus,,"in PBDB, so it will be classified correctly",
,,Cymatiosphaera,,,,sp. 3,,,,Cymatiosphaera sp. 3,palynology,Cymatiosphaera brown sp. 3,,"in PBDB, so it will be classified correctly",Cymatiosphaera brown sp. 3
,,Cymatiosphaera,,,,sp. 4,,,,Cymatiosphaera sp. 4,palynology,Cymatiosphaera brown sp. 4,,"in PBDB, so it will be classified correctly",Cymatiosphaera brown sp. 4
,,Cymatiosphaera,,,,sp.,,,,Cymatiosphaera sp.,palynology,Cymatiosphaera sp.,,"in PBDB, so it will be classified correctly",
,,Cymatiosphaera,,,,sp. 1,,,,Cymatiosphaera sp. 1,palynology,Cymatiosphaera transparent sp. 1,,"in PBDB, so it will be classified correctly",Cymatiosphaera transparent sp. 1
,,Daphne,,,,sp.,,,,Daphne sp.,palynology,Daphne,,"in PBDB, so it will be classified correctly",
,,Deflandrea,,,,phosphoriitica,,,,Deflandrea phosphoriitica,palynology,Deflandrea phosphoritica,,"in PBDB, so it will be classified correctly",
,,Distatodinium,,,,sp.,,,,Distatodinium sp.,palynology,Distatodinium sp.,,"in PBDB, so it will be classified correctly",
,,Engelhardia,,,,sp.,,,,Engelhardia sp.,palynology,Engelhardia,,"in PBDB, so it will be classified correctly",
,,Enneadocysta,,,,sp.,,,,Enneadocysta sp.,palynology,Enneadocysta,,"in PBDB, so it will be classified correctly",
,,Ephedra,,,,distachya,,,,Ephedra distachya,palynology,Ephedra distachya type,,"in PBDB, so it will be classified correctly",Ephedra distachya type
,,Ephedra,,,,fragilis,,,,Ephedra fragilis,palynology,Ephedra fragilis type,,"in PBDB, so it will be classified correctly",Ephedra fragilis type
,,Euphorbia,,,,sp.,,,,Euphorbia sp.,palynology,Euphorbia,,"in PBDB, so it will be classified correctly",
,,Filipendula,,,,sp.,,,,Filipendula sp.,palynology,Filipendula,,"in PBDB, so it will be classified correctly",
,,Fraxinus,,,,excelsior,,,,Fraxinus excelsior,palynology,Fraxinus excelsior type,,"in PBDB, so it will be classified correctly",Fraxinus excelsior type
,,Galium,,,,sp.,,,,Galium sp.,palynology,Galium type,,"in PBDB, so it will be classified correctly",Galium type
,,Hedera,,,,helix,,,,Hedera helix,palynology,Hedera helix,,"in PBDB, so it will be classified correctly",
