verbatim_name,name,"name to use (if different from ""name"")",name comment field,taxon_group,Comment,notes,Any taxon above genus,genus modifier,genus name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,normalized_name
calcispheres,calcispheres,Dinoflagellata indet.,calcispheres,nannofossils,"group, not a taxa","enter ""Haptophyta"" and reproduce the entry as comment? is there a more specific group name than Haptophyta? LL: calcispheres have an unknown origin but are most likely calcareous dinoflagellate cysts Is there a taxonomic name that they all fall under instead of Haptophyta? Dinoflagellata?",Dinoflagellata indet.,,,,,,,,calcispheres,,,,Dinoflagellata indet.
reworked taxa,reworked taxa,Coccolithophyceae indet.,reworked taxa,nannofossils,"group, not a taxa","enter ""Haptophyta"" and reproduce the entry as comment? is there a more specific group name than Haptophyta? or do we want this as a taphonomic comment LL: there is not going to be a smore specific name to use. this is important and I think it is pertinent to taphonomy. If  you're cool with Haptophyta indet. and this as a comment, then we can do that.  Or we could move this to taphonomic descriptions",Coccolithophyceae indet.,,,,,,,,reworked taxa,,,,Coccolithophyceae indet.
Nannofossil fragments,Nannofossil fragments,Coccolithophyceae indet.,Nannofossil fragments,nannofossils,not a taxa,"enter ""Coccolithophyceae"" and reproduce the entry as comment? is there a more specific group name than Coccolithophyceae? LL: I think you have to use the order name because there is no telling what they saw (fragments!).  Can you add the order name IDK it?",Coccolithophyceae indet.,,,,,,,,Nannofossil fragments,,,,Coccolithophyceae indet.
Reworked species,Reworked species,Coccolithophyceae indet.,Reworked species,nannofossils,not a taxa,deal with later; should go in as a taphonomony comment?,Coccolithophyceae indet.,,,,,,,,Reworked species,,,,Coccolithophyceae indet.
Calcisphere,Calcisphere,Dinoflagellata indet.,Calcisphere,nannofossils,not a taxa,"enter ""Coccolithophyceae"" and reproduce the entry as comment? is there a more specific group name than Coccolithophyceae?",Dinoflagellata indet.,,,,,,,,Calcisphere,,,,Dinoflagellata indet.
Calcispheres,Calcispheres,Dinoflagellata indet.,Calcispheres,nannofossils,not a taxa,"enter ""Coccolithophyceae"" and reproduce the entry as comment? is there a more specific group name than Coccolithophyceae? ""Calcisphere"" can't go in, needs to be a taxonomic name",Dinoflagellata indet.,,,,,,,,Calcispheres,,,,Dinoflagellata indet.
Cyclicargolithus cf. floridanus,Cyclicargolithus cf. floridanus,,,nannofossils,,"in PBDB, so it will be classified correctly",,,Cyclicargolithus,cf.,floridanus,,,,,,,,Cyclicargolithus cf. floridanus
Ahmuellerella octoradiata,Ahmuellerella octoradiata,,,nannofossils,,"in PBDB, so it will be classified correctly",,,Ahmuellerella,,octoradiata,,,,,88737.0,Ahmuellerella octoradiata,species,Ahmuellerella octoradiata
Algirosphaera robusta,Algirosphaera robusta,,,nannofossils,,"in PBDB, so it will be classified correctly",,,Algirosphaera,,robusta,,,,,424331.0,Algirosphaera,genus,Algirosphaera robusta
Amaurolithus amplificus,Amaurolithus amplificus,,,nannofossils,,"in PBDB, so it will be classified correctly",,,Amaurolithus,,amplificus,,,,,388308.0,Amaurolithus,genus,Amaurolithus amplificus
Amaurolithus bizarrus,Amaurolithus bizarrus,,,nannofossils,,,,,Amaurolithus,,bizarrus,,,,,388308.0,Amaurolithus,genus,Amaurolithus bizarrus
Amaurolithus delicatus,Amaurolithus delicatus,,,nannofossils,,,,,Amaurolithus,,delicatus,,,,,388308.0,Amaurolithus,genus,Amaurolithus delicatus
Amaurolithus primus,Amaurolithus primus,,,nannofossils,,,,,Amaurolithus,,primus,,,,,388310.0,Amaurolithus primus,species,Amaurolithus primus
Amaurolithus spp.,Amaurolithus spp.,,,nannofossils,,,,,Amaurolithus,,spp.,,,,,388308.0,Amaurolithus,genus,Amaurolithus spp.
Amaurolithus tricorniculatus,Amaurolithus tricorniculatus,,,nannofossils,,,,,Amaurolithus,,tricorniculatus,,,,,388308.0,Amaurolithus,genus,Amaurolithus tricorniculatus
Arkhangelskiella cymbiformis,Arkhangelskiella cymbiformis,,,nannofossils,,,,,Arkhangelskiella,,cymbiformis,,,,,88185.0,Arkhangelskiella cymbiformis,species,Arkhangelskiella cymbiformis
Arkhangelskiella maastrichtiensis,Arkhangelskiella maastrichtiensis,,,nannofossils,,,,,Arkhangelskiella,,maastrichtiensis,,,,,87794.0,Arkhangelskiella,genus,Arkhangelskiella maastrichtiensis
Arkhangelskiella sp.,Arkhangelskiella sp.,,,nannofossils,,,,,Arkhangelskiella,,sp.,,,,,87794.0,Arkhangelskiella,genus,Arkhangelskiella sp.
Arkhangelskiella specillata,Arkhangelskiella specillata,,,nannofossils,,,,,Arkhangelskiella,,specillata,,,,,88181.0,Arkhangelskiella specillata,species,Arkhangelskiella specillata
Ascidian spicules,Ascidian spicules,Tunicata indet.,Ascidian spicules,nannofossils,,,Tunicata indet.,,,,,,,,,34108.0,Tunicata,subphylum,Tunicata indet.
Axopodorhabdus biramiculatus,Axopodorhabdus biramiculatus,,,nannofossils,,,,,Axopodorhabdus,,biramiculatus,,,,,87841.0,Axopodorhabdus,genus,Axopodorhabdus biramiculatus
Axopodorhabdus cylindratus,Axopodorhabdus cylindratus,,,nannofossils,,,,,Axopodorhabdus,,cylindratus,,,,,88445.0,Axopodorhabdus cylindratus,species,Axopodorhabdus cylindratus
Biantholithus sparsus,Biantholithus sparsus,,,nannofossils,,,,,Biantholithus,,sparsus,,,,,424468.0,Biantholithus,genus,Biantholithus sparsus
Biantholithus? flosculus,Biantholithus? flosculus,? Biantholithus flosculus,,nannofossils,,,,?,Biantholithus,,flosculus,,,,,87829.0,Biscutum,genus,? Biantholithus flosculus
Biscutum,Biscutum,Biscutum sp.,,nannofossils,,,,,Biscutum,,sp.,,,,,87829.0,Biscutum,genus,Biscutum sp.
Biscutum castrorum,Biscutum castrorum,,,nannofossils,,,,,Biscutum,,castrorum,,,,,87829.0,Biscutum,genus,Biscutum castrorum
