verbatim_name,name,taxon_group,genera
"""Globigerina"" angulisuturalis _T","""Globigerina"" angulisuturalis _T",planktic_forams,
"""Globigerina"" angulisuturalis _T_","""Globigerina"" angulisuturalis _T_",planktic_forams,
"""Globigerina"" ciperoensis _T","""Globigerina"" ciperoensis _T",planktic_forams,
"""Globigerina"" ciperoensis _T_","""Globigerina"" ciperoensis _T_",planktic_forams,
"""Skeletonema"" utriculosa","""Skeletonema"" utriculosa",diatoms,
"""round browns"" indet., psilate","""round browns"" indet., psilate",dinoflagellates,
(Duplicate) Dentoglobigerina pseudovenezuelana,(Duplicate) Dentoglobigerina pseudovenezuelana,planktic_forams,
?Acarinina spp.,?Acarinina spp.,planktic_forams,
?Morozovella spp.,?Morozovella spp.,planktic_forams,
ADDITIONAL SPECIES,ADDITIONAL SPECIES,planktic_forams,
ADDITIONAL SPECIES,ADDITIONAL SPECIES,radiolarians,
Abathomphalus intermedia,Abathomphalus intermedia,planktic_forams,Abathomphalus
Abathomphalus mayaroensis,Abathomphalus mayaroensis,planktic_forams,Abathomphalus
Abyssamina poagi,Abyssamina poagi,benthic_forams,Abyssamina
Abyssamina quadrata,Abyssamina quadrata,benthic_forams,Abyssamina
Abyssammina spp.,Abyssammina spp.,benthic_forams,Abyssammina
Acanthodesmia spp.,Acanthodesmia spp.,radiolarians,Acanthodesmia
Acarinina acarinata,Acarinina acarinata,planktic_forams,Acarinina
Acarinina alticonica,Acarinina alticonica,planktic_forams,Acarinina
Acarinina angulosa,Acarinina angulosa,planktic_forams,Acarinina
Acarinina aspensis,Acarinina aspensis,planktic_forams,Acarinina
Acarinina bullbrooki,Acarinina bullbrooki,planktic_forams,Acarinina
"Acarinina bullbrooki (Bolli, 1957 p.167, pl.38, figs.5a-b as Globorotalia)","Acarinina bullbrooki (Bolli, 1957 p.167, pl.38, figs.5a-b as Globorotalia)",planktic_forams,Acarinina
Acarinina coalingensis,Acarinina coalingensis,planktic_forams,Acarinina
Acarinina collactea,Acarinina collactea,planktic_forams,Acarinina
Acarinina cuneicamerata,Acarinina cuneicamerata,planktic_forams,Acarinina
Acarinina densa,Acarinina densa,planktic_forams,Acarinina
Acarinina esnaensis,Acarinina esnaensis,planktic_forams,Acarinina
Acarinina esnehensis,Acarinina esnehensis,planktic_forams,Acarinina
Acarinina mcgowrani,Acarinina mcgowrani,planktic_forams,Acarinina
Acarinina mckannai,Acarinina mckannai,planktic_forams,Acarinina
Acarinina medizzai,Acarinina medizzai,planktic_forams,Acarinina
