Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,initial_comments,processing_notes,comments
,,Actiniscus,,,,pentasterias,,,,Actiniscus pentasterias,dinoflagellates,Actiniscus pentasterias,,"in PBDB, so it will be classified correctly; Dinoflagellate, not diatom",
"""Amorphous organic matter""",,,,,,,,,,"""Amorphous organic matter""",dinoflagellates,Amorphous organic matter,not a taxa name,"Summer 2020: deal with later; should go in as a taphonomony comment? Spring '21: VAK ""Counted as part of palynofacies assessment""",
"""Black phytoclasts""",,,,,,,,,,"""Black phytoclasts""",dinoflagellates,Black phytoclasts,not a taxa name,"Summer 2020: IDK this one; deal with later? LL: can we call it Plantae and put phytoclasts in the comments? Spring '21: VAK ""Counted as part of palynofacies assessment""",
"""Brown phytoclasts""",,,,,,,,,,"""Brown phytoclasts""",dinoflagellates,Brown phytoclasts,not a taxa name,"Summer 2020: IDK this one; deal with later? LL: can we call it Plantae and put phytoclasts in the comments? Spring '21: VAK ""Counted as part of palynofacies assessment""",
"""round browns indet., psilate""",,,,,,,,,,"""round browns indet., psilate""",dinoflagellates,"""round browns"" indet., psilate",,Summer 2020: IDK this one; deal with later? LL: Dinoflagellata indet. with round brown psilate as comment; These can belong to several groups. Spring '21 VAK: Likely fungal cysts. Psilate just means smooth surface. ,
"""Terrestrial palynomorphs""",,,,,,,,,,"""Terrestrial palynomorphs""",dinoflagellates,Terrestrial palynomorphs,not a taxa,"Spring '21: VAK "" Yes, Likely spore/pollen taxa that are unknown to the palynologist.""",Terrestrial palynomorphs
,,Islandinium,,,,sp.,,,round brown/spiny,Islandinium sp. (round brown/spiny),dinoflagellates,Islandinium round brown/spiny,,"Summer 2020: IDK this one; deal with later? LL: Islandium sp. with round brown/spiny as comment; These can belong to several groups. Also, this is a dinoflagellate.",
,,"""Forma T""",,,,,,,,"""Forma T""",dinoflagellates,Forma T,,"in PBDB, so it will be classified correctly",Malvinia escutiana
Foraminifera indet.,,,,,,,,,,Foraminifera indet.,dinoflagellates,Foraminifer test linings,not a taxa,"in PBDB, so it will be classified correctly",Foraminifer test linings
Acritarcha indet.,,,,,,,,,,Acritarcha indet.,dinoflagellates,Acritarchs,,"in PBDB, so it will be classified correctly",Acritarchs
,,Brigantedinium,,,,spp.,,,,Brigantedinium spp.,dinoflagellates,Brigantedinium spp. psilate,,"in PBDB, so it will be classified correctly",Brigantedinium spp. psilate
,,Cymatiosphaera,,,,spp.,,,,Cymatiosphaera spp.,dinoflagellates,Cymatiosphaera spp.,,"in PBDB, so it will be classified correctly",
,,Echinidinium,,,,sp.,,,,Echinidinium sp.,dinoflagellates,Echinidinium sp.,,"in PBDB, so it will be classified correctly",
,,Enneadocysta,,,,dictyostila,,,,Enneadocysta dictyostila,dinoflagellates,Enneadocysta dictyostila,,"in PBDB, so it will be classified correctly",
,,Enneadocysta,,,,pectinoformis,,,,Enneadocysta pectinoformis,dinoflagellates,Enneadocysta pectinoformis,,"in PBDB, so it will be classified correctly",
,,Impagidinium,,,,spp.,,,,Impagidinium spp.,dinoflagellates,Impagidinium spp. indet.,,"in PBDB, so it will be classified correctly",
,,Lejeunecysta,,,,sp.,,,,Lejeunecysta sp.,dinoflagellates,Lejeunecysta big,,"in PBDB, so it will be classified correctly",Lejeunecysta sp. big
,,Lejeunecysta,,,,spp.,,,,Lejeunecysta spp.,dinoflagellates,Lejeunecysta spp.,,"in PBDB, so it will be classified correctly",
,,Selenopemphix,,,,nephroides,,,,Selenopemphix nephroides,dinoflagellates,Selenopemphix nephroides psilate,,"in PBDB, so it will be classified correctly",Selenopemphix nephroides psilate
,,Spinidinium,,,,macmurdoense,,,,Spinidinium macmurdoense,dinoflagellates,Spinidinium macmurdoense,,"in PBDB, so it will be classified correctly",
,,Spinidinium,,,,schellenbergii,,,,Spinidinium schellenbergii,dinoflagellates,Spinidinium schellenbergii,,"in PBDB, so it will be classified correctly",
,,Vozzhennikovia,,,,apertura,,,,Vozzhennikovia apertura,dinoflagellates,Vozzhennikovia apertura,,"in PBDB, so it will be classified correctly",
,,Vozzhennikovia,,,,rohliae,,,,Vozzhennikovia rohliae,dinoflagellates,Vozzhennikovia rohliae,,"in PBDB, so it will be classified correctly",
,,Wetzeliella,,,,gochtii/symmetrica,,,,Wetzeliella gochtii/symmetrica,dinoflagellates,Wetzeliella gochtii/symmetrica,,"in PBDB, so it will be classified correctly",Wetzeliella gochtii/symmetrica
Dinoflagellata indet.,,,,,,,,,,Dinoflagellata indet.,dinoflagellates,Dinocysts,group abundance,"in PBDB, so it will be classified correctly",Dinocysts
