Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,initial_comments,processing_notes,comments
Trachyleberididae indet.,,,,,,,,,,Trachyleberididae indet.,ostracods,Sighted trachyleberidids,,"in PBDB, so it will be classified correctly",
Trachyleberididae indet.,,,,,,,,,,Trachyleberididae indet.,ostracods,Blind trachyleberidids,,"in PBDB, so it will be classified correctly",
,,Argilloecia,,,,spp.,,,,Argilloecia spp.,ostracods,Argilloecia spp.,,"in PBDB, so it will be classified correctly",
,,Bairdoppilata,,,,spp.,,,,Bairdoppilata spp.,ostracods,Bairdoppilata spp.,,"in PBDB, so it will be classified correctly",
,,Bradleya,,,,spp.,,,,Bradleya spp.,ostracods,Bradleya spp.,,"in PBDB, so it will be classified correctly",
,,Cletocythereis,,,,rastromarginata,,,,Cletocythereis rastromarginata,ostracods,Cletocythereis rastromarginata,,"in PBDB, so it will be classified correctly",
,,Cytheralison,,,,sp.,,,,Cytheralison sp.,ostracods,Cytheralison sp.,,"in PBDB, so it will be classified correctly",
,,Cytherella,,,,sp.,,,,Cytherella sp.,ostracods,Cytherella sp.,,"in PBDB, so it will be classified correctly",
,,Cytheropteron,,,,spp.,,,,Cytheropteron spp.,ostracods,Cytheropteron spp.,,"in PBDB, so it will be classified correctly",
,?,Glencoeleberis,,,,sp.,,,,? Glencoeleberis sp.,ostracods,Glencoeleberis? sp.,http://marinespecies.org/aphia.php?p=taxdetails&id=395831,"in PBDB, so it will be classified correctly",
,,Krithe,,,,spp.,,,,Krithe spp.,ostracods,Krithe spp.,,"in PBDB, so it will be classified correctly",
,?,Oerthiella,,,,sp.,,,,? Oerthiella sp.,ostracods,Oertliella? sp.,,"in PBDB, so it will be classified correctly",
,,Poseidonamicus,,,,spp.,,,,Poseidonamicus spp.,ostracods,Poseidonamicus spp.,,"in PBDB, so it will be classified correctly",
,,Xestolebris,,,,spp.,,,,Xestolebris spp.,ostracods,Xestolebris spp.,,"in PBDB, so it will be classified correctly",
