name,taxon_group
Dinoflagellata indet.,nannofossils
Coccolithophyceae indet.,nannofossils
Cyclicargolithus cf. floridanus,nannofossils
Ahmuellerella octoradiata,nannofossils
Algirosphaera robusta,nannofossils
Amaurolithus amplificus,nannofossils
Amaurolithus bizarrus,nannofossils
Amaurolithus delicatus,nannofossils
Amaurolithus primus,nannofossils
Amaurolithus spp.,nannofossils
Amaurolithus tricorniculatus,nannofossils
Arkhangelskiella cymbiformis,nannofossils
Arkhangelskiella maastrichtiensis,nannofossils
Arkhangelskiella sp.,nannofossils
Arkhangelskiella specillata,nannofossils
Tunicata indet.,nannofossils
Axopodorhabdus biramiculatus,nannofossils
Axopodorhabdus cylindratus,nannofossils
Biantholithus sparsus,nannofossils
? Biantholithus flosculus,nannofossils
Biscutum sp.,nannofossils
Biscutum castrorum,nannofossils
Biscutum constans,nannofossils
Biscutum coronum,nannofossils
Biscutum dissimilis,nannofossils
Biscutum ellipticum,nannofossils
Biscutum magnum,nannofossils
Biscutum spp.,nannofossils
Biscutum ubiquens,nannofossils
Blackities amplus,nannofossils
Blackites creber,nannofossils
Blackites gladius,nannofossils
Blackites herculesii,nannofossils
Blackites inflatus,nannofossils
Blackites spinosus,nannofossils
Blackites spp.,nannofossils
Blackites tenuis,nannofossils
Bomolithus elegans,nannofossils
Bomolithus megastypus,nannofossils
Braarudosphaera bigelowii,nannofossils
Bramletteius serraculoides,nannofossils
Broinsonia enormis,nannofossils
Broinsonia furtiva,nannofossils
Broinsonia galloisii,nannofossils
Broinsonia parca constricta,nannofossils
Broinsonia parca parca,nannofossils
Broinsonia parca ssp expansa,nannofossils
Broinsonia signata,nannofossils
Broinsonia viriosa,nannofossils
Calcicalathina alta,nannofossils
Calcidiscus carlae,nannofossils
Calcidiscus leptoporus,nannofossils
Calcidiscus leptoporus (5-8 microns),nannofossils
Calcidiscus leptoporus (<5 microns),nannofossils
Calcidiscus leptoporus (>8 micron),nannofossils
Calcidiscus macintyrei,nannofossils
Calcidiscus pacificanus,nannofossils
Calcidiscus pataecus,nannofossils
Calcidiscus premacintyrei,nannofossils
Calcidiscus protoannulus,nannofossils
Calcidiscus quadriperforatus,nannofossils
Calcidiscus spp.,nannofossils
Calcidiscus tropicus,nannofossils
Calciosolenia aperta,nannofossils
Calciosolenia brasiliensis,nannofossils
Calciosolenia fossilis,nannofossils
Calciosolenia murrayi,nannofossils
Calciosolenia sp.,nannofossils
Calciosolenia spp.,nannofossils
Calculites obscurus,nannofossils
Calculites spp.,nannofossils
Campylosphaera dela,nannofossils
Campylosphaera eodela,nannofossils
Catinaster calyculus,nannofossils
Catinaster coalitus,nannofossils
Catinaster mexicanus,nannofossils
Catinaster spp.,nannofossils
Ceratolithina copis,nannofossils
Ceratolithina naturalisteplateauensis,nannofossils
Ceratolithoides sp.,nannofossils
Ceratolithoides kamptneri,nannofossils
Ceratolithoides spp.,nannofossils
Ceratolithus acutus,nannofossils
Ceratolithus armatus,nannofossils
Ceratolithus atlanticus,nannofossils
Ceratolithus cristatus,nannofossils
Ceratolithus cristatus var. telesmus,nannofossils
Ceratolithus larrymayeri,nannofossils
