Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Globorotalia puncticuloides	Globorotalia inflata	Globigerina bulloides	Globorotalia scitula	Globigerinita glutinata	Globigerinita uvula	Globigerina quinqueloba	Neogloboquadrina pachyderma (dextral)	Globorotalia puncticulata	Globorotalia truncatulinoides	Comment



  IR	                 	                 	                  	              	177	1089	D	  1	H	CC	   5.00	      6.6200	Andersson	Planktonic Foraminifers                      	F              	P                 	A                                      	                           	F                   	A                    	                    	R                      	                   	                       	F                                    	                         	                             	       

  IR	                 	                 	                  	              	177	1089	D	  2	H	CC	   8.00	     15.2900	Andersson	Planktonic Foraminifers                      	A              	P                 	A                                      	F                          	A                   	D                    	                    	F                      	                   	R                      	F                                    	                         	R                            	       

  IR	                 	                 	                  	              	177	1089	D	  3	H	CC	   7.00	     22.5100	Andersson	Planktonic Foraminifers                      	C              	P                 	D                                      	                           	A                   	A                    	                    	                       	                   	A                      	A                                    	R                        	                             	       

  IR	                 	                 	                  	              	177	1089	D	  4	H	CC	   0.00	     32.5600	Andersson	Planktonic Foraminifers                      	F              	P                 	F                                      	                           	A                   	F                    	                    	                       	                   	                       	R                                    	                         	                             	       

  IR	                 	                 	                  	              	177	1089	D	  5	H	CC	   0.00	     42.0700	Andersson	Planktonic Foraminifers                      	C              	P                 	D                                      	                           	R                   	F                    	                    	R                      	                   	F                      	R                                    	                         	                             	       

  IR	                 	                 	                  	              	177	1089	D	  6	H	CC	  24.00	     51.4200	Andersson	Planktonic Foraminifers                      	A              	M                 	D                                      	R                          	F                   	A                    	                    	A                      	F                  	A                      	                                     	                         	                             	       

  IR	                 	                 	                  	              	177	1089	D	  7	H	CC	   0.00	     61.0600	Andersson	Planktonic Foraminifers                      	A              	M                 	D                                      	F                          	                    	A                    	R                   	R                      	                   	                       	                                     	                         	                             	       

  IR	                 	                 	                  	              	177	1089	D	  8	H	CC	   5.00	     70.7200	Andersson	Planktonic Foraminifers                      	C              	P                 	D                                      	                           	A                   	A                    	                    	F                      	                   	                       	                                     	                         	                             	       

  IR	                 	                 	                  	              	177	1089	D	  9	H	CC	   0.00	     79.7000	Andersson	Planktonic Foraminifers                      	A              	M                 	A                                      	F                          	A                   	D                    	                    	F                      	                   	                       	                                     	                         	                             	       

  IR	                 	                 	                  	              	177	1089	D	 10	H	CC	   0.00	     89.7200	Andersson	Planktonic Foraminifers                      	C              	P                 	A                                      	R                          	A                   	D                    	R                   	                       	                   	                       	                                     	                         	                             	       

  IR	                 	                 	                  	              	177	1089	D	 11	H	CC	   0.00	     98.0000	Andersson	Planktonic Foraminifers                      	R              	P                 	P                                      	P                          	P                   	P                    	                    	                       	                   	                       	                                     	                         	                             	       

