Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella antillea	Pullenia subcarinata	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Lagena spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Fissurina spp.	Eponides weddellensis	Epistominella exigua	Eggerella bradyi	Cibicidoides mundulus	Cassidulina subglobosa	Cassidulina laevigata	Bulimina alazanensis	Bolivinita trunctum	Bolivina pseudoplicata	Turrila spp.	Trifarina angulosa	Tosaia hanzawai	Stilostomella spp.	Siphotextularia rolshauseni	Nonion spp.	Neoconorbina spp.	Fursenkoina pontoni	Elphidium spp.	Discorbinella spp.	Brizalina spathulata	Bolivinita spp.	Bolivina inflata	Pleurostomella spp.	Oolina spp.	Lenticulina spp.	Lamarckina spp.	Dentalina spp.	Bulimina spp.	Quinqueloculina seminulum	Nonion barleeanum	Hopkinsina spp.	Gyroidina polius	Fursenkoina fusiformis	Cibicidoides robertsonianus	Uvigerina spp.	Miliolid taxa	Florilus spp.	Bolivina pygmaea	Sigmoilina tenuis	Globobulimina auriculata	Eponides tumidulus	Stilostomella bradyi	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Gyroidina orbicularis	Cibicides wuellerstorfi	Trifarina fluens	Nonion auriculata	Gavelinopsis translucens	Bulimina marginata	Bolivina decussata	Valvulineria arctica	Patellina corrugata	Elphidium excavatum	Discorbis spp.	Brizalina lowmani	Bolivina subspinescens	Astrononion gallowayi	Anomalina globulosa	Glabratella spp.	Gavelinopsis lobatulus	Elphidium crispum	Cibicides lobatulus	Nonionella atlantica	Spiroloculina spp.	Brizalina pseudopunctata	Haynesina orbiculare	Epistominella takayanagii	Elphidium discoidale	Ammodiscoides japonicus	Ophthalmidium pusillum	Planulina ariminensis	Nonionella turgida	Cassidulina spp.	Bolivina arctica	Valvulineria laevigata	Fursenkoina pauciloculata	Pseudopolymorphina novangliae	Karreriella bradyi	Pyrgo murrhyna	Buliminella elegantissima	Elphidium poeyanum	Cyclogyra involvens	Brizalina subaenariensis	Uvigerina peregrina	Elphidium advenum	Planorbulina mediterreansis	Eoeponides pulchella	Elphidium gunteri	Elphidium galvestonense	Ammobaculites agglutinans	Rosalina columbiensis	Glabratella wrightii	Anomalina spp.	Ammonia beccarii	Bulimina striata	Sigmoilopsis schlumbergeri	Quinqueloculina agglutinans	Hoeglundina elegans	Triloculina tricarinata	Textularia conica	Rosalina floridana	Hyalina balthica	Comment



  SR	                 	                 	                  	              	149	 898	A	  1	H	 1	   8.00	      0.0800	Collins  	Benthic Foraminifers                         	               	                  	                      	5.1%                	                  	1.7%                 	1.7%                  	.3%        	                    	              	              	1.7%              	                        	2.1%          	10.3%                	5.8%                	                	                     	9.2%                  	12.3%                	                    	                   	                      	            	                  	               	                  	1.7%                       	           	                 	                   	              	                  	6.2%                	               	                	                   	           	                	               	              	             	                         	.7%              	               	                	4.8%                  	                           	              	             	             	                	                 	                        	3.1%              	                    	5.8%             	2.4%                    	1.0%             	                     	                       	2.1%            	                 	1.0%                    	1.4%              	1.0%              	                    	                   	1.4%               	              	                 	                      	                     	3.4%               	                	                      	.7%              	2.1%               	                    	                  	1.4%                    	                    	                         	                    	                       	                      	                     	.7%               	                	                	                      	                         	.7%                          	                  	              	                         	                  	                   	3.1%                    	1.4%               	                 	                           	                    	                 	                       	                         	                     	                    	.7%           	                	1.7%            	                          	                           	                   	.7%                    	                 	                  	.7%             	1947 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  1	H	 2	  63.00	      2.1300	Collins  	Benthic Foraminifers                         	               	                  	                      	8.9%                	                  	2.6%                 	8.5%                  	2.2%       	                    	              	              	3.7%              	                        	3.7%          	1.1%                 	24.4%               	.4%             	                     	13.0%                 	.4%                  	                    	                   	                      	            	                  	2.2%           	                  	.4%                        	           	                 	                   	              	                  	1.9%                	               	                	                   	.4%        	                	               	              	             	.4%                      	.4%              	               	                	1.9%                  	                           	              	             	             	                	                 	                        	4.4%              	                    	3.7%             	2.6%                    	.7%              	                     	4.1%                   	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	7.0%               	                	                      	.4%              	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	.7%           	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	2160 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  1	H	 3	  25.00	      3.2500	Collins  	Benthic Foraminifers                         	               	                  	                      	1.6%                	                  	.4%                  	                      	           	                    	              	              	                  	                        	              	2.8%                 	1.6%                	                	                     	8.1%                  	27.2%                	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	19.9%               	               	                	                   	           	                	               	              	             	                         	.4%              	               	                	.8%                   	                           	              	             	             	1.2%            	                 	                        	                  	                    	                 	                        	                 	                     	                       	2.0%            	                 	                        	2.0%              	.8%               	                    	                   	                   	              	                 	                      	                     	2.0%               	                	                      	                 	16.7%              	                    	                  	                        	                    	1.6%                     	1.6%                	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	.4%              	                           	                    	                 	                       	                         	                     	.4%                 	              	8.1%            	                	                          	                           	                   	                       	                 	                  	                	1312 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  1	H	 3	  96.00	      3.9600	Collins  	Benthic Foraminifers                         	               	                  	                      	2.0%                	                  	4.0%                 	                      	.3%        	                    	              	              	1.7%              	                        	2.3%          	10.6%                	8.3%                	                	                     	3.0%                  	1.0%                 	                    	                   	                      	            	                  	               	                  	.7%                        	           	                 	                   	              	                  	3.3%                	               	                	                   	           	                	               	.3%           	             	                         	                 	               	                	25.2%                 	                           	              	             	             	                	                 	                        	.7%               	                    	26.2%            	1.0%                    	.7%              	                     	.7%                    	.7%             	                 	                        	                  	                  	2.7%                	                   	                   	              	                 	                      	                     	2.0%               	                	                      	                 	                   	                    	                  	1.0%                    	                    	                         	                    	                       	                      	                     	.3%               	                	                	                      	                         	1.3%                         	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1605 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.
