Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cibicidoides spp.,Vulvulina spinosa,Stilostomella spp.,Pullenia spp.,Oridorsalis umbonatus,Hanzawaia ammophila,Cibicidoides praemundulus,Anomalinoides globulosus,Uvigerina spp.,Nodosariid taxa,Gyroidinoides soldanii,Globocassidulina subglobosa,Pleurostomella spp.,Bolivina spp.,Patellina corrugata,Trifarina spp.,Tritaxa spp.,Stilostomella subspinosa,Sphaeroidina bulloides,Siphonina tenuicarinata,Rectuvigerina striata,Astrononion pusillum,Planulina wuellerstorfi,Lenticulina spp.,Laticarinina pauperata,Cibicidoides mundulus,Bulimina spp.,Uvigerina hispidocostata,Textularia spp.,Sigmoilopsis schlumbergeri,Bulimina aculeata,Anomalinoides spp.,Sigmoilina obesa,Miliolids species,Loxostomoides spp.,Hoeglundina elegans,Martinottiella communis,Elphidium spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A,  1,H,CC,  13.00,      4.4700,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                 ,                 ,                  ,             ,                     ,                   ,                         ,F                       ,              ,               ,                      ,                           ,R                  ,             ,                   ,              ,            ,                        ,F                     ,                       ,                     ,                    ,F                      ,                ,                      ,F                    ,             ,                        ,R              ,R                         ,                 ,                  ,F               ,                 ,                  ,                   ,R                      ,F             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A,  4,H,CC,  21.00,     33.1200,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                 ,                 ,                  ,             ,                     ,                   ,                         ,F                       ,              ,               ,                      ,                           ,R                  ,             ,                   ,              ,            ,                        ,R                     ,                       ,                     ,                    ,F                      ,                ,                      ,F                    ,             ,                        ,R              ,R                         ,                 ,                  ,R               ,                 ,                  ,R                  ,R                      ,R             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A,  6,H,CC,   0.00,     52.0100,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,F                ,                 ,                  ,             ,                     ,                   ,                         ,                        ,              ,               ,                      ,                           ,                   ,R            ,                   ,              ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,F              ,                          ,                 ,                  ,F               ,F                ,R                 ,R                  ,                       ,              ,Turbidite with bryozoans
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A,  8,H,CC,  19.00,     70.8300,Holbourn ,Benthic Foraminifers                         ,R              ,G                 ,                 ,                 ,                  ,R            ,                     ,                   ,                         ,R                       ,              ,               ,                      ,                           ,                   ,             ,                   ,              ,            ,                        ,R                     ,                       ,                     ,                    ,F                      ,                ,R                     ,F                    ,             ,R                       ,R              ,R                         ,R                ,F                 ,                ,                 ,                  ,                   ,                       ,              ,       
