id,name,workbook_tab_name,data_source_notes
1,376,volcaniclastic_sedimentary,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
2,375,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
3,374,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
4,372,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
5,371,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
6,369,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
7,368,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
8,367,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
9,366,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
10,363,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
11,362,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
12,361,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
13,359,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
14,356,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
15,355,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
16,353,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
17,352,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
18,351,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
19,350,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
20,349,sediment,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
21,346,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
22,342,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
23,341,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
24,340,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
25,339,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
26,336,general,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
27,334,lithology & constituents,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
28,330,lithology & constituents,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
29,329,lithology2,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
30,327,lithology2,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
31,324,lithology & constituents,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
32,323,lithology & constituents,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
33,321,**these are a mess**,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
34,320,lithology,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
35,318,**these are a mess**,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
36,317,lithology,Excel file created by Leah LeVay that normalizes the vocabulary used in OPD workbooks.
