Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera mirabilis	Syracosphaera pulchra	Syracosphaera clava	Scapholithus fossilis	Rhabdosphaera clavigera	Pontosphaera sp.	Oolithotus fragilis	Helicosphaera kamptneri	Hayaster perplexus	Gephyrocapsa spp. small (<3.5 microns)	Gephyrocapsa spp. (large >5.5 microns)	Gephyrocapsa oceanica (4-5.5 microns)  	Dictyococcites sp.	Calcidiscus leptoporus	Umbellosphaera irregularis	Pontosphaera japonica	Emiliania huxleyi	Discosphaera tubifera	Discoaster sp.	Ceratolithus cristatus	Amaurolithus sp.	Cyclicargolithus floridanus	Discoaster deflandrei	Sphenolithus moriformis	Sphenolithus abies/neoabies	Reticulofenestra sp.	Pseudoemiliania lacunosa	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster brouweri	Comment



  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  1	H	 1	  11.00	      0.1100	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	C                  	C                    	A                      	S               	                   	C                      	                  	A                                     	S                                     	A                                      	S                 	C                     	S                         	S                    	A                	C                    	rS            	                      	                	rS                         	                     	rS                     	rS                         	R                   	rS                      	rR                     	rR                      	rR                 	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  1	H	 1	 123.00	      1.2300	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	C                  	C                    	A                      	S               	                   	C                      	                  	A                                     	S                                     	A                                      	S                 	C                     	S                         	S                    	V                	C                    	rS            	                      	                	rS                         	                     	rS                     	rS                         	R                   	rS                      	rR                     	rR                      	rR                 	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  1	H	 2	  46.00	      1.9600	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	C                  	C                    	A                      	S               	                   	C                      	                  	A                                     	S                                     	A                                      	S                 	C                     	S                         	S                    	V                	C                    	rS            	                      	                	rS                         	                     	rS                     	rS                         	R                   	rS                      	rR                     	rR                      	rR                 	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  1	H	 2	 122.00	      2.7200	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	C                  	C                    	A                      	S               	C                  	C                      	S                 	A                                     	R                                     	A                                      	S                 	C                     	S                         	S                    	V                	C                    	rS            	                      	                	rS                         	                     	rS                     	rS                         	R                   	rS                      	rR                     	rR                      	rR                 	from ODP Leg 134 SR Chapter 10 Table 3 p 195

