Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Pullenia bulloides	Nodosaria spp.	Melonis pompilioides	Gyroidinoides spp.	Globocassidulina subglobosa	Globobulimina affinis	Fontbotia wuellerstorfi	Oridorsalis umbonatus	Nuttallides umbonifera	Melonis barleeanus	Nonionella atlantica	Melonis sp.	Lagena spp.	Epistominella exigua	Chilostomella oolina	Comment



  IR	                 	                 	                  	              	172	1062	B	 19	X	CC	  25.00	    171.9100	Poli     	Benthic Foraminifers                         	R              	M                 	R                 	                  	R             	F                   	T                 	                           	                     	R                      	                     	F                     	F                 	                    	           	           	                    	                    	       

  IR	                 	                 	                  	              	172	1062	B	 20	X	CC	  25.00	    181.2400	Poli     	Benthic Foraminifers                         	               	                  	R                 	                  	R             	F                   	R                 	                           	F                    	R                      	                     	F                     	R                 	                    	           	           	                    	                    	       

  IR	                 	                 	                  	              	172	1062	B	 21	X	CC	  24.00	    191.0500	Poli     	Benthic Foraminifers                         	T              	P                 	                  	+                 	              	+                   	                  	                           	                     	                       	                     	                      	+                 	                    	           	           	                    	                    	       

  IR	                 	                 	                  	              	172	1062	B	 22	X	CC	  33.00	    200.4300	Poli     	Benthic Foraminifers                         	F              	M                 	R                 	F                 	R             	F                   	T                 	T                          	                     	R                      	T                    	F                     	                  	T                   	R          	C          	T                   	R                   	       

  IR	                 	                 	                  	              	172	1062	B	 23	X	CC	  29.00	    210.3700	Poli     	Benthic Foraminifers                         	F              	M                 	T                 	R                 	R             	F                   	R                 	R                          	                     	R                      	                     	                      	                  	F                   	R          	F          	R                   	R                   	       

  IR	                 	                 	                  	              	172	1062	B	 24	X	CC	  36.00	    219.4400	Poli     	Benthic Foraminifers                         	T              	P                 	+                 	                  	              	                    	+                 	                           	                     	+                      	+                    	+                     	+                 	                    	           	           	                    	                    	       

  IR	                 	                 	                  	              	172	1062	B	 25	X	CC	  17.00	    228.9700	Poli     	Benthic Foraminifers                         	R              	P                 	                  	+                 	              	+                   	+                 	+                          	                     	+                      	                     	                      	                  	                    	           	           	                    	                    	       

  IR	                 	                 	                  	              	172	1062	B	 26	X	CC	  24.00	    238.9800	Poli     	Benthic Foraminifers                         	R              	P                 	+                 	+                 	+             	+                   	+                 	+                          	+                    	+                      	                     	                      	                  	                    	           	           	                    	                    	       

