Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina pachyderma (sinistral)	Globigerina bulloides	Globigerinita minuta	Turborotalita quinqueloba	Globorotalia scitula	Globigerinita glutinata	Globigerinita uvula	Orbulina universa	Neogloboquadrina dutertrei	Comment



  IR	Holocene         	                 	CD1               	              	139	 857	C	  1	R	 1	   0.00	      0.0000	Brunner  	Planktonic Foraminifers                      	A              	G                 	A                                    	C                                      	A                    	                    	F                        	R                   	                       	                   	R                	R                         	from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  SR	Holocene         	                 	                  	              	139	 857	C	  1	R	 1	  61.00	      0.6100	Brunner  	Planktonic Foraminifers                      	               	                  	8                                    	+                                      	+                    	+                   	+                        	+                   	+                      	                   	+                	+                         	from Leg 139 SR; Chapter 4; Table 5; p. 47

  SR	Pleistocene      	                 	                  	              	139	 857	C	  1	R	 2	  16.00	      1.6600	Brunner  	Planktonic Foraminifers                      	               	                  	1                                    	29                                     	                     	                    	                         	                    	                       	                   	                 	                          	from Leg 139 SR; Chapter 4; Table 5; p. 47

  SR	                 	                 	                  	              	139	 857	C	  1	R	 3	  31.00	      3.3100	Brunner  	Planktonic Foraminifers                      	               	                  	0                                    	0                                      	                     	                    	                         	                    	                       	                   	                 	                          	from Leg 139 SR; Chapter 4; Table 5; p. 47

  SR	Pleistocene      	                 	                  	              	139	 857	C	  1	R	CC	  13.00	      3.5600	Brunner  	Planktonic Foraminifers                      	               	                  	2                                    	A                                      	A                    	F                   	                         	R                   	F                      	                   	                 	                          	from Leg 139 SR; Chapter 4; Table 5; p. 47

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  2	R	 2	  67.00	     58.6700	Brunner  	Planktonic Foraminifers                      	A              	M                 	R                                    	A                                      	A                    	F                   	C                        	                    	F                      	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  2	R	CC	   8.00	     58.8500	Brunner  	Planktonic Foraminifers                      	F              	G                 	                                     	R                                      	R                    	F                   	R                        	R                   	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  3	R	 2	  98.00	     68.9800	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                     	A                                      	C                    	                    	+                        	                    	+                      	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  3	R	 3	  47.00	     69.9700	Brunner  	Planktonic Foraminifers                      	A              	G                 	                                     	A                                      	A                    	C                   	A                        	                    	A                      	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

