Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Turborotalita quinqueloba,Globigerina bulloides,Globigerinita uvula minuta,Globigerinita glutinata,Neogloboquadrina pachyderma (dextral),Globigerinita uvula uvula,Globorotalia scitula,Globigerinoides ruber,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I,  1,X, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,R              ,                  ,R                                      ,                         ,                     ,                          ,                       ,R                                    ,                         ,                    ,                     ,"Agglutinated benthonic foraminifers, radiolarians, diatoms, sponge spicules, organic bits, mica"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,CD1           ,169,1038,I,  1,X, 2,  63.00,      2.1300,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                                      ,C                        ,C                    ,                          ,F                      ,C                                    ,                         ,R                   ,R                    ,"Planktonic foraminifers dominate with radiolarians, few mineral grains"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I,  1,X,CC,  13.00,      5.9000,Brunner  ,Planktonic Foraminifers                      ,R              ,G                 ,R                                      ,                         ,                     ,                          ,                       ,                                     ,                         ,                    ,                     ,"Mica dominates with very fine mineral sand, with minor framboidal pyrite, pollen, organic bits, rare benthonic foraminifers, diatoms, sponge spicules, radiolarians"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,CD1           ,169,1038,I,  2,X, 1, 125.00,     10.5500,Brunner  ,Planktonic Foraminifers                      ,R              ,M                 ,                                       ,F                        ,C                    ,                          ,R                      ,F                                    ,                         ,R                   ,                     ,"Framboidal pyrite most abundant in very tiny sand size fraction.  Vascular plant debris, radiolarians, mica, trace of diatoms"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I,  2,X,CC,  18.00,     13.0000,Brunner  ,Planktonic Foraminifers                      ,R              ,G                 ,R                                      ,                         ,                     ,                          ,                       ,                                     ,                         ,                    ,                     ,"Framboidal pyrite dominates with organic bits, radiolarians, diatoms including Isthmia, rare benthonic foraminifers"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I,  3,H,CC,  76.00,     27.8200,Brunner  ,Planktonic Foraminifers                      ,R              ,M                 ,R                                      ,R                        ,                     ,                          ,R                      ,                                     ,R                        ,                    ,                     ,"Mica dominates with radiolarians, organic bits, diatoms including Arachnoidiscus,  a few orange planktonic foraminifers, minor mineral sand in the very fine range"
,,,,,,,,,,,,,,,,,,,,,,,,,,
