Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sporadotrema sp.,Sphaerogypsina globula,Operculinella venosa,Ladoronia vermicularis,Amphistegina radiata,Rotaliid taxa,Operculina complanata,Planorbulinella sp.,Cycloclypeus (Cycloclypeus) carpenteri,Lepidocyclina howchini howchini,Discogypsina howchini,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  1,R,CC,   8.00,     89.9900,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,+                   ,                      ,+                   ,+            ,                     ,                   ,                                      ,+                              ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  1,R,CC,  20.00,     90.1100,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,+                   ,                      ,+                   ,             ,                     ,                   ,                                      ,+                              ,+                    ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  2,R, 1,  47.00,     96.0700,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,?                   ,                      ,+                   ,+            ,                     ,                   ,?                                     ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  2,R, 1, 108.00,     96.6800,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,+                   ,+                     ,+                   ,+            ,                     ,+                  ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  3,R, 1,  10.00,    105.4000,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,+                   ,+                     ,+                   ,             ,                     ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  4,R, 1,  53.00,    115.4300,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,                    ,+                     ,+                   ,+            ,                     ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  7,R, 1,  93.00,    144.9300,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,+                   ,+                     ,                    ,             ,                     ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  7,R, 1, 129.00,    145.2900,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,                    ,+                     ,+                   ,             ,                     ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  8,R, 1,  40.00,    154.0000,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,+                   ,?                     ,                    ,             ,                     ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  8,R, 1,  83.00,    154.4300,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,?                     ,+                   ,?                     ,+                   ,             ,                     ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  8,R, 1, 112.00,    154.7200,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,+                   ,?                     ,+                   ,             ,                     ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  8,R, 1, 118.00,    154.7800,Chaproniere,Benthic Foraminifers                         ,               ,                  ,                ,                      ,+                   ,?                     ,                    ,+            ,?                    ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 816,B,  8,R, 1, 125.00,    154.8500,Chaproniere,Benthic Foraminifers                         ,               ,                  ,?               ,?                     ,+                   ,?                     ,+                   ,             ,                     ,                   ,                                      ,                               ,                     ,from ODP 133 SR Chapter 3 Table 3 p 44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
