Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praeconocaryomma spp.,Praeconocaryomma sp. aff. P. prisca,Parvicingula sp. D,Parvicingula sp. B,Eucyrtis micropora,Holocryptocanium barbui,Eusyringium sp. A,Xitus spp.,Eusyringium sp. D,Eucyrtis hanni,Archaeodictyomitra brouweri var. alpha,Parvicingulid sp. D,Stephanastrum orbiculare,Parvicingulid sp. C,Foremanella diamphidia hipposidericus,Archaeodictyomitra brouweri s.l.,Acaeniotyle diaphorogona,Parvicingula malleola,Archaeodictyomitra spp. (slender group),Archaeodictyomitra brouweri gamma,Sethocapsa leiostraca,Acaeniotyle umbilicata,Archaeodictyomitra sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 18,R,CC,   9.00,    170.2400,Baumgartner,Radiolarians                                 ,R              ,M                 ,                     ,                                   ,                  ,                  ,                  ,                       ,                 ,          ,                 ,              ,                                      ,                   ,                        ,                   ,                                     ,T                               ,                        ,                     ,T                                      ,                                 ,                     ,T                     ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 21,R,CC,  10.00,    193.5700,Baumgartner,Radiolarians                                 ,VR             ,M                 ,                     ,                                   ,                  ,                  ,                  ,                       ,                 ,          ,                 ,              ,                                      ,                   ,                        ,                   ,                                     ,                                ,                        ,                     ,T                                      ,                                 ,                     ,                      ,T                       ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 22,R, 1,  16.00,    200.7600,Baumgartner,Radiolarians                                 ,C              ,G                 ,                     ,                                   ,                  ,                  ,T                 ,                       ,                 ,T         ,                 ,              ,                                      ,T                  ,T                       ,                   ,                                     ,                                ,T                       ,F                    ,T                                      ,                                 ,T                    ,T                     ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 23,R, 1,  36.00,    210.6600,Baumgartner,Radiolarians                                 ,A              ,G                 ,T                    ,                                   ,                  ,                  ,T                 ,                       ,                 ,          ,                 ,T             ,T                                     ,T                  ,                        ,                   ,                                     ,                                ,                        ,T                    ,T                                      ,T                                ,                     ,                      ,                        ,from ODP Leg 123 SR Chapter 15 Table 3 p 306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
