Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys wolffii,Stichocorys delmontensis,Siphostichartus corona,Lithopera thornburgi,Diartus petterssoni,Cyrtocapsella japonica,Carpocanopsis cristata,Calocycletta caepa,Botryostrobus miralestensis,Stichocorys johnsoni,Diartus hughesi,Solenosphaera omnitubus omnitubus,Stichocorys peregrina,Theocorythium vetulum,Stylatractus universus,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Pterocanium prismatium,Spongaster tetras,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Theocalyptra davisiana,Pterocorys minythorax,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 850,B,  1,H, 4, 110.00,      8.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,                     ,-                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,                        ,                           ,R                     ,R                    ,                       ,R                                  ,R                     ,R                    ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P12               ,              ,138, 850,B,  1,H, 6, 115.00,     11.6500,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,                     ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,                        ,                           ,R                     ,R                    ,                       ,R                                  ,R                     ,R                    ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P12               ,              ,138, 850,B,  1,H,CC,  15.00,     12.7500,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,                     ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,                        ,                           ,R                     ,R                    ,                       ,R                                  ,R                     ,-                    ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 850,B,  2,H, 4, 112.00,     18.1200,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,                     ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,                        ,-                          ,R                     ,R                    ,-                      ,R                                  ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
