Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Syracosphaera spp.	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica	Gephyrocapsa margerelii	Emiliania huxleyi	Calcidiscus leptoporus	Braarudosphaera bigelowii	Umbilicosphaera sibogae	Coccolithus pelagicus	Umbellosphaera spp.	Syracosphaera pulchra	Rhabdosphaera clavigera	Florisphaera profunda	Reticulofenestra sp.	Pseudoemiliania lacunosa	Neosphaera coccolithomorpha	Helicosphaera carteri	Gephyrocapsa caribbeanica	Discoaster pentaradiatus	Discoaster brouweri	Pontosphaera multiforata	Comment



  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  1	H	CC	   9.00	      7.0800	cur      	Nannofossils                                 	C              	G                 	C                 	                         	A                    	                       	A                	                      	                         	C                      	                     	                   	                     	                       	A                    	                    	                        	F                          	                     	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  2	H	CC	  14.00	     17.0400	cur      	Nannofossils                                 	C              	G                 	F                 	                         	C                    	                       	D                	R                     	                         	F                      	                     	                   	                     	R                      	A                    	                    	                        	R                          	R                    	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  3	H	CC	  14.00	     26.5100	cur      	Nannofossils                                 	C              	G                 	F                 	                         	C                    	                       	A                	R                     	                         	F                      	                     	F                  	R                    	                       	A                    	                    	                        	                           	F                    	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  4	H	CC	  38.00	     36.3500	cur      	Nannofossils                                 	C              	G                 	F                 	                         	A                    	                       	A                	                      	                         	C                      	                     	                   	R                    	R                      	A                    	                    	                        	                           	F                    	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  5	H	CC	  37.00	     45.8600	cur      	Nannofossils                                 	C              	M                 	                  	R                        	C                    	                       	A                	R                     	                         	R                      	                     	                   	R                    	                       	C                    	F                   	                        	                           	                     	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  6	H	CC	  45.00	     55.3000	cur      	Nannofossils                                 	F              	G                 	R                 	                         	F                    	                       	C                	                      	                         	                       	                     	                   	R                    	R                      	C                    	                    	                        	                           	                     	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  7	H	CC	  49.00	     64.8400	cur      	Nannofossils                                 	C              	M                 	R                 	                         	C                    	                       	C                	                      	                         	R                      	                     	                   	R                    	R                      	C                    	                    	                        	                           	                     	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  8	H	CC	  29.00	     74.2900	cur      	Nannofossils                                 	F              	M                 	                  	                         	F                    	                       	F                	                      	                         	                       	                     	                   	                     	                       	C                    	                    	                        	                           	                     	                         	                        	                   	R                       	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	  9	H	CC	  33.00	     83.7300	cur      	Nannofossils                                 	C              	G                 	R                 	R                        	C                    	                       	C                	                      	                         	R                      	                     	                   	R                    	F                      	C                    	                    	R                       	                           	R                    	R                        	R                       	R                  	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	 10	H	CC	  54.00	     93.3600	cur      	Nannofossils                                 	C              	G                 	R                 	                         	F                    	R                      	C                	                      	                         	                       	                     	                   	R                    	R                      	C                    	R                   	R                       	R                          	                     	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	 11	H	CC	  40.00	    102.7800	cur      	Nannofossils                                 	C              	G                 	                  	                         	F                    	                       	F                	R                     	                         	R                      	                     	R                  	R                    	R                      	C                    	                    	                        	                           	                     	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	 12	H	CC	  35.00	    109.9500	cur      	Nannofossils                                 	F              	G                 	                  	                         	                     	                       	F                	R                     	                         	R                      	R                    	                   	                     	                       	                     	                    	                        	                           	                     	                         	                        	                   	                        	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	195	1202	A	 13	H	CC	  90.00	    120.0200	cur      	Nannofossils                                 	C              	G                 	R                 	R                        	F                    	F                      	F                	R                     	R                        	                       	                     	                   	                     	                       	                     	                    	                        	                           	                     	                         	                        	                   	                        	       

