Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Micula staurophora,Eiffellithus turriseiffelii,Ceratolithoides aculeus,Micula murus,Ceratolithoides kamptneri,Ericsonia robusta,Cruciplacolithus tenuis,Chiasmolithus danicus,Fasciculithus tympaniformis,Discoaster multiradiatus,Zygrhablithus bijugatus,Toweius gammation,Sphenolithus radians,Sphenolithus editus,Ericsonia subdisticha,Ericsonia formosa,Discoaster lodoensis,Campylosphaera dela,Discoaster tanii,Discoaster sublodoensis,Discoaster kuepperi,Discoaster barbadiensis,Chiasmolithus grandis,Chiasmolithus consuetus,Sphenolithus pseudoradians,Reticulofenestra dictyoda,Nannotetrina fulgens,Discoaster saipanensis,Sphenolithus predistentus,Reticulofenestra umbilica,Dictyococcites bisectus,Cyclicargolithus floridanus,Sphenolithus distentus,Discoaster deflandrei,Sphenolithus ciperoensis,Cyclicargolithus abisectus,Reticulofenestra pseudoumbilicus,Discoaster tamalis,Discoaster surculus,Amaurolithus spp.,Helicosphaera sellii,Discoaster pentaradiatus,Discoaster brouweri,Gephyrocapsa oceanica,Discoaster asymmetricus,Pseudoemiliania lacunosa,Gephyrocapsa parallela,Gephyrocapsa margerelii,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,CN14a         ,198,1211,B,  1,H,CC,  20.00,      6.1000,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,F                    ,                       ,F                       ,C                     ,C                      ,C                        ,F                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,CN14a         ,198,1211,B,  2,H,CC,  18.00,     15.9400,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,F                    ,                       ,C                       ,C                     ,C                      ,C                        ,C                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12a         ,198,1211,B,  3,H,CC,  17.00,     25.4800,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,F                 ,C                  ,                 ,                    ,C                       ,C                  ,F                    ,C                      ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12a         ,198,1211,B,  4,H,CC,  15.00,     34.8000,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,C                 ,C                  ,                 ,F                   ,C                       ,C                  ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
