leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
86,577,A,UPPER PLEISTOCENE,,0.0,9.4,,NO AGE GIVEN,,NO AGE GIVEN, 0.01,  0.7,0.355,DSDP INITIAL REPORTS
86,577,A,LOWER PLEISTOCENE,,9.4,18.9,,NO AGE GIVEN,,NO AGE GIVEN,  1.2,  1.8,  1.5,DSDP INITIAL REPORTS
86,577,A,LOWER PLEISTOCENE,UPPER PLIOCENE,18.9,28.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  1.2,  3.4,  2.3,DSDP INITIAL REPORTS
86,577,A,UPPER PLIOCENE,,28.4,37.9,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
86,577,A,LOWER PLIOCENE,,37.9,47.4,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
86,577,A,LOWER PLIOCENE,UPPER MIOCENE,47.4,56.9,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 10.5, 6.95,DSDP INITIAL REPORTS
86,577,A,UPPER MIOCENE,LOWER EOCENE,56.9,66.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5, 53.5,29.25,DSDP INITIAL REPORTS
86,577,A,LOWER EOCENE,,66.4,75.9,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
86,577,A,LOWER EOCENE,UPPER PALEOCENE,75.9,85.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   49,   60, 54.5,DSDP INITIAL REPORTS
86,577,A,LOWER PALEOCENE,,85.4,109.6,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
86,577,A,MAESTRICHTIAN,,109.6,123.4,,NO AGE GIVEN,,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
