Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina sp.,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia menardii,Globorotalia inflata,Globigerinoides sp.,Globigerinoides ruber,Globigerina spp.,Globigerina quinqueloba,Globigerina bulloides umbilicata,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 1, 108.00,      1.0800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,255                                    ,9                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,8                      ,1                               ,49                   ,Other taxa = 2; Total count = 324; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 2,  77.00,      2.2700,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,226                                    ,11                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,4               ,23                     ,5                               ,59                   ,Other taxa =1 ; Total count = 329; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 3,  80.00,      3.8000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,233                                    ,6                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,23              ,31                     ,1                               ,20                   ,Other taxa = 8; Total count = 322; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 4, 106.00,      5.5600,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,266                                    ,4                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,20              ,61                     ,0                               ,0                    ,Other taxa = 0; Total count = 351; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H, 5,  84.00,      6.8400,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,234                                    ,10                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,1               ,11                     ,0                               ,42                   ,Other taxa = 2; Total count = 300; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H,CC,  33.00,      9.2100,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,217                                    ,32                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,2               ,15                     ,2                               ,31                   ,Other taxa = 3; Total count = 302; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
