Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira yabei	Thalassionema nitzschioides	Nitzschia praedim*	Hemidiscus cuneiformis	Denticulopsis hustedtii	Cestodiscus pulchellus	Actinocyclus moronensis	Actinocyclus ellipticus var. javanica	Actinocyclus ellipticus f. lanceolata	Rossiella praepaleacea	Nitzschia miocenica	Nitzschia cylindrica	Coscinodiscus lewisianus	Azpeitia nodulifera	Thalassiosira oestrupii	Nitzschia fossilis	Thalassiosira convexa var. aspinosa	Nitzschia marina	Rhizosolenia praebergonii var. robusta	Pseudoeunotia doliolus	Nitzschia reinholdii	Asteromphalus elegans	Actinoptychus senarius	Coscinodiscus marginatus	Comment
  IR	                 	                 	                  	              	170	1043	A	 16	X	CC	  60.00	    144.5200	White    	Diatoms                                      	R              	P                 	                         	                   	R                          	                  	                      	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	                   	                       	                  	                                   	                	                                      	                      	                    	                     	                      	                        	       

  IR	                 	Pleistocene      	                  	P. doliolus   	170	1043	A	 17	X	CC	  14.00	    151.8100	White    	Diatoms                                      	A              	M                 	F                        	                   	C                          	                  	                      	                       	                      	                       	                                     	rR                                   	                      	                   	                    	                        	F                  	C                      	                  	                                   	F               	rR                                    	F                     	                    	R                    	R                     	                        	       

  IR	                 	Pleistocene      	                  	P. doliolus   	170	1043	A	 18	X	CC	  30.00	    161.5200	White    	Diatoms                                      	C              	M                 	R                        	                   	F                          	                  	R                     	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	                   	F                      	                  	                                   	F               	rR                                    	F                     	                    	R                    	                      	                        	       

  IR	                 	Pleistocene      	                  	P. doliolus   	170	1043	A	 19	H	CC	  26.00	    176.9000	White    	Diatoms                                      	C              	M                 	R                        	                   	F                          	                  	                      	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	F                  	C                      	                  	                                   	F               	                                      	F                     	                    	                     	                      	                        	       

  IR	                 	Pleistocene      	                  	P. doliolus   	170	1043	A	 20	X	CC	  19.00	    181.8900	White    	Diatoms                                      	C              	P                 	R                        	                   	R                          	                  	                      	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	                   	F                      	                  	                                   	F               	                                      	R                     	                    	                     	                      	                        	       

  IR	                 	Pleistocene      	                  	NTD 16B       	170	1043	A	 21	X	CC	  13.00	    195.1300	White    	Diatoms                                      	F              	P                 	R                        	                   	R                          	                  	                      	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	                   	R                      	R                 	                                   	R               	rR                                    	R                     	                    	                     	                      	                        	       

  IR	                 	Pleistocene      	                  	NTD 16B       	170	1043	A	 22	X	CC	  38.00	    205.4500	White    	Diatoms                                      	F              	P                 	                         	                   	F                          	                  	                      	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	R                  	F                      	R                 	                                   	F               	rR                                    	R                     	R                   	                     	                      	                        	       

  IR	Pleistocene      	Late Pliocene    	                  	NTD 16A       	170	1043	A	 24	X	CC	  30.00	    224.5300	White    	Diatoms                                      	R              	P                 	                         	                   	R                          	                  	                      	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	                   	R                      	R                 	                                   	R               	R                                     	                      	                    	                     	                      	                        	       

  IR	                 	Late Pliocene    	                  	N.marina sz B 	170	1043	A	 25	X	CC	  33.00	    234.3300	White    	Diatoms                                      	R              	P                 	R                        	                   	R                          	                  	                      	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	                   	R                      	R                 	R                                  	R               	                                      	                      	                    	                     	                      	                        	       

  IR	                 	                 	                  	              	170	1043	A	 28	X	CC	  33.00	    263.1300	White    	Diatoms                                      	F              	P                 	F                        	                   	F                          	                  	                      	                       	                      	                       	                                     	                                     	                      	                   	                    	                        	R                  	F                      	R                 	                                   	                	                                      	                      	                    	                     	                      	                        	       

  IR	                 	Late Miocene     	                  	NTD 13A       	170	1043	A	 29	X	CC	  37.00	    272.8400	White    	Diatoms                                      	A              	G                 	C                        	                   	C                          	R                 	                      	                       	                      	                       	                                     	                                     	R                     	R                  	R                   	rR                      	F                  	                       	                  	                                   	                	                                      	                      	                    	                     	                      	                        	       

  IR	Late Miocene     	Middle Miocene   	                  	A. moronensis 	170	1043	A	 30	X	CC	  17.00	    282.2600	White    	Diatoms                                      	A              	G                 	A                        	R                  	C                          	R                 	F                     	C                      	rR                    	R                      	F                                    	R                                    	                      	                   	                    	                        	                   	                       	                  	                                   	                	                                      	                      	                    	                     	                      	                        	       

