Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera carteri,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Pontosphaera pacifica,Syracosphaera pulchra,Helicosphaera sellii,Gephyrocapsa sp.,Braarudosphaera bigelowii,Reticulofenestra cf. pseudoumbilica,Discolithina japonica,Syracosphaera mediterranea,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN21              ,              ,141, 860,B,  1,H, 1,  57.00,      0.5700,Spiegler ,Nannofossils                                 ,F              ,G                 ,                        ,                     ,F                    ,                      ,C                     ,                     ,R                    ,                    ,                ,                         ,                                   ,                     ,                          ,                      ,                     ,                         ,F                ,from Leg 141 SR; Chapter 14; Table 4; pp. 200-201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN21              ,              ,141, 860,B,  1,H,CC,  20.00,      1.3400,Spiegler ,Nannofossils                                 ,C              ,G                 ,                        ,F                    ,C                    ,                      ,C                     ,                     ,                     ,                    ,                ,                         ,                                   ,                     ,                          ,C                     ,F                    ,                         ,F                ,from Leg 141 SR; Chapter 14; Table 4; pp. 200-201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN21              ,              ,141, 860,B,  2,H, 1,  20.00,      1.6000,Spiegler ,Nannofossils                                 ,C              ,G                 ,                        ,F                    ,C                    ,                      ,C                     ,                     ,R                    ,                    ,                ,                         ,                                   ,R                    ,R                         ,C                     ,                     ,                         ,F                ,from Leg 141 SR; Chapter 14; Table 4; pp. 200-201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN21              ,              ,141, 860,B,  2,H, 1,  60.00,      2.0000,Spiegler ,Nannofossils                                 ,C              ,G                 ,                        ,F                    ,                     ,                      ,                      ,                     ,R                    ,                    ,                ,                         ,                                   ,                     ,R                         ,C                     ,                     ,                         ,F                ,from Leg 141 SR; Chapter 14; Table 4; pp. 200-201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN21              ,              ,141, 860,B,  2,H, 2,  60.00,      3.5000,Spiegler ,Nannofossils                                 ,C              ,G                 ,                        ,C                    ,                     ,                      ,C                     ,                     ,R                    ,                    ,                ,                         ,                                   ,                     ,R                         ,C                     ,                     ,                         ,C                ,from Leg 141 SR; Chapter 14; Table 4; pp. 200-201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
