Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera sp.,Sphenolithus abies,Scyphosphaera sp. (base),Scyphosphaera campanula,Scyphosphaera apsteinii,Scyphosphaera amphora,Reticulofenestra sp. (small),Reticulofenestra pseudoumbilicus,Lithostromation perdurum,Discolithina multipora,Discolithina callosa,Discoaster brouweri,Cyclococcolithus rotula,Cyclococcolithus macintyrei,Cyclococcolithus leptoporus,Coccosphaera (unspecified taxon),Coccolithus pelagicus,Scyphosphaera intermedia,Rhabdosphaera procera,Helicosphaera carteri,Discoaster variabilis,Discoaster hamatus,Braarudosphaera bigelowii,Coccolithus miopelagicus,Discoaster calcaris,Discoaster neohamatus,Gephyrocapsa sp.,Discoaster tamalis,Discoaster sp. cf. D. surculus,Helicosphaera sellii,Discoaster surculus,Syracosphaera pulchra,Gephyrocapsa oceanica,Gephyrocapsa aperta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 684,A,  1,H, 2,  84.00,      2.3400,Martini  ,Nannofossils                                 ,               ,                  ,                 ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,                   ,                       ,                           ,                           ,                                ,                     ,                        ,                     ,C                    ,                     ,                  ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,C                    ,C                  ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 684,A,  1,H, 3, 137.00,      4.3700,Martini  ,Nannofossils                                 ,               ,G                 ,R                ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,                   ,                       ,                           ,R                          ,F                               ,R                    ,                        ,                     ,C                    ,                     ,                  ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,A                    ,A                  ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 684,A,  1,H,CC,  11.00,      5.2700,Martini  ,Nannofossils                                 ,               ,M                 ,                 ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,                   ,                       ,                           ,                           ,                                ,                     ,                        ,                     ,                     ,                     ,                  ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,F                    ,F                  ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN20              ,              ,112, 684,A,  2,H, 4,  27.00,     10.0700,Martini  ,Nannofossils                                 ,               ,M                 ,                 ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,                   ,                       ,                           ,R                          ,                                ,                     ,                        ,                     ,C                    ,                     ,                  ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,R                    ,A                    ,A                  ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
