Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria sp.cf. V.depressa,Valvulineria sp.cf. V.compressa,Stilostomella sp.,Galliherina uvigerinaformis,Fursenkoina glabra,Buliminella subfusiformis,Bulimina sp.,Brizalina girardensis,Bolivinellina pacifica,Bolivina vaughani,Bolivina sp. cf. B. adventa,Takayanagia delicata,Pseudoparrella subperuviana,Cibicides sp.,Buliminella elegantissima,Robulus sp. cf. C. americana,Nonion obducum,Epistominella smithi,Brizalina imbricata,Buliminella elegantissima limbosa,Uvigerina peregrina dirupta,Uvigerina auberiana,Takayanagia asanoi,Suggrunda eckisi,Rutherfordoides cornuta,Pseudoparrella sandiegoensis,Proxifrons advena,Praeglobobulimina spinescens,Plectofrondicularia californica,Nonionoides basispinatus,Gyroidina rothwelli,Globobulimina ovula,Fursenkoina bramlettei,Eilohedra levicula,Cassidulina sp. cf. C. modeloensis,Cassidulina cushmani,Bulimina alazanensis,Brizalina spissa,Brizalina pseudobeyrichi,Brizalina interjuncta bicostata,Bolivinita minuta,Bolivina sinuata,Bolivina costata,Planulina limbata,Nonionella sp.,Nonion sp.,Hansenisca altiformis,Globocassidulina cf. lomitensis,Bulimina striata mexicana,Brizalina argentea,Angulogerina sp.,Valvulineria californica,Uvigerina sp.,Uvigerina asperula,Cassidelina nodosa,Uvigerina ? semitrigona,Uvigerina striata,Epistominella afueraensis,Cassidulina sp. aff. C. detierraensis,Cassidulina pulchella,Cassidulina detierraensis,Cancris inflatus,Brizalina interjuncta,Bolivinellina humilis,Bolivina plicata,Pullenia subcarinata,Planulina ornata,Hanzawaia nitidula,Gyroidina sp.,Globocassidulina quadrata,Globocassidulina californica,Cancris auricula,Angulogerina carinata bradyana,Nonionella miocenica stella,Globobulimina pacifica,Buliminella curta var. basispinata,Alexanderina viejoensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 684,A,  1,H, 3,  70.00,      3.7000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,                 ,                           ,17                ,                         ,            ,                     ,1                     ,                 ,                           ,                    ,                           ,             ,                         ,                            ,              ,                    ,                   ,1                                ,                           ,                   ,                  ,2               ,                       ,                            ,                 ,                            ,                               ,                        ,                   ,T                  ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,T                ,                ,1               ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,                 ,8                        ,                                     ,5                    ,T                        ,T               ,                     ,62                   ,T               ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,2                          ,                      ,T                                 ,T                      ,count=554 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 684,A,  1,H,CC,  11.00,      5.2700,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,                 ,                           ,1                 ,T                        ,            ,                     ,2                     ,                 ,                           ,                    ,22                         ,             ,                         ,                            ,              ,                    ,                   ,1                                ,                           ,                   ,                  ,8               ,                       ,                            ,                 ,                            ,                               ,                        ,                   ,                   ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,                 ,                ,1               ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,T                      ,T                ,2                        ,                                     ,2                    ,                         ,T               ,                     ,61                   ,T               ,                    ,                ,                  ,             ,                         ,                            ,                ,T                             ,T                          ,T                     ,                                  ,                       ,count=1286 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 684,A,  2,H, 3,  70.00,      9.0000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,                 ,                           ,                  ,T                        ,            ,                     ,                      ,                 ,                           ,                    ,8                          ,             ,                         ,                            ,              ,T                   ,                   ,                                 ,                           ,                   ,                  ,                ,                       ,                            ,                 ,                            ,                               ,                        ,2                  ,                   ,                      ,                  ,                                  ,1                   ,                    ,T               ,                        ,T                              ,T                ,                ,T               ,1                ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,6                ,20                       ,21                                   ,                     ,T                        ,5               ,10                   ,1                    ,7               ,T                   ,T               ,T                 ,T            ,T                        ,T                           ,T               ,17                            ,                           ,                      ,                                  ,                       ,count=389 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 684,A,  2,H,CC,  14.00,     15.1800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,                 ,                           ,                  ,                         ,            ,                     ,1                     ,                 ,                           ,                    ,45                         ,             ,                         ,                            ,              ,                    ,                   ,T                                ,                           ,                   ,                  ,1               ,                       ,                            ,                 ,                            ,                               ,                        ,3                  ,                   ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,                 ,                ,                ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,T                      ,T                ,22                       ,2                                    ,1                    ,4                        ,2               ,T                    ,13                   ,6               ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=299 from ODP Leg 112 SR Chapter 16 Table 4 p 272
