leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
93,603,B,UPPER PLIOCENE,,0.0,285.0,MISSING HOLE OR DRILLED INTERVAL,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,INITIAL CORE DESCRIPTIONS
93,603,B,LOWER PLIOCENE,,285.0,417.1,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,INITIAL CORE DESCRIPTIONS
93,603,B,UPPER MIOCENE,,417.1,638.3,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,INITIAL CORE DESCRIPTIONS
93,603,B,MIDDLE MIOCENE,,821.4,946.2,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,INITIAL CORE DESCRIPTIONS
93,603,B,LOWER EOCENE,,955.8,1002.6,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,INITIAL CORE DESCRIPTIONS
93,603,B,UPPER PALEOCENE,,1002.6,1020.6,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,INITIAL CORE DESCRIPTIONS
93,603,B,CAMPANIAN,CONIACIAN,1090.4,1109.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   70,   86,   78,INITIAL CORE DESCRIPTIONS
93,603,B,TURONIAN,CENOMANIAN,1118.5,1127.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   86,  100,   93,INITIAL CORE DESCRIPTIONS
93,603,B,ALBIAN,APTIAN,1127.5,1181.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  100,  110,  105,INITIAL CORE DESCRIPTIONS
93,603,B,ALBIAN,BARREMIAN,1181.5,1190.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  100,  121,110.5,INITIAL CORE DESCRIPTIONS
93,603,B,BARREMIAN,,1197.2,1224.0,,NO AGE GIVEN,,NO AGE GIVEN,  115,  121,  118,INITIAL CORE DESCRIPTIONS
93,603,B,UPPER BARREMIAN,,1224.0,1310.4,,NO AGE GIVEN,,NO AGE GIVEN,  115,  118,116.5,INITIAL CORE DESCRIPTIONS
93,603,B,LOWER BARREMIAN,,1310.4,1387.2,,NO AGE GIVEN,,NO AGE GIVEN,  118,  121,119.5,INITIAL CORE DESCRIPTIONS
93,603,B,UPPER HAUTERIVIAN,,1387.2,1423.7,,NO AGE GIVEN,,NO AGE GIVEN,  121,  123,  122,INITIAL CORE DESCRIPTIONS
93,603,B,UPPER HAUTERIVIAN,MIDDLE HAUTERIVIAN,1423.7,1468.7,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  121,  124,122.5,INITIAL CORE DESCRIPTIONS
93,603,B,UPPER HAUTERIVIAN,,1468.7,1477.7,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  121,  123,  122,INITIAL CORE DESCRIPTIONS
93,603,B,HAUTERIVIAN,,1477.7,1501.9,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  121,  126,123.5,INITIAL CORE DESCRIPTIONS
93,603,B,VALANGINIAN,,1501.9,1549.2,,NO AGE GIVEN,,NO AGE GIVEN,  126,  131,128.5,INITIAL CORE DESCRIPTIONS
93,603,B,VALANGINIAN,BERRIASIAN,1549.2,1576.2,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  126,  135,130.5,INITIAL CORE DESCRIPTIONS
