Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Incertae sedis forma A	Bachmayerella tenuis	Comment



  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  1	H	 1	 106.00	      1.0600	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  1	H	 2	  77.00	      2.2700	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  1	H	 3	  83.00	      3.8300	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  1	H	 4	  33.00	      4.8300	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  1	H	 5	  77.00	      6.7700	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  1	H	 6	  52.00	      8.0200	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  1	H	 7	  25.00	      8.7500	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  1	H	CC	  23.00	      9.2800	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  2	H	 2	  62.00	     11.4200	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  2	H	 2	  81.00	     11.6100	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  2	H	 3	  77.00	     13.0700	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

  SR	Pleistocene      	                 	T.excel-G.car Subz C	              	160	 967	A	  2	H	 4	  69.00	     14.4900	Spezzaferri	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                     	-                   	from Leg 160SR Ch 10 Table 4

