Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera rotula,Umbilicosphaera jafari,Sphenolithus moriformis,Sphenolithus abies,Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Reticulofenestra minuta,Reticulofenestra haqii,Discoaster surculus,Discoaster pansus,Discoaster challengeri,Discoaster berggrenii,Discoaster bellus,Coccolithus pelagicus,Calcidiscus leptoporus,Helicosphaera carteri,Discoaster variabilis,Discoaster quinqueramus,Discoaster exilis,Discoaster bergenii,Sphenolithus spp.,Discoaster spp.,Helicosphaera orientalis,Calcidiscus tropicus,Helicosphaera stalis,Reticulofenestra (pseudobar),Minylitha convallis,Florisphaera profunda,Discoaster pentaradiatus,Discoaster brouweri,Discoaster loeblichii,Triquetrorhabdulus rugosus,Amaurolithus spp.,Amaurolithus primus,Sphenolithus grandis,Coccolithus pelagicus (with bar),Amaurolithus amplificus,Pontosphaera multipora,Helicosphaera intermedia,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Syracosphaera spp.,Pseudoemiliania ovata,Gephyrocapsa spp. (small),Amaurolithus delicatus,Helicosphaera sellii,Discoaster altus,Reticulofenestra minutula,Pontosphaera discopora,Triquetrorhabdulus rioi,Pontosphaera japonica,Scapholithus fossilis,Braarudosphaera bigelowii,Discoaster asymmetricus,Discoaster kugleri,Ceratolithus cristatus,Scyphosphaera spp.,Rhabdosphaera clavigera,Umbilicosphaera hulburtiana,Discoaster triradiatus,Ceratolithus cristatus var. telesmus,Umbilicosphaera sibogae var. sibogae,Umbilicosphaera sibogae var. foliosa,Gephyrocapsa muellerae,Helicosphaera carteri var. walichii,Discoaster tamalis,Pseudoemiliania lacunosa,Cyclolithus annulus,Syracosphaera pulchra,Gephyrocapsa spp. (large),Umbellosphaera tenuis,Umbellosphaera irregularis,Rhabdosphaera clavigera var. stylifera,Neosphaera coccolithomorpha,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  1,H,CC,  15.00,      2.8900,Boeckel  ,Nannofossils                                 ,               ,G                 ,                      ,                      ,                       ,                  ,                                           ,                                           ,                       ,                      ,                   ,                 ,                      ,                     ,                 ,                     ,C                     ,F                    ,                     ,                       ,                 ,                   ,                 ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,                        ,                   ,                     ,                          ,                 ,                   ,                    ,R                               ,                       ,                      ,                        ,                            ,                      ,C                 ,                     ,D                        ,                      ,                    ,                ,                         ,R                     ,                       ,R                    ,C                    ,                         ,                       ,                  ,                      ,                  ,R                      ,                           ,                      ,                                    ,F                                   ,                                    ,C                     ,F                                  ,                  ,                        ,                   ,R                    ,C                        ,C                    ,F                         ,R                                     ,R                          ,A                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  2,H,CC,  14.00,     12.3100,Boeckel  ,Nannofossils                                 ,C              ,G                 ,                      ,                      ,                       ,                  ,                                           ,                                           ,                       ,                      ,                   ,                 ,                      ,                     ,                 ,                     ,R                     ,F                    ,                     ,                       ,                 ,                   ,R                ,               ,                        ,                    ,                    ,                            ,                   ,C                    ,                        ,                   ,                     ,                          ,                 ,                   ,                    ,F                               ,                       ,                      ,                        ,                            ,                      ,R                 ,                     ,A                        ,                      ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,                       ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,R                                   ,R                                   ,D                     ,                                   ,                  ,F                       ,                   ,R                    ,C                        ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  3,H,CC,  27.00,     22.3000,Boeckel  ,Nannofossils                                 ,C              ,G                 ,                      ,                      ,                       ,                  ,                                           ,                                           ,A                      ,                      ,R                  ,                 ,                      ,                     ,                 ,C                    ,F                     ,                     ,R                    ,                       ,                 ,                   ,                 ,R              ,                        ,                    ,                    ,                            ,                   ,C                    ,R                       ,F                  ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,R                     ,                  ,C                    ,A                        ,                      ,                    ,                ,A                        ,                      ,                       ,                     ,                     ,                         ,R                      ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,A                     ,                                   ,                  ,                        ,R                  ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  4,H,CC,  63.00,     31.5600,Boeckel  ,Nannofossils                                 ,C              ,G                 ,R                     ,                      ,                       ,                  ,F                                          ,                                           ,D                      ,                      ,R                  ,                 ,                      ,                     ,                 ,                     ,C                     ,F                    ,F                    ,                       ,                 ,                   ,                 ,               ,                        ,                    ,                    ,                            ,                   ,C                    ,R                       ,F                  ,                     ,                          ,                 ,                   ,                    ,R                               ,                       ,                      ,                        ,                            ,F                     ,                  ,C                    ,A                        ,                      ,F                   ,                ,C                        ,                      ,                       ,R                    ,                     ,                         ,R                      ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,C                                   ,                                    ,C                     ,                                   ,R                 ,R                       ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
