Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotaloides suteri	Globorotalia opima nana	Globorotalia mayeri/siakensis	Globoquadrina venezuelana	Globoquadrina sellii	Globoquadrina praedehiscens	Catapsydrax dissimilis	Sphaeroidinellopsis seminulina	Globoturborotalita nepenthes	Globorotalia tumida tumida	Sphaeroidinella dehiscens	Globorotalia limbata	Pulleniatina obliquiloculata	Globorotalia crassaformis	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Globorotalia tosaensis	Orbulina universa	Globorotalia scitula	Globoquadrina conglomerata	Globigerinoides quadrilobatus s.l.	Globigerinoides conglobatus	Globigerinella siphonifera	Globigerinoides ruber s.l.	Globorotalia truncatulinoides	Comment



  SR	Pleistocene      	                 	N22               	              	115	 711	A	  1	H	 1	 105.00	      1.0500	Vincent  	Planktonic Foraminifers                      	               	P                 	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	+?                       	+                   	+                           	+                        	                         	+                         	+                     	+                	                    	+                         	+                                 	+                          	+                         	                          	+?                           	benthic foraminifers few. radiolarians abundant. sponge spicules abundant. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  1	H	 2	 105.00	      2.5500	Vincent  	Planktonic Foraminifers                      	               	P                 	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	+?                       	+                   	+                           	+                        	+                        	+                         	+?                    	+                	+                   	+                         	+                                 	+                          	+                         	+?                        	                             	benthic foraminifers few. radiolarians common. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  1	H	 3	 105.00	      4.0500	Vincent  	Planktonic Foraminifers                      	               	VP                	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	                         	+?                  	                            	+?                       	+?                       	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	benthic foraminifers common. radiolarians abundant. sponge spicules common. fish remains rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  1	H	 4	 105.00	      5.5500	Vincent  	Planktonic Foraminifers                      	               	P                 	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	+                        	+                   	+                           	+                        	+?                       	+?                        	+?                    	+                	+?                  	+                         	+?                                	+?                         	+?                        	                          	                             	benthic foraminifers few. radiolarians abundant. sponge spicules few. fish remains rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

