Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina peregrina,Pullenia bulloides,Oridorsalis umbonatus,Globocassidulina subglobosa,Fontbotia wuellerstorfi,Epistominella exigua,Bulimina marginata,Melonis pompilioides,Gyroidinoides spp.,Globobulimina affinis,Nodosaria spp.,Lagena spp.,Bulimina gr. costata,Bolivina pseudopunctata,Chilostomella oolina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B,  1,H,CC,  17.00,      6.3400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                  ,                  ,                     ,                           ,                       ,                    ,T                 ,F                   ,                  ,A                    ,              ,           ,                    ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B,  2,H,CC,  20.00,     16.2500,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                  ,                  ,                     ,                           ,                       ,                    ,                  ,R                   ,                  ,C                    ,              ,           ,                    ,                       ,A                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B,  3,H,CC,  16.00,     25.7000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                  ,                  ,                     ,                           ,                       ,                    ,R                 ,F                   ,                  ,F                    ,              ,           ,                    ,                       ,F                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B,  4,H,CC,  11.00,     35.2000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                  ,                  ,                     ,                           ,                       ,                    ,                  ,F                   ,                  ,C                    ,              ,           ,                    ,                       ,F                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B,  5,H,CC,  29.00,     44.9100,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                  ,                  ,T                    ,                           ,                       ,                    ,R                 ,F                   ,                  ,C                    ,              ,           ,                    ,T                      ,C                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B,  6,H,CC,  13.00,     54.3300,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                  ,                  ,R                    ,                           ,                       ,                    ,R                 ,                    ,                  ,C                    ,              ,           ,                    ,                       ,F                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B,  8,H,CC,  12.00,     73.3500,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                   ,                  ,T                    ,T                          ,F                      ,                    ,R                 ,F                   ,F                 ,R                    ,              ,           ,                    ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B,  9,H,CC,  20.00,     82.9400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                  ,R                 ,                     ,                           ,T                      ,                    ,R                 ,F                   ,T                 ,F                    ,              ,           ,                    ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B, 10,H,CC,  18.00,     92.4700,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                  ,                  ,                     ,                           ,                       ,                    ,R                 ,                    ,T                 ,F                    ,T             ,F          ,T                   ,T                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B, 11,H,CC,  24.00,    101.9800,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,R                  ,                  ,C                    ,                           ,C                      ,F                   ,F                 ,T                   ,F                 ,                     ,              ,           ,                    ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B, 13,H,CC,   6.00,    120.7700,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,R                  ,                  ,C                    ,                           ,C                      ,                    ,T                 ,R                   ,R                 ,T                    ,              ,           ,                    ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,B, 14,H,CC,  23.00,    130.4100,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,T                  ,T                 ,C                    ,T                          ,A                      ,T                   ,R                 ,                    ,                  ,                     ,              ,           ,                    ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
