Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma indistincta,Bolboforma sp. B,Bolboforma lamari,Bolboforma sp. cf. B. geomaris,Bolboforma praespinosa,Bolboforma eocena,Bolboforma geomari,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  4,X, 2,   7.00,     26.8700,Spiegler ,Bolboforms                                   ,               ,                  ,C                     ,R               ,                 ,R                             ,                      ,R                ,R                 ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  4,X, 3,   7.00,     28.3700,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,R               ,R                ,                              ,                      ,R                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  4,X, 4,   7.00,     29.8700,Spiegler ,Bolboforms                                   ,               ,                  ,                      ,F               ,                 ,R                             ,                      ,R                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  4,X, 5,   7.00,     31.3700,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,C                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  4,X, 6,   7.00,     32.8700,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,A                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  5,X, 1,  40.00,     35.2000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,F               ,                 ,                              ,                      ,C                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  5,X, 2,   5.00,     36.3500,Spiegler ,Bolboforms                                   ,               ,                  ,                      ,R               ,                 ,                              ,                      ,R                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  5,X, 3,   5.00,     37.8500,Spiegler ,Bolboforms                                   ,               ,                  ,                      ,                ,                 ,                              ,                      ,R                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
