Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Denticulopsis simonsenii	Denticulopsis dimorpha	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Cavitatus jouseanus	Actinoptychus senarius	Actinocyclus ingens	Thalassiothrix longissima	Ikebea tenuis	Stephanopyxis turris	Nitzschia marina	Azpeitia nodulifera	Cyclotella striata	Thalassionema schraderi	Proboscia barboi	Rhizosolenia hebetata f. hiemalis	Denticulopsis katayamae	Cocconeis costata	Hemidiscus cuneiformis	Thalassiosira lineata	Rouxia californica	Paralia sulcata	Coscinodiscus radiatus	Nitzschia fossilis	Grammatophora spp.	Thalassiosira nidulus	Rhizosolenia bergonii	Nitzschia rolandii	Nitzschia reinholdii	Actinocyclus curvatulus	Neodenticula kamtschatica	Thalassiosira eccentrica	Koizumia tatsunokuchiensis	Asteromphalus flabellatus	Thalassiosira antiqua	Pyxidicula zabelinae	Delphineis surirella	Aulacoseira spp.	Actinocyclus ochotensis	Cymatosira debyi	Stephanopyxis horridus	Odontella aurita	Thalassiosira praeoestrupii	Comment



  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  1	R	CC	  18.00	    708.2200	Ikeda    	Diatoms                                      	A              	G                 	R                          	                        	                      	R                       	F                                	                   	R                     	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	R                	                      	                     	                  	               	                      	                  	                  	                     	                     	R                 	                    	                       	C                        	                        	                          	                         	R                    	F                   	                    	                	                       	                	                      	                	F                          	reworking=trace (D. katayamae)

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  2	R	CC	  20.00	    711.9300	Ikeda    	Diatoms                                      	C              	G                 	R                          	                        	                      	R                       	                                 	                   	                      	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	R                 	                    	                       	A                        	                        	                          	                         	                     	F                   	                    	                	                       	R               	                      	                	R                          	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  3	R	CC	  15.00	    720.1100	Ikeda    	Diatoms                                      	A              	G                 	F                          	                        	                      	                        	C                                	                   	                      	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	R                 	                  	                     	                     	                  	                    	R                      	C                        	                        	R                         	                         	F                    	F                   	R                   	                	                       	                	                      	                	                           	       

  IR	Late Pliocene    	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  4	R	CC	  22.00	    732.4900	Ikeda    	Diatoms                                      	A              	G                 	F                          	                        	                      	C                       	F                                	                   	F                     	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	                  	R                 	R                    	                     	                  	                    	                       	A                        	                        	                          	                         	R                    	F                   	                    	                	                       	                	                      	                	                           	       

