leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
15,151,,4,1,28.0,30.0,237.00,237.29, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCALC0050,Calocycletta costata,FEW,  ,1
15,151,,4,1,28.0,30.0,237.00,237.29, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCALC0070,Calocycletta robusta,RARE,  ,1
15,151,,4,1,28.0,30.0,237.00,237.29, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCALC0110,Calocycletta virginis,FEW,  ,1
15,151,,4,1,28.0,30.0,237.00,237.29, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCARN0020,Carpocanopsis cingulata,RARE,  ,1
15,151,,4,1,28.0,30.0,237.00,237.29, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYRC0020,Cyrtocapsella cornuta,FEW,  ,1
15,151,,4,1,28.0,30.0,237.00,237.29, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RDORC0110,Dorcadospyris papilio,RARE,  ,1
15,151,,4,1,28.0,30.0,237.00,237.29, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RLIRI0100,Liriospyris parkerae,FEW,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCALC0070,Calocycletta robusta,RARE,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCALC0110,Calocycletta virginis,FEW,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCANN0070,Cannartus prismaticus,RARE,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCANN0090,Cannartus tubarius,RARE,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCANN0100,Cannartus violina,RARE,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCARN0010,Carpocanopsis bramlettei,RARE,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCARN0020,Carpocanopsis cingulata,RARE,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCARN0040,Carpocanopsis favosa,RARE,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYCA0032,Cyclampterium leptetrum (q),RARE,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYRC0020,Cyrtocapsella cornuta,FEW,  ,1
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RDORC0100,Dorcadospyris forcipata,FEW,  ,2
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RLIRI0100,Liriospyris parkerae,FEW,  ,2
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RSTIO0050,Stichocorys delmontensis,COMMON,  ,2
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RSTIO0090,Stichocorys wolfii,FEW,  ,2
15,151,,4,1,71.0,74.0,237.00,237.72,15,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RTEPK0020,Tepka perforata,RARE,  ,2
15,151,,4,2,14.0,16.0,237.00,238.65, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCALC0110,Calocycletta virginis,FEW,  ,1
15,151,,4,2,14.0,16.0,237.00,238.65, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYCA0032,Cyclampterium leptetrum (q),RARE,  ,1
15,151,,4,2,14.0,16.0,237.00,238.65, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYRC0020,Cyrtocapsella cornuta,FEW,  ,1
15,151,,4,2,14.0,16.0,237.00,238.65, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RDORC0100,Dorcadospyris forcipata,FEW,  ,1
15,151,,4,2,14.0,16.0,237.00,238.65, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RSTIO0050,Stichocorys delmontensis,COMMON,  ,1
15,151,,4,2,14.0,16.0,237.00,238.65, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RSTIO0090,Stichocorys wolfii,RARE,  ,1
15,151,,4,2,14.0,16.0,237.00,238.65, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RTHER0090,Theocorys spongoconus,PRESENT,  ,1
15,151,,4,2,138.0,140.0,237.00,239.89, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCALC0070,Calocycletta robusta,RARE,  ,1
15,151,,4,2,138.0,140.0,237.00,239.89, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCALC0110,Calocycletta virginis,FEW,  ,1
15,151,,4,2,138.0,140.0,237.00,239.89, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCARN0020,Carpocanopsis cingulata,RARE,  ,1
15,151,,4,2,138.0,140.0,237.00,239.89, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYCA0032,Cyclampterium leptetrum (q),RARE,  ,1
15,151,,4,2,138.0,140.0,237.00,239.89, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RDORC0100,Dorcadospyris forcipata,RARE,  ,1
15,151,,4,2,138.0,140.0,237.00,239.89, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RSTIO0050,Stichocorys delmontensis,COMMON,  ,1
15,151,,4,2,138.0,140.0,237.00,239.89, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RSTIO0090,Stichocorys wolfii,FEW,  ,1
15,151,,4,CC,0.0,0.0,237.00,240.10, 5,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYCA0032,Cyclampterium leptetrum (q),RARE,  ,1
15,151,,4,CC,0.0,0.0,237.00,240.10, 5,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYRC0020,Cyrtocapsella cornuta,FEW,  ,1
15,151,,4,CC,0.0,0.0,237.00,240.10, 5,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RCYRC0070,Cyrtocapsella tetrapera,RARE,  ,1
15,151,,4,CC,0.0,0.0,237.00,240.10, 5,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RSTIO0050,Stichocorys delmontensis,COMMON,  ,1
15,151,,4,CC,0.0,0.0,237.00,240.10, 5,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RSTIO0090,Stichocorys wolfii,FEW,  ,1
15,151,,5,1,84.0,86.0,302.00,302.85, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,714,RCARN0020,Carpocanopsis cingulata,PRESENT,  ,1
15,151,,5,1,84.0,86.0,302.00,302.85, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,714,RCARN0040,Carpocanopsis favosa,RARE,  ,1
15,151,,5,1,84.0,86.0,302.00,302.85, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,714,RCYCA0032,Cyclampterium leptetrum (q),PRESENT,  ,1
15,151,,5,1,84.0,86.0,302.00,302.85, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,714,RCYRC0020,Cyrtocapsella cornuta,PRESENT,  ,1
15,151,,5,1,84.0,86.0,302.00,302.85, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,714,RCYRC0070,Cyrtocapsella tetrapera,FEW,  ,1
15,151,,5,1,84.0,86.0,302.00,302.85, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,714,RLYCO0090,Lychnocanoma elongata,RARE,  ,1
15,151,,5,1,84.0,86.0,302.00,302.85, 7,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,714,RSTIO0050,Stichocorys delmontensis,FEW,  ,1
15,151,,5,2,64.0,66.0,302.00,304.15,14,"RIEDEL,WR;SANFILIPPO,A",12/1973,15,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,714,RACRO0010,Acrobotrys sp.,PRESENT,  ,1
