Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globigerinita uvula uvula,Globigerinita uvula minuta,Globigerinita glutinata,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,CD1           ,169,1035,C,  1,X, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,R                        ,C                                      ,R                                    ,R                        ,R                         ,R                      ,A                    ,"Sulfide sediment with diverse agglutinated benthonic assemblage and a few calcareous foraminifers, too. Sponge spicules, diatoms, and radiolarians are few."
,,,,,,,,,,,,,,,,,,,,,,,,
