leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
59,448,A,1,3,77.0,79.0,0.00,3.78, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCALC0050,Calocycletta costata,PRESENT,  ,1
59,448,A,1,5,7.0,9.0,0.00,6.08, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCANN0070,Cannartus prismaticus,RARE,  ,1
59,448,A,1,7,6.0,8.0,0.00,9.07, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RSTIO0050,Stichocorys delmontensis,COMMON,  ,1
59,448,A,1,7,6.0,8.0,0.00,9.07, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RSTIO0090,Stichocorys wolfii,PRESENT,  ,1
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCALC0050,Calocycletta costata,FEW,  ,1
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCANN0100,Cannartus violina,RARE,  ,1
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCYRC0020,Cyrtocapsella cornuta,PRESENT,  ,1
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0080,Dorcadospyris dentata,PRESENT,  ,1
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RGIRA0080,Giraffospyris toxaria,PRESENT,  ,1
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RSTIO0050,Stichocorys delmontensis,COMMON,  ,1
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RSTIO0090,Stichocorys wolfii,RARE,  ,1
59,448,A,2,1,4.0,6.0,33.50,33.55, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0180,Dorcadospyris simplex,PRESENT,  ,1
59,448,A,2,1,4.0,6.0,33.50,33.55, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RGIRA0080,Giraffospyris toxaria,PRESENT,  ,1
59,448,A,2,1,77.0,79.0,33.50,34.28, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,PRESENT,  ,1
59,448,A,2,6,6.0,8.0,33.50,41.07, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,PRESENT,  ,1
59,448,A,2,CC,,,33.50,43.05, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,COMMON,  ,1
59,448,A,2,CC,,,33.50,43.05, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0110,Dorcadospyris papilio,RARE,  ,1
59,448,A,3,1,6.0,8.0,62.00,62.07, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,FEW,  ,1
59,448,A,3,1,6.0,8.0,62.00,62.07, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0170,Dorcadospyris riedeli,RARE,  ,1
