Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella similis,Hedbergella sigali,Hedbergella aptica,Gubkinella graysonensis,Gorbachikella sp.,Clavihedbergella semielongata,Clavihedbergella eocretacea,Hedbergella delrioensis,Globigerinelloides blowi,Hedbergella trocoidea,Globigerinelloides barri,Globigerinelloides aptiense,Ticinella roberti,Ticinella raynaudi,Ticinella primula,Hedbergella rischi,Hedbergella planispira,Globigerinelloides bentonensis,Ticinella praeticinensis,Ticinella madecassiana,Hedbergella simplex,Biticinella subbreggiensis,Biticinella breggiensis,Rotalipora appenninica,Praeglobotruncana delrioensis,Schackoina cenomana,Heterohelix moremani,Globigerinelloides ferreolensis,Hedbergella holmdelensis,Globigerinelloides ultramicrus,Globotruncanita stuartiformis,Globotruncanita elevata,Globotruncanita atlantica,Globotruncana ventricosa,Globotruncana orientalis,Globotruncana arca,Contusotruncana fornicata,Pseudotextularia nuttalli,Laeviheterohelix pulchra,Laeviheterohelix dentata,Heterohelix globulosa,Globotruncana linneiana,Globotruncana hilli,Globigerinelloides subcarinatus,Globigerinelloides messinae,Contusotruncana patelliformis,Schackoina multispinata,Heterohelix planata,Heterohelix dentata,Globotruncana bulloides,Globigerinelloides prairiehillensis,Praeorbulina glomerosa,Orbulina universa,Orbulina suturalis,Globigerinoides sacculifer,Globigerinita glutinata,Fohsella peripheroronda,Fohsella peripheroacuta,Dentoglobigerina altispira,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,N9                ,N9            ,198,1207,B,  1,R,CC,  17.00,    163.5000,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,F                     ,F                ,R                 ,F                         ,R                      ,R                      ,+                      ,A                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Campanian        ,Campanian        ,KS26              ,KS26          ,198,1207,B,  2,R,CC,   8.00,    174.8400,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,R                  ,                    ,                               ,F                       ,F                             ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,F                       ,                        ,A                    ,                       ,                   ,                               ,                           ,                             ,R                      ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,only small-sized species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Campanian        ,Campanian        ,KS26              ,KS26          ,198,1207,B,  3,R,CC,  11.00,    179.2800,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,A                            ,                       ,                         ,                        ,F                       ,                  ,A                        ,F                        ,F                       ,F                       ,A                    ,A                      ,                   ,                               ,F                          ,F                            ,                       ,F                  ,F                  ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Campanian        ,Campanian        ,KS26              ,KS26          ,198,1207,B,  4,R,CC,   8.00,    190.6700,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,A                            ,P                      ,F                        ,                        ,F                       ,F                 ,A                        ,F                        ,+                       ,                        ,A                    ,A                      ,P                  ,P                              ,A                          ,F                            ,P                      ,                   ,                   ,P                      ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
