Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix spp.,Thalassionema nitzschioides,Rhizosolenia barboi,Hemidiscus cuneiformis,Coscinodiscus marginatus,Actinocyclus curvatulus,Thalassiothrix longissima,Thalassiosira antiqua,Thalassiosira nativa,Thalassiosira eccentrica,Neodenticula cf. N. kamtschatica,Coscinodiscus oculus-iridis,Paralia sulcata,Azpeitia nodulifer,Thalassiosira spp. (native type),Thalassiosira spp.,Nitzschia rolandii,Neodenticula kamtschatica,Neodenticula cf. N. koizumii,Actinocyclus ingens  var. nodus,Denticulopsis hyalina,Actinocyclus ingens,Thalassiosira convexa,Grammatophora sp.,Nitzschia reinholdii,Denticulopsis lauta,Denticulopsis hustedtii,Neodenticula koizumii,Thalassiosira oestrupii,Stephanopyxis turris,Nitzschia marina,Neodenticula seminae,Coscinodiscus sp.,Pinn* spp.,Cocconeis californica,Rhizosolenia sp.,Coscinodiscus radiatus,Diatom fragments (girdle bands),Thalassiosira sp. (convex type),Synedra jouseana,Simonseniella curvirostris,Hemiaulus polymorphus,Actinocyclus oculatus,Denticulopsis lauta s.l.,Diatom fragments,Sponge spicules,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,167,1016,B,  1,H,CC,  12.00,      1.7700,Maruyama ,Diatoms                                      ,T              ,P                 ,                   ,                           ,                   ,                      ,                        ,                       ,                         ,                     ,                    ,                        ,                                ,                           ,               ,                  ,                                ,                  ,                  ,                         ,                            ,                               ,                     ,+                  ,                     ,                 ,                    ,                   ,                       ,                     ,                       ,                    ,                ,                    ,                 ,          ,                     ,                ,                      ,                               ,                               ,                ,                          ,                     ,                     ,                        ,R               ,R              ,from IR. Ch 10. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,167,1016,B,  2,H,CC,  25.00,     11.7400,Maruyama ,Diatoms                                      ,T              ,P                 ,                   ,                           ,                   ,                      ,                        ,                       ,F                        ,                     ,                    ,                        ,                                ,                           ,               ,                  ,                                ,                  ,                  ,                         ,                            ,                               ,                     ,                   ,                     ,                 ,                    ,                   ,                       ,                     ,                       ,                    ,                ,                    ,F                ,          ,                     ,                ,                      ,                               ,                               ,                ,                          ,                     ,                     ,                        ,                ,C              ,from IR. Ch 10. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1016,B,  3,H,CC,  13.00,     21.0000,Maruyama ,Diatoms                                      ,T              ,P                 ,                   ,                           ,                   ,                      ,                        ,                       ,                         ,                     ,                    ,                        ,                                ,                           ,               ,                  ,                                ,                  ,                  ,                         ,                            ,                               ,                     ,                   ,                     ,                 ,                    ,                   ,                       ,                     ,                       ,                    ,                ,                    ,T                ,          ,                     ,                ,                      ,                               ,                               ,                ,                          ,                     ,                     ,                        ,R               ,F              ,from IR. Ch 10. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,167,1016,B,  4,H,CC,  11.00,     30.6200,Maruyama ,Diatoms                                      ,T              ,P                 ,                   ,T                          ,                   ,                      ,                        ,                       ,T                        ,                     ,                    ,                        ,                                ,                           ,T              ,                  ,                                ,                  ,                  ,                         ,                            ,                               ,                     ,                   ,                     ,                 ,                    ,                   ,                       ,                     ,                       ,T                   ,                ,                    ,                 ,          ,                     ,                ,                      ,                               ,                               ,                ,                          ,                     ,                     ,                        ,F               ,               ,from IR. Ch 10. Table 7.
