Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus extensus	Sphenolithus spp.	Reticulofenestrid taxa	Reticulofenestra pseudoumbilicus	Discoaster surculus	Discoaster quinqueramus	Discoaster in class	Discoaster brouweri	Discoaster bellus	Helicosphaera carteri	Discoaster variabilis	Discoaster triradiatus	Discoaster pentaradiatus	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus primus	Amaurolithus delicatus	Triquetrorhabdulus rugosus/rioensis	Discoaster intercalaris	Ceratolithus acutus	Amaurolithus tricorniculatus	Umbilicosphaera spp.	Syracosphaera spp.	Reticulofenestra spp.	Pseudoemiliania lacunosa	Pontosphaera sp.	Helicosphaera wallichii	Gephyrocapsa spp. small (<4 microns)	Gephyrocapsa oceanica	Coccolithus radiatus	Ceratolithus cristatus/telesmus	Helicosphaera sellii	Gephyrocapsa spp. (large)	Thoracosphaera spp.	Geminilithella rotula	Gephyrocapsa omega	Rhabdosphaera spp.	Comment



  SR	Pliocene         	Pleistocene      	CN14a             	              	138	 848	B	  2	H	 3	  60.00	      5.8000	Raffi    	Nannofossils                                 	A              	G                 	                           	                 	                      	                                	                   	                       	                   	                   	                 	R                    	                     	                      	                        	                     	                      	C                     	                   	                      	                                   	                       	                   	                            	                    	                  	A                    	C                       	                	F                      	A                                   	C                    	C                   	R                              	                    	                         	                   	                     	F                 	R                 	from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273

  SR	Pliocene         	Pleistocene      	CN14a             	              	138	 848	B	  2	H	 4	  60.00	      7.3000	Raffi    	Nannofossils                                 	A              	G                 	                           	                 	                      	                                	                   	                       	                   	                   	                 	C                    	                     	                      	                        	                     	                      	C                     	                   	                      	                                   	                       	                   	                            	                    	                  	C                    	A                       	                	C                      	A                                   	C                    	C                   	R                              	                    	                         	                   	                     	R                 	R                 	from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273

  SR	Pliocene         	Pleistocene      	CN14a             	              	138	 848	B	  2	H	 5	  60.00	      8.8000	Raffi    	Nannofossils                                 	A              	G                 	                           	                 	                      	                                	                   	                       	                   	                   	                 	F                    	                     	                      	                        	                     	                      	C                     	                   	                      	                                   	                       	                   	                            	                    	                  	F                    	C                       	R               	C                      	A                                   	C                    	R                   	R                              	                    	                         	                   	                     	R                 	R                 	from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273

  SR	Pliocene         	Pleistocene      	CN14a             	              	138	 848	B	  2	H	 6	  60.00	     10.3000	Raffi    	Nannofossils                                 	A              	G                 	                           	                 	                      	                                	                   	                       	                   	                   	                 	R                    	                     	                      	                        	                     	                      	A                     	                   	                      	                                   	                       	                   	                            	C                   	F                 	                     	C                       	                	C                      	C                                   	F                    	F                   	F                              	                    	                         	                   	                     	R                 	                  	from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273

