Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xanthiopyxis ovalis	Triceratium barbadense	Thalassiothrix longissima	Thalassiosira lineata	Thalassiosira leptopus	Thalassiosira lentiginosa	Thalassiosira eccentrica	Thalassiosira convexa	Thalassionema nitzschioides	Stephanopyxis turris turris	Simonseniella barboi	Rhaphoneis amphiceros	Paralia sulcata	Nitzschia reinholdii	Nitzschia panduriformis	Nitzschia marina	Nitzschia fossilis	Hyalodiscus sp.	Hemidiscus cuneiformis	Hemiaulus sp.	Grammatophora sp.	Diploneis sp.	Coscinodiscus radiatus	Cocconeis sp.	Azpeitia tabularis	Azpeitia nodulifera	Azpeitia africana	Actinocyclus ehrenbergii	Pseudoeunotia doliolus	Nitzschia barronii	Hemidiscus ovalis	Eunotia sp.	Chaetoceros spp. (resting spores)	Thalassiosira oestrupii	Nitzschia ritscherii	Stephanopyxis hyalomarginata	Rocella praenitida	Rhizosolenia hebetata f. hiemalis	Nitzschia cylindrica	Actinocyclus ingens	Nitzschia kerguelenis	Aulacosira granulata	Thalassionema bacillaris	Actinocyclus curvatulus	Actinoptychus senarius	Rhizosolenia bergonii	Pyxilla reticulata	Nitzschia kolackzeckii	Cyclotella striata	Comment



  IR	                 	                 	                  	              	181	1123	A	  1	H	CC	   0.00	      5.9500	diatoms  	Diatoms                                      	               	                  	T                  	                      	                         	T                    	T                     	                         	                        	                     	                           	                           	                    	                     	               	                    	                       	F               	                  	               	T                     	             	                 	             	F                     	             	                  	                   	                 	                        	T                     	                  	                 	           	                                 	                       	                    	                            	                  	                                 	                    	                   	R                    	                    	                        	                       	                      	                     	                  	                      	                  	       

  IR	                 	                 	                  	              	181	1123	A	  2	H	CC	  16.00	     15.6100	diatoms  	Diatoms                                      	               	                  	R                  	                      	                         	R                    	                      	                         	R                       	                     	T                          	                           	                    	                     	               	T                   	                       	R               	                  	               	                      	             	                 	             	                      	             	                  	                   	                 	                        	R                     	                  	                 	           	                                 	                       	                    	                            	                  	                                 	                    	                   	T                    	                    	T                       	                       	                      	R                    	                  	T                     	T                 	       

  IR	                 	                 	                  	              	181	1123	A	  3	H	CC	   0.00	     23.2100	diatoms  	Diatoms                                      	               	                  	R                  	                      	T                        	                     	T                     	                         	T                       	                     	T                          	R                          	                    	                     	R              	F                   	                       	R               	                  	               	R                     	T            	                 	             	R                     	             	                  	F                  	                 	                        	R                     	                  	                 	           	R                                	T                      	R                   	                            	                  	T                                	                    	                   	R                    	                    	                        	R                      	                      	R                    	T                 	                      	                  	       

  IR	                 	                 	                  	              	181	1123	A	  4	H	CC	   0.00	     34.7000	diatoms  	Diatoms                                      	               	                  	R                  	                      	R                        	R                    	                      	                         	T                       	                     	                           	R                          	                    	                     	               	R                   	                       	T               	T                 	               	                      	T            	                 	             	R                     	             	R                 	R                  	                 	                        	R                     	                  	                 	           	                                 	                       	                    	                            	                  	                                 	                    	                   	R                    	                    	                        	                       	T                     	                     	                  	                      	                  	       

