Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Nonionella miocenica	Fursenkoina glabra	Buliminella subfusiformis	Buliminella elegantissima	Bolivinellina humilis-rankini	Bolivina costata	Alexanderina viejoensis	Parabolivina peruensis	Nonionella auris	Pseudoparrella subperuviana	Buccella peruviana	Uvigerina sp.	Bolivinellina foraminata	Bulimina pulchella	Suggrunda eckisi	Buliminella elegantissima limbosa	Bolivinellina pacifica	Rosalina peruviana	Quinqueloculina araucana	Cancris inflatus	Valvulineria peruensis	Cassidulina pulchella	Buliminella curta var. basispinata	Epistominella afueraensis	Takayanagia delicata	Gyroidina rothwelli	Cancris carmenensis	Brizalina spissa	Brizalina interjuncta bicostata	Bolivinita minuta	Bolivina plicata	Angulogerina sp.	Angulogerina carinata	Globobulimina pacifica	Uvigerina striata	Planulina ornata	Coryphostoma clippertonensis	Brizalina pseudobeyrichi	Pullenia subcarinata	Planulina limbata	Globocassidulina quadrata	Cassidulina detierraensis	Brizalina interjuncta	Comment



  SR	Quaternary       	                 	                  	              	112	 687	A	  1	H	 4	 110.00	      5.6000	Resig    	Benthic Foraminifers                         	               	                  	                    	                  	                         	T                        	6                            	T               	                       	                      	                	5                          	                  	             	                        	                  	                	                                 	                      	                  	                        	T               	                      	                     	                                  	55                       	                    	                   	T                  	                	                               	1                	28              	                	1                    	T                     	2                	                	                            	                        	T                   	T                	T                        	1                        	1                    	count=302 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  1	H	CC	   9.00	      7.5000	Resig    	Benthic Foraminifers                         	               	                  	                    	5                 	                         	                         	17                           	T               	                       	                      	                	48                         	                  	             	                        	                  	12              	                                 	1                     	                  	                        	T               	                      	T                    	T                                 	                         	                    	1                  	T                  	                	                               	                 	16              	T               	T                    	                      	T                	T               	T                           	T                       	                    	                 	                         	                         	                     	count=348 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  2	H	 1	  70.00	      8.2000	Resig    	Benthic Foraminifers                         	               	                  	                    	                  	T                        	                         	92                           	3               	                       	                      	2               	1                          	                  	             	                        	                  	                	                                 	                      	T                 	                        	T               	                      	2                    	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	T                     	                 	                	                            	                        	                    	                 	                         	                         	                     	count=247 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  3	H	 1	  95.00	     17.9500	Resig    	Benthic Foraminifers                         	               	                  	                    	6                 	                         	1                        	52                           	T               	                       	                      	T               	                           	                  	             	                        	                  	8               	                                 	3                     	                  	                        	1               	                      	1                    	                                  	16                       	T                   	5                  	1                  	1               	T                              	T                	1               	1               	T                    	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=501 from ODP Leg 112 SR Chapter 16 Table 6 p 280

