Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongurus bilobatus	Eusyringium striata exquisita	Buryella tetradica	Axocorys sp.	Dictyoprora amphora	Dictyomitra amygdala	Phormocyrtis embolum	Lithomitrella minuta	Lithomitrella elizabethae	Lithomitra  micropore	Gorgospyris hemisphaerica	Dictyoprora mongolfieri	Artobotrys auriculaleporis	Stylosphaera coronata	Theocyrtis litos	Dictyopora urceolus	Clathrocyclas universa	Lychnocanella babylonis	Stylosphaera minor	Clathrocyclas extensa	Spongosphaera pachystyla	Axoprunum bispiculum	Cenosphaera eocenica	Stylatractus ostracion	Comment



  SR	Early Oligocene  	                 	                  	              	145	 883	E	  6	R	CC	  15.00	    686.9700	Shilov   	Radiolarians                                 	R              	P                 	                   	                             	                  	            	                   	                    	                    	                    	                         	                     	                         	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	R                   	                    	R                     	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Early Oligocene  	                 	                  	              	145	 883	E	  7	R	CC	   4.00	    698.3200	Shilov   	Radiolarians                                 	R              	P                 	                   	                             	                  	            	                   	                    	                    	                    	                         	                     	                         	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	R                   	R                   	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Late Eocene      	                 	                  	              	145	 883	E	  8	R	CC	   3.00	    700.9700	Shilov   	Radiolarians                                 	R              	P                 	                   	                             	                  	            	                   	                    	                    	                    	                         	R                    	                         	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	R                   	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Late Eocene      	                 	D. amphora        	              	145	 883	E	  9	R	 1	  66.00	    709.6600	Shilov   	Radiolarians                                 	F              	M                 	                   	                             	                  	            	R                  	F                   	R                   	                    	                         	F                    	                         	                       	                          	R                    	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Late Eocene      	                 	D. amphora        	              	145	 883	E	  9	R	 2	  61.00	    711.1100	Shilov   	Radiolarians                                 	R              	M                 	                   	                             	                  	            	R                  	R                   	                    	                    	                         	                     	                         	                       	                          	R                    	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Late Eocene      	                 	D. amphora        	              	145	 883	E	  9	R	CC	  18.00	    711.3600	Shilov   	Radiolarians                                 	C              	M                 	                   	                             	                  	            	C                  	R                   	C                   	                    	                         	                     	                         	C                      	                          	                     	                	F                  	R                     	R                      	                  	C                    	R                       	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Late Eocene      	                 	D. amphora        	              	145	 883	E	 10	R	CC	  27.00	    719.1700	Shilov   	Radiolarians                                 	C              	P                 	                   	                             	                  	            	R                  	                    	C                   	                    	                         	R                    	R                        	                       	R                         	F                    	                	R                  	                      	R                      	C                 	R                    	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

