Expedition,Site,Hole,"Core, Section",depth Top (m),depth Bottom (m),Abundance,Preservation,Bachmannocena apiculata,Corbisema cf. hastata cunicula,Dictyocha subarctios,Distephanus boliviensis,Distephanus jimlingii,Distephanus medianoctisol,Distephanus medianoctisol with short radial spines,Distephanus octangulatus,Distephanus octonarius,Distephanus quinquangellus,Distephanus speculum,Distephanus speculum with short radial spine,Aberrant silicoflagellates,
323,U1341,A,2H-CC,12.54,12.64,T,P,,,T,,,,,,,,,,,Undefined (Ds. octonarius-Dc. subarctios)
323,U1341,A,3H-CC,22.33,22.43,A,G,,T,,,,R,,C,R,,A,,,Undefined (Ds. octonarius-Dc. subarctios)
323,U1341,A,4H-CC,31.67,31.77,A,G,T,,,,,R,,A,F,,C,T,R,Undefined (Ds. octonarius-Dc. subarctios)
323,U1341,A,5H-CC,41.22,41.32,F,G,,,,,,,,,F,,,,R,Undefined (Ds. octonarius-Dc. subarctios)
323,U1341,A,6H-CC,50.85,50.95,F,G,,,,,,,T,,R,,,R,,Undefined (Ds. octonarius-Dc. subarctios)
323,U1341,A,7H-CC,60.41,60.51,C,G,,,T,,,R,T,,C,,,,T,Dc. subarctios
323,U1341,A,8H-CC,69.31,69.41,F,G,,,T,,,T,,,F,,,,,Dc. subarctios
323,U1341,A,9H-CC,79.56,79.66,F,G,,,T,,,R,T,F,,,,T,,Dc. subarctios
323,U1341,A,10H-CC,89.02,89.12,C,G,,,,,,R,T,,,,F,F,,Dc. subarctios
323,U1341,A,12H-CC,108.06 ,108.16 ,C,G,,,T,R,,F,F,,R,,R,R,,Dc. subarctios
323,U1341,A,14H-CC,127.00 ,127.10 ,F,G,,,T,,,R,T,,,,R,,,Dc. subarctios
323,U1341,A,16H-CC,145.97 ,146.07 ,R,M,,,,,T,,,,T,,T,,,Dc. subarctios
323,U1341,A,17H-CC,155.53 ,155.63 ,A,G,,,,,,R,,,C,,C,C,T,Dc. subarctios
323,U1341,A,18H-CC,164.92 ,165.02 ,T,P,,,,,,,,,,,T,,,Dc. subarctios
323,U1341,A,19H-CC,174.39 ,174.49 ,C,G,,,,,,F,F,,R,,F,F,R,Dc. subarctios
323,U1341,A,20H-CC,183.82 ,183.92 ,F,G,,,,T,,,R,,,,,R,,Dc. subarctios
323,U1341,A,25H-CC,231.33 ,231.43 ,R,M,,,,,,,,,,,R,,,Dc. subarctios
323,U1341,A,26H-CC,233.11 ,233.21 ,F,G,,,,,,,,,,,R,R,,Dc. subarctios
323,U1341,A,27H-CC,241.40 ,241.50 ,A,G,,,,,,,,,,,A,C,T,Am. rectangulare
323,U1341,A,28H-CC,252.44 ,252.54 ,C,G,,,,,,,,,,,C,T,T,Am. rectangulare
323,U1341,A,29H-CC,262.14 ,262.24 ,C,G,,,,,,R,,,,T,F,R,T,Am. rectangulare
323,U1341,A,30H-CC,271.72 ,271.82 ,A,G,,,,,,R,R,,F,,F,C,T,Am. rectangulare
323,U1341,A,34H-CC,309.42 ,309.52 ,C,G,,,,,,,,,,,F,C,,Am. rectangulare
323,U1341,A,35H-CC,318.92 ,319.02 ,F,G,,,,,,R,,,,,F,T,,Am. rectangulare
323,U1341,A,36H-CC,328.09 ,328.19 ,A,G,,,,,,A,C,,R,,R,,R,Am. rectangulare
323,U1341,A,37H-CC,332.71 ,332.81 ,A,G,,,,,,A,R,,R,,F,T,T,Ebr. antiqua antiqua
323,U1341,A,38H-CC,342.16 ,342.26 ,F,G,,,,,T,R,,,T,,R,R,T,Ds. jimlingii
323,U1341,A,39H-CC,351.93 ,352.03 ,C,G,,,,,T,F,,,,,F,R,T,Ds. jimlingii
323,U1341,A,40H-CC,356.68 ,356.78 ,A,G,,,,T,F,A,,,R,,C,R,R,Ds. jimlingii
323,U1341,A,41H-CC,359.02 ,359.12 ,A,G,,,,,F,C,T,,,,C,,,Ds. jimlingii
