Expedition,Site,Hole,"Core,    section",Top (m CSF-A),Bottom (m CSF-A),Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Arachnoidiscus spp.,Asteromphalus brookei,Asteromphalus hyalinus,Asteromphalus robustus,Azpeitia nodulifera,Bacterosira fragilis,Chaetoceros spp.,Chaetoceros spp. resting spore,Chaetoceros spp. vegetative spore,Cocconeis californica cf. kerguelensis,Cocconeis costata,Cocconeis scutellum,Cocconeis sp. 1,Cocconeis vitrea,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Frgilariopsis cylindrus,Frgilariopsis oceanica,Grammatophora spp.,Neodenticula kamtschatica,Neodenticula koizumii,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Proboscia cf. subarctica,Pyxidicula horridus,Pyxidicula pustulatus,Pyxidicula sp. 2,Pyxidicula sp. 3,Pyxidicula sp. 6,Pyxidicula turris,Pyxidicula zabelinae,Pyxilla americana,Rhabdonema spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Stellarima microtrias,Synedra spp.,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassionema robusta,Thalassiosira spp.,Thalassiosira antiqua,Thalassiosira antarctica spore,Thalassiosira cf. leptopus,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata sl.,Thalassiosira lineata,Thalassiosira marujamica,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira poroseriata,Thalassiothrix longissima,
323,U1341,B,59X-CC,486.67,486.77,A,M,,,,,,,,,,,,R,,,R,,,,C,,,,,,,,A,,,,,,,,,,,,,,,,,C,F,,,,,,,R,,,,,,R,,,,,,,,,C,,R,,F,F,F,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,60X-CC,496.36,496.46,C,M,,,,,,,,,,,,,,,,,,,A,,,,,,,,A,,,,,,,,,,,,,,,,,C,R,,,,,R,,,,,R,,,,,,,,,,,,F,,,,C,,F,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,61X-CC,504.24,504.34,A,M,,,,,,,,,,,,,,,,,,,C,,F,,,,,,D,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,F,R,,,,,,,,,,R,,,,R,,C,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,62X-CC,515.62,515.72,A,M,,,,,,,,,,,,,,,,,,,A,,,,,,,,A,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,63X-CC,525.36,525.46,C,M,,,,,,,,R,,,,,,,,,,R,A,,,,,,,,A,,,,,,R,,,,,F,,,,,,C,F,,,,,,F,,,,R,,,,,,,,,,,,C,,,,R,,F,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,64X-CC,534.76,534.86,C,M,,,,,,,,,,,,C,,R,R,R,,,C,,,,,,,,A,,,,,,R,,,F,,R,,,,,,F,R,,,,,,R,,,,R,R,,,,,,,,,R,,C,,,,,,F,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,65X-CC,542.92,543.02,A,M,,,,,,,,,,,,R,,,,,,,A,,,,,,,,A,,,,,,,,,R,,,,,,,,F,F,,,,,,R,,,,,R,,,,,,,,,,,R,,,,,,C,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,66X-CC,549.26,549.36,A,M,,,,,,,,,,,,R,,,,,,,A,,,,,,,,A,,,,,R,,,,,,,,,,,,C,F,,,,,,R,,,,,C,R,,,,,,,,,,C,,,,R,R,,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,67X-CC,563.58,563.68,A,M,,,,,,,,,,,,,,,R,,,,C,F,R,,,,,,D,,,,,,,,,,,,,,,,,F,R,,,,,F,,,,,,,,,,,,,,,,,R,,,,F,,,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,68X-CC,573.38,573.48,C,M,,,,,,,,,,,,,,,R,R,,R,C,,,,,,,,D,,,,,,,R,,,,,,,,,,F,F,,,,,R,,,,,,R,,,,,,,,,,,,,,,R,,,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,69X-CC,573.52,573.62,C,M,,,,,,,,,,,,,,,,,,,C,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,70X-CC,592.15,592.25,C,M,,,,,,,,,,,,,,,F,,,,F,,,,,,,,D,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,F,,,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
323,U1341,B,71X-CC,601.77,601.87,A,M-G,,,,C,,,,,,,,,,,R,,,,C,,,,,,,,A,,,,,,,,,,,,,,,,,F,R,,F,,,,,,,,,R,,,,,,,,,,,,,,,C,,,Neodenticula kamtschatica Zone (Thalassiosira oestrupii Subzone: NPD7Bb)
