Expedition,Site,Hole,"Core, Section",depth CSF-A Top (m),depth CSF-A Bottom (m),Abundance,Preservation,Dictyocha cf. mandrai,Dictyocha subarctios,Distephanus boliviensis,Distephanus jimlingii,Distephanus medianoctisol,Distephanus medianoctisol (with short radial spines),Distephanus octangulatus,Distephanus octonarius,Distephanus quinquangellus,Distephanus speculum,Distephanus speculum (with short radial spines),Aberrant silicoflaglelate skeletons,Ebriopsis antiqua antiqua (ebridian),Zone in Ling (1992)
323,U1340,A,1H-CC,3.80,3.90,T,M,,,,,,,,,,T,,,,Distephanus octangulatus/Ds. octonarius
323,U1340,A,2H-CC,13.82,13.92,C,G,,,,,,T,,R,,F,F,R,,
323,U1340,A,3H-CC,23.39,23.49,R,G,,,,,,,,,,T,R,,,
323,U1340,A,4H-CC,32.75,32.85,R,G,,,,,,T,,,,,R,,,
323,U1340,A,5H-CC,42.35,42.45,F,G,,,,,,,,F,,T,R,,,
323,U1340,A,10H-CC,89.83,89.93,R,G,,,,,,,,,,R,,,,
323,U1340,A,11H-CC,99.42,99.52,C,G,,,,,,R,,T,,F,C,T,,
323,U1340,A,12H-CC,108.78,108.88,C,G,,,,,F,T,,T,T,F,F,,T,
323,U1340,A,13H-CC,118.53,118.63,C,G,,R,,,F,F,R,T,,R,R,R,,Undefned (Dictyocha subarctios zone?)
323,U1340,A,14H-CC,127.89,127.99,C,G,,R,,,,F,,R,,,F,,,
323,U1340,A,15H-CC,137.12,137.22,C,G,,F,,,T,F,,T,,,C,,,
323,U1340,A,16H-CC,146.94,147.04,A,G,R,A,,,T,,,,,T,R,R,,
323,U1340,A,17H-CC,156.48,156.58,C,G,,F,,,,,,T,,,,,,
323,U1340,A,18H-CC,165.89,165.99,C,G,,,,,R,R,,F,,,R,,,
323,U1340,A,19H-CC,175.45,175.55,F,M,,R,,,,,,R,,,,,,
323,U1340,A,25H-CC,215.60,215.70,B,,,,,,,,,,,,,,,
323,U1340,A,26H-CC,225.13,225.25,R,M,,,,,,,,,,,R,,,
323,U1340,A,27H-CC,234.62,234.72,B,,,,,,,,,,,,,,,
323,U1340,A,28H-CC,243.98,244.08,A,G,,,R,,,,,,,F,A,,,
323,U1340,A,29H-CC,253.51,253.61,T,M,,,,,,,,,,,T,,,
323,U1340,A,30H-CC,263.06,263.16,F,G,,,,,,,,,,R,F,T,,
323,U1340,A,32H-CC,282.07,282.17,F,M,,,,,T,,,,,T,F,,,
323,U1340,A,33H-CC,291.66,291.76,C,G,,,,,T,,,,,R,C,,,
323,U1340,A,34H-CC,300.36,300.46,A,G,,T,,,,T,,T,,R,A,T,,
323,U1340,A,35H-CC,310.58,310.68,A,G,,,,,R,,,,T,F,A,T,T,Undefined 
323,U1340,A,36H-CC,318.20,318.30,R,M,,,,,,,,,,,R,,T,
323,U1340,A,40H-CC,351.33,351.43,B,,,,,,,,,,,,,,,
323,U1340,A,41H-CC,354.63,354.73,T,M,,,,,,,,,,,T,,,
323,U1340,A,42H-CC,358.58,358.70,R,M,,,,,,,,,,T,T,,,
323,U1340,A,43X-CC,358.70,358.77,B,,,,,,,,,,,,,,,
323,U1340,A,44X-CC,365.09,365.19,R,M,,,,,,,,,,,R,,,
323,U1340,A,48X-CC,409.22,409.32,F,M,,,,T,,,,,,F,F,T,,
323,U1340,A,70X-CC,595.22,595.32,B,,,,,,,,,,,,,,,
