Expedition,Hole,"Core, section, interval (cm)",Depth CSF (m),Preservation,Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus ,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster coalitus ,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus telesmus,Clausicoccus fenestratus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Coronocyclus nitescens (ellipical),Cyclicargolithus abisectus ,Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites (<3 µm) ,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii ,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei ,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,"Discoaster loeblichii
Discoaster prepentaradiatus",Discoaster neohamatus,Discoaster pentaradiatus ,Discoaster petaliformis,Discoaster prepentaradiatus,"Discoaster quinqueramus 
",Discoaster signus ,Discoaster surculus ,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis ,Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa (>5.5 µm) ,Hayella challengeri,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera obliqua,Helicosphaera sellii,Neosphaera coccolithomorpha,Nicklithus amplificus,Orthorhabdus spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra haqii ,Reticulofenestra pseudoumbilicus,Scyphosphaera pulcherrima,Sphenolithus abies,Sphenolithus belemnos ,Sphenolithus conicus ,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis ,Syracosphaera pulchra,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Umbilicosphaera jafari ,Umbilicosphaera rotula,Umbilicosphaera sibogae
321,U1337A,1H-CC,0.14,M,A,,,,C,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,A,A,C,,,,R,,,,R,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,
321,U1337A,"2H-4, 35",10.35,M,A,,,,C,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,U1337A,"2H-5, 19",11.69,M,A,,,,C,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,F,R,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,
321,U1337A,2H-CC,15.44,M,A,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,D,C,R,,,,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,
321,U1337A,"3H-3, 16–17",18.16,M,A,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,R,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,
321,U1337A,"3H-5, 115–116",22.15,M,A,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,,F,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,
321,U1337A,3H-CC,24.91,P,C,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,A,,1?,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R
321,U1337A,"4H-3, 94–96",28.45,P,C,,,,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,,
321,U1337A,"4H-5, 9–11",30.60,P,C,,,,C,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,
321,U1337A,4H-CC,34.44,P,C,,,,C,F,,,,,F,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,F,,,,,,R,,,,,R,R,C,,,,C,,,,,,,,,,,,,,,,,,
321,U1337A,"5H-2, 111–113",36.61,P,C,,,,F,R,,,,,F,,,,,C,,,,,,A,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,C,,,,,,,,,,,,R,,,,,,
321,U1337A,"5H-4, 111–113",39.61,P,F,,,,F,R,,,,,,,,,,C,,,,,,A,,,,,,,C,,,,,,,,,,R,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,
321,U1337A,5H-CC,43.80,P,F,,,,F,F,,,,,,F,,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
